timestamp,avg,qty
1575228000,16,1630
1575427200,14,1
1575428100,14,1
1575630900,16,1790
1575825600,12,10
1575932100,12,1540
1575946500,14,6710
1576265700,16,12260
1576515900,12,1
1576537200,16,840
1576612200,14,1
1576636500,16,30
1577073900,2,1000
1577322600,16,250
1577329800,6,1
1577426100,14,10
1577757000,14,870
1577786100,14,9460
1577991600,10,1
1578531000,15,8570
1578591900,18,20
1578593700,18,20
1578702300,16,220
1578780300,1,380
1578782100,1,380
1578888300,14,1203
1579014300,14,699
1579052700,11,9770
1579127400,13,380
1579483500,14,1990
1579721700,11,30
1579723500,11,30
1580329200,9,104
1580546400,13,689
1580583600,10,1
1580587200,12,3000
1580662200,21,2871
1580664000,16,5971
1580665800,13,3100
1580965200,15,160
1581118200,10,180
1581121800,10,2210
1581132600,16,100
1581245100,14,1
1581269400,10,1
1581283800,15,2000
1581357300,11,340
1581384300,19,12990
1581386100,19,12990
1581689700,14,60
1582152600,14,3930
1582158900,13,1
1582417500,11,11750
1582746300,11,200
1582859100,17,1
1583014200,14,2600
1583016000,14,2600
1583017800,15,30
1583019600,15,30
1583185500,13,310
1583199600,16,6000
1583514300,12,319
1583589300,11,1000
1583616900,11,610
1583619300,18,16110
1583629500,18,1000
1583704800,11,3410
1583706600,11,3410
1583767200,18,19851
1583798100,11,1000
1583940600,11,630
1584041700,15,10
1584127800,11,1800
1584423900,15,80
1584466200,14,530
1584564900,18,12620
1584914400,11,40
1584965700,14,180
1584971100,11,1001
1585014900,14,9450
1585090800,14,380
1585196700,11,200
1585200300,11,10
1585935000,17,61435
1586026800,14,10
1586127900,12,110
1586618700,15,20
1586835900,14,100
1586877900,14,2020
1586912100,14,10
1587067500,15,270
1587178500,30,420
1587231300,18,400
1587708000,17,2
1587963900,18,310
1588160700,22,62
1588255200,18,20
1588364100,17,2904
1588713300,45,332
1588715100,44,334
1588716900,22,5931
1589113800,27,200
1589133900,34,1
1589709000,21,100
1589808600,21,1
1589962800,20,670
1590086400,27,6390
1590131700,23,1000
1590273300,24,1
1590434400,23,2960
1590507900,21,270
1590524100,21,730
1590542100,19,1660
1590780000,20,1000
1590781800,20,1000
1590818100,23,2950
1591053900,25,6800
1591879800,25,621
1592095800,24,1910
1592258100,24,4050
1592715600,20,20
1592831100,25,4280
1593067800,23,60
1593291900,11,1
1593390600,21,2100
1593627000,17,750
1593681600,19,1
1594601400,21,10
1596652800,17,300
1597953300,18,1
1598433900,20,130
1599080100,15,1
1599471000,13,1510
1600001700,14,600
1600287900,15,1
1600706100,16,1
1601108100,12,1
1601888400,17,2220
1605133500,16,170
1606177500,16,1
1606683000,15,220
1608160200,16,116
1610559000,17,1
1610662500,15,10
1612329600,17,200
