timestamp,avg,qty
1575607800,45,39
1575773700,16,10
1575808800,25,705
1576459200,28,15
1576975200,20,1600
1577041500,9,212
1577466000,16,145
1578036000,23,93
1578201900,25,535
1578205800,100,50
1578578100,22,10
1578700500,18,2000
1578936000,13,40
1578939900,20,350
1579054500,100,73
1579389300,21,645
1580654700,19,1
1581036600,5000,21
1581246900,21,1
1581314400,19,45
1581714900,1,10
1581794400,19,40
1582767300,16,800
1582824900,20,10
1583019600,22,130
1583021400,20,825
1583451600,19,3746
1583467800,21,690
1583629500,20,1
1583879700,19,100
1584142500,20,714
1584377100,19,400
1584497100,12,1000
1584925200,1,1490
1584927000,10,3213
1584929100,19,1858
1585014900,21,10
1585043100,12,100
1585628400,1,35
1585658100,18,87
1585813800,21,1600
1586031900,1,1
1586467500,26,853
1586555700,21,200
1586658600,1,645
1587127800,19,700
1587202200,5,165
1587204000,8,229
1587205800,16,64
1587283800,21,10
1587438300,22,1
1587623700,20,100
1587790200,22,500
1587819600,9,190
1588036800,20,100
1588177200,31,1000
1588329600,7,35
1588579500,10,100
1588616100,18,100
1588654500,7,1500
1589962800,13,50
1590159000,27,55
1590686700,21,210
1590724800,9,1
1590743100,499,1
1590792600,17,822
1590796500,18,188
1590800100,24,165
1591048500,299,1
1591223400,24,5342
1591478700,81,5
1591580700,33,735
1592094000,100,3000
1592261700,33,2784
1593042300,69,2891
1593124500,32,26745
1593142500,428,1185
1593144300,452,1985
1593209700,489,1000
1593213600,157,10956
1593281100,150,1
1593286500,35,55
1593306600,33,1346
1593339300,35,1111
1593522000,489,1
1593538200,37,135
1594139400,489,1
1594311600,38,970
1594690200,33,3485
1594890900,38,29
1595006700,60,100
1595069100,38,120
1596051600,399,1
1596108900,2,2694
1596911700,23,114
1597006500,24,3221
1597084200,2,745
1597184700,24,220
1597646400,150,200
1597701600,24,2355
1598269500,28,114
1598472000,24,4141
1598650200,22,21610
1598912700,24,1505
1599183900,25,250
1599253800,24,4095
1599675600,29,1000
1599797100,42,15
1601654700,22,1000
1601656500,23,2345
1601658300,24,1345
1601669100,150,10
1601723700,25,1000
1601727300,29,800
1601807400,32,325
1602266100,136,30
1602629400,25,1000
1602930900,2,3889
1603210200,100,2
1603541700,2,315
1603850100,80,400
1604170800,488,1
1604358300,35,19785
1604874900,34,54638
1604887500,31,125
1605405300,33,2200
1605408900,34,2200
1605629700,23,1
1607103600,25,5000
1607296800,27,255
1607628600,2,2265
1607643300,31,3815
1607719500,27,10
1608078300,20,1000
1608120300,28,2
1608227100,29,390
1608276900,31,4600
1608724500,2,16215
1610060700,20,60
1610568000,2,15
1610639700,30,1
1610648700,2,90
1610738100,10,7
1612294500,28,200
1613146200,21,1
