timestamp,avg,qty
1576459200,28,15
1577041500,24,20
1577466000,8,280
1578700500,5,1900
1579389300,21,5
1581036600,23,21
1583021400,58,5
1584927000,20,120
1584929100,20,120
1586467500,20,10
1588579500,10,200
1590724800,1,1
1590792600,18,812
1590796500,17,189
1591048500,23,1
1591223400,489,500
1592094000,33,2265
1593142500,33,395
1593144300,33,395
1593213600,33,1100
1593281100,34,1
1593306600,489,2
1593522000,36,1
1594311600,488,60
1596911700,2,1
1597646400,24,210
1598472000,389,4928
1598650200,389,1782
1598912700,389,100
1599183900,2,250
1599253800,389,206
1601654700,23,915
1601656500,23,2245
1601658300,24,1330
1604170800,260,2
1604358300,386,200
1604874900,36,1
1605408900,20,400
1607643300,2,100
1613146200,3,1
