timestamp,avg,qty
1574994300,27,1
1575001500,30,1
1575069900,46,1
1575153300,23,1
1575153900,23,1
1575155700,23,1
1575156000,23,1
1575156300,23,1
1575218700,1,1
1575224400,1,1
1575224700,1,1
1575225000,1,1
1575242700,1,17
1575244800,1,17
1575246300,1,1
1575255600,32,1
1575292500,28,1
1575317100,27,1
1575329400,1,1
1575329700,1,1
1575330000,1,1
1575330300,1,1
1575330900,1,1
1575331200,30,1
1575333300,30,1
1575346200,31,18
1575352200,31,1
1575377100,29,1
1575379200,33,1
1575379800,33,1
1575380700,33,1
1575384600,33,5
1575433500,1,1
1575498000,28,1
1575529200,1,1
1575529500,1,1
1575529800,1,1
1575530100,1,1
1575530400,1,1
1575531000,1,1
1575558600,33,1
1575561600,33,1
1575561900,33,1
1575562200,33,1
1575576300,33,2
1575576900,33,2
1575577800,32,5
1575578400,30,11
1575578700,31,13
1575579300,30,11
1575579600,31,12
1575582600,29,8
1575582900,33,9
1575583200,28,7
1575583500,29,8
1575584100,22,3
1575593100,33,1
1575593700,33,1
1575594000,33,1
1575629400,1,1
1575630900,18,5
1575656400,33,10
1575664500,25,1
1575665100,31,2
1575665400,25,1
1575665700,31,2
1575666900,38,1
1575667200,31,2
1575667500,38,1
1575678000,1,1
1575740400,34,1
1575770100,32,1
1575772200,32,1
1575772800,32,1
1575773400,32,1
1575813900,32,1
1575851400,33,1
1575853200,33,1
1575930300,33,2
1575930600,33,2
1575931500,33,2
1575932100,33,2
1575996300,63,1
1576001700,17,1
1576002000,17,1
1576002600,17,1
1576059900,1,1
1576075800,1,1
1576098300,3749,10006
1576098900,3749,10004
1576099200,3749,10006
1576099800,3749,10009
1576100100,3748,10008
1576100400,3749,10009
1576100700,3748,10008
1576105500,28,2
1576109100,1,1
1576109700,20,1
1576110000,1,1
1576111200,21,5
1576112400,26,4
1576178700,375,8
1576180200,375,8
1576180500,1,5
1576180800,375,8
1576181100,1,5
1576188900,33,6
1576189500,33,6
1576190400,32,28
1576191000,33,7
1576191600,32,28
1576364400,6,2
1576373700,160,15
1576468500,500,2
1576760100,100,1
1577037900,50,2
1577041500,2,1
1577045100,75,1
1577046900,75,1
1577050200,52,6
1577057700,54,1
1577123700,26,4
1577126400,26,19
1577127600,26,19
1577127900,26,19
1577128200,26,6
1577135400,47,5
1577139000,47,15
1577139600,47,18
1577143500,47,5
1577146800,2,1
1577147100,47,1
1577147400,2,1
1577148300,2,1
1577213400,31,18
1577216700,33,12
1577217000,33,10
1577217300,33,12
1577217600,33,10
1577217900,33,12
1577218500,38,4
1577219100,38,4
1577219700,38,4
1577220300,60,1
1577222400,48,3
1577223300,48,3
1577223900,48,3
1577224200,48,3
1577224500,48,3
1577224800,48,3
1577225100,48,3
1577225400,48,3
1577236800,54,1
1577284200,5,1
1577286300,5,1
1577388300,27,6
1577389800,27,8
1577391900,27,3
1577583300,1,1
1577583900,1,1
1577584200,1,1
1577585100,4,2
1577643600,1,1
1577694900,9,9
1577706300,1,1
1577769900,5,1
1577819400,13,6
1577821200,13,3
1577824800,11,6
1577833800,3,1
1577930100,3,1
1578036600,4,3
1578201900,3,9
1578204000,3,9
1578245700,3,1
1578246300,3,1
1578274800,3,1
1578315900,3,1
1578328200,20,7
1578376800,17,1
1578499500,16,1
1578505200,7,1
1578518100,2,1
1578554400,2,1
1578591900,19,1
1578623400,20,1
1578630900,20,1
1578685800,15,12
1578691200,15,39
1578693000,10,3
1578694800,10,3
1578713400,2,37
1578719100,2,114
1578783900,19,2
1578785700,20,1
1578796800,19,2
1578798900,19,2
1578809700,18,1
1578840600,18,1
1578853200,18,27
1578855000,18,27
1578891900,18,1
1578945300,9,2
1578947100,17,1
1578948900,17,1
1578960000,20,3
1578961800,20,3
1578963600,4,1
1578993600,2,1
1579034400,12,2
1579047300,5,1
1579069200,5,1
1579073100,18,2
1579074900,18,2
1579086300,21,1
1579118100,5,2
1579140300,5,1
1579187100,21,1
1579205700,11,2
1579209300,9,3
1579222200,2,1
1579224000,2,1
1579298400,18,7
1579409400,8,2
1579411500,2,1
1579416900,2,1
1579450800,11,2
1579452600,11,2
1579487400,20,1
1579547700,998,11005
1579551300,999,21
1579553100,999,4
1579554900,999,2
1579556700,21,1
1579562400,22,1
1579564200,12,2
1579567800,22,1
1579575000,25,1
1579584300,50,1
1579636500,700,1
1579652700,301,1
1579708800,100,18
1579740000,475,12
1579741800,500,9
1579752900,500,2
1579869300,25,1
1579915200,200,1
1579917000,200,1
1579918800,33,1
1579938600,30,1
1579962900,30,7
1579974000,30,4
1580031000,100,1
1580084100,100,1
1580086200,100,1
1580519100,60,1
1580526300,52,1
1580623500,52,1
1580634300,56,1
1580683800,52,1
1580766600,128,1
1580827200,85,2
1580829300,43,1
