timestamp,avg,qty
1575001500,924,21
1575027300,1043,3
1575042000,1163,51
1575043500,1199,41
1575043800,1199,40
1575044100,1199,41
1575044400,1199,40
1575045000,1199,41
1575045600,1199,40
1575060600,1183,461
1575081000,994,412
1575082800,995,439
1575109800,960,1
1575110400,1198,575
1575110700,960,1
1575111300,1198,575
1575137700,977,20
1575164700,1016,30
1575165000,1016,30
1575165600,1016,30
1575165900,1016,30
1575166200,1016,30
1575166500,1016,30
1575166800,1016,30
1575167100,1016,30
1575167400,1016,30
1575167700,1016,30
1575232200,1013,37
1575242700,1160,3
1575244800,1193,582
1575246300,1193,659
1575253800,1199,1000
1575255600,1183,24
1575257400,1105,4
1575313200,1053,57
1575422700,1160,1
1575444600,1003,1
1575581700,1033,38
1575594300,1005,98
1575650100,982,12
1575713100,961,1
1575715200,961,1
1575805500,1200,2
1575867600,1026,179
1575959700,1098,21
1576030800,1074,11
1576031100,1074,11
1576031700,1074,11
1576086900,900,100
1576267500,1019,267
1576435500,1236,20
1576437300,1236,20
1576600800,1000,63
1576612200,1031,204
1576635300,1029,80
1576866300,977,33
1576867200,977,33
1576867500,977,33
1577052000,1046,9
1577076000,1050,151
1577204400,1046,3
1577219100,1142,1
1577223300,1046,20
1577237100,1194,3348
1577237400,1199,3248
1577237700,1194,3348
1577238000,1199,3248
1577238300,1194,3348
1577238600,1194,3348
1577428200,1040,303
1577559900,1201,1
1577596500,1201,136
1577649000,1040,1
1577766600,960,11
1577926500,1182,106
1578017400,1143,149
1578093900,1151,247
1578165000,1353,120
1578168600,1438,44
1578249900,1339,16
1578287700,1292,1
1578433200,1339,7
1578542400,1477,8
1578625500,1217,1
1578743100,1271,30
1578785700,1300,203
1579358100,1001,18
1579492800,1081,19
1579558500,1232,1
1579567800,1233,19
1579643700,1214,99
1579645500,1214,99
1579815900,1154,100
1579834200,1050,60
1580166300,1078,27
1580175900,1126,85
1580504400,1128,6
1580506200,1128,13
1580587200,1000,30
1580596200,1041,119
1580607000,1128,33
1580612700,1128,34
1580614500,875,50
1580616300,879,51
1580671200,1102,82
1580685600,950,90
1580687400,950,90
1580786400,977,109
1580934300,1059,40
1580956200,1005,122
1581206400,1034,46
1581371700,1005,254
1581463500,1005,60
1581590400,1055,216
1582142700,1096,560
1582165500,1121,53
1582167300,1121,98
1582167600,1121,98
1582290900,1012,51
1582292700,1012,51
1582417500,1073,66
1582492800,1000,15
1582555500,1123,108
1582631700,1135,250
1582725600,1082,6
1582729500,1123,39
1582746300,900,48
1582755300,917,263
1582845900,1000,68
1582848000,1000,68
1582932900,1115,18
1583105100,1065,140
1583106900,1065,140
1583170800,1121,12
1583198400,1121,9
1583390400,1000,10
1583405700,1057,73
1583462400,1069,14
1583467800,1000,350
1583601000,1163,80
1583613300,1108,2
1583614200,1108,2
1583614500,1108,2
1583614800,1108,2
1583615700,1108,2
1583619300,1110,19
1583619600,1110,19
1583620500,1110,19
1583621100,1110,19
1583621400,1110,19
1583621700,1110,19
1583622000,1110,19
1583622300,1110,38
1583624100,1110,38
1583655900,1050,1
1583656200,1050,1
