timestamp,avg,qty
1575411900,372,5
1576284600,1501,17
1576285800,1501,17
1576431900,1300,1
1578088500,638,2
1578093300,600,1
1578451800,639,7
1579294800,126,3
1579296600,126,5
1579631100,586,1
1579712400,622,40
1579806900,92,1
1579828800,591,4
1579900500,92,99
1579908000,220,1
1580071500,92,49
1580338200,571,5
1580768400,569,4
1580963400,558,1
1581470700,496,10
1582058700,340,58
1582059900,340,58
1582060200,331,61
1582304100,362,1
1582439100,92,4
1582618500,440,1
1583023200,93,2
1584266700,361,1
1584402300,92,1
1584843000,236,3
1584919800,92,1
1585641600,999,3
1585643400,999,3
1586070000,989,148
1586071800,989,159
1586073600,989,11
1586075400,989,7
1586077200,989,11
1586079000,989,4
1586124300,989,1
1586144400,989,26
1586257500,989,69
1586264700,947,6
1586297700,439,1
1586360400,988,1
1586362200,988,11
1586449500,523,13
1586451300,523,13
1586478300,439,2
1586698800,805,1
1586729700,476,3
1586781300,476,1
1586821200,969,26
1586888700,617,1
1587185700,1289,14
1587225900,1020,2
1587243900,713,59
1587329100,1489,185
1588011300,701,5
1588122300,276,16
1589173800,267,2
1589306100,100,39
1589320500,315,18
1589322300,319,19
1589324100,400,23
1589515200,302,2
1589560500,375,1
1589703600,400,1
1590376200,459,2
1590476700,438,15
1590937800,443,1
1591219800,248,3
1591644900,305,27
1591648500,306,14
1591668300,310,4
1592170500,100,1
1592441400,351,12
1593645300,600,5
1593818400,600,1
1595360700,314,13
1595907600,1144,23
1596584700,200,5
1596854100,200,1
1599339000,197,1
1600659300,248,3
1600923900,239,1
1601480400,164,1
1602454200,196,1
1602863700,156,1
1603810200,100,1
1604432100,100,99
1605802200,1001,1
1606008600,600,16
1609915800,425,1
1610165700,400,1
1611624300,531,7
1612430100,485,3
