timestamp,avg,qty
1576044300,773,1
1579134900,1250,1
1579641900,1012,2
1580423100,693,5
1580482800,1,20
1580493600,767,6
1580544600,302,8
1580700000,901,1
1580801100,632,8
1581371700,688,1
1581373500,688,1
1581375300,688,21
1581391500,688,1
1581718500,975,1
1582077000,955,2
1582408500,980,8
1582757400,800,26
1583117700,1020,46
1583455200,900,7
1585052400,1206,1
1585074600,1206,7
1586013600,1257,8
1586044500,1257,1
1586467500,8592,99
1586469300,9475,9030
1586471100,9485,8931
1586472900,1358,101
1586474700,1231,6951
1586499000,1353,886
1586553900,1344,1530
1586575500,1331,1043
1586622300,1330,50
1586738700,1327,520
1586742300,730,1424
1587071100,1271,5003
1587242100,899,671
1587254700,874,671
1587260100,880,1
1587757500,1639,10
1587788400,490,1
1588189800,1179,1
1588541100,2980,501
1588790100,1446,57
1589053500,1318,9
1589055300,1311,8
1589057400,1311,7
1589057700,1311,6
1589282400,1444,1
1589384400,1404,4
1589388000,8878,5
1589389800,8888,7006
1589391600,8888,7018
1589393400,8889,717
1589395200,7608,12905
1589397000,8133,21865
1589399100,8795,10208
1589400900,7113,548
1589402700,1520,1
1589476800,4834,171
1589478600,8749,4967
1589480700,8889,13566
1589482500,8888,8771
1589484300,8889,10001
1589486100,8889,10001
1589489700,5001,162
1589517000,1725,129
1589558700,5999,1502
1589560500,6055,1532
1589562300,8876,109
1589565900,8876,57
1589571300,7592,2122
1589580300,2000,2
1589582100,2000,58
1589583900,2000,56
1589602200,2000,5
1589604000,2033,6
1589605800,2200,1
1589843100,1831,1
1590001200,1738,1
1590003000,1738,1
1590032100,1740,1
1590059100,1740,1
1590064800,1745,14
1591546500,1409,1
1592166900,785,1
1592419500,150,2
1593042300,1382,19
1593681600,1447,6
1593801900,1443,23
1593894900,1438,172
1594065900,1438,267
1594346400,1107,986
1595520900,1190,11
1595607000,1392,1
1595663400,1300,1
1596824100,1500,26
1597344000,1600,1
1598114100,6647,14464
1598114700,6647,14464
1598115600,6647,14464
1598115900,6647,14464
1598116500,550,14
1598117400,6647,14464
1598117700,550,14
1598118300,8890,1
1598120100,8890,1
1598121900,6796,14100
1598123700,6754,14202
1598125500,895,102
1598202600,1408,22
1598206800,8890,10000
1598208300,8890,10000
1598209500,8889,10077
1598210400,8872,499
1598211600,8889,10551
1598213400,8889,19057
1598214600,8889,9057
1598216400,8846,9060
1598216700,8846,9060
1598218200,1685,185
1598218500,1685,55
1598220600,1685,131
1598224200,1716,30
1598226000,1970,26
1598227800,6442,73
1598229600,8772,76
1598235000,8772,26
1598291100,8790,5002
1598292900,3640,17764
1598294700,1795,15079
1598295300,2749,2317
1598295600,1795,15079
1598296500,2749,2317
1598751000,1626,24
1598898600,1548,310
1598900400,1548,310
1599087000,550,88
1599328200,3459,10004
1599330000,3929,11173
1599331800,7956,1175
1599333600,7028,7
1599360600,1498,102
1599409500,7480,4001
1599411300,7480,10000
1599413100,7479,6016
1599414900,7472,18
1599416700,7470,117
1599418500,7365,10101
1599420300,7365,10051
1599688200,650,1
1599769800,789,200
1600021800,825,120
1601879100,1640,1
1602625800,1011,2
1603149600,1581,1
1603151700,1581,1
1603153500,1585,16
1604196300,1642,1
1604687400,935,32
1604689200,935,22
1604763300,927,207
1605034800,1500,4
1605241500,1464,1
1607171100,1400,1
1607187600,1400,1
1608238500,1666,1
1608386400,1550,1
1608602700,1459,23
1609167600,1573,10
1609967700,1652,9
1609968600,1652,9
1609969200,1652,9
1609969800,1652,9
1609975200,1648,408
1610311800,1601,678
1610832600,18270,3000
1610836800,1656,1
1610837100,18270,7000
1610837400,1656,1
1610838600,1656,1
1610838900,1656,1
1610839200,1656,1
1610840400,18241,602
1610841300,18269,19099
1610842200,18269,19099
1610843100,18269,18498
1610843400,18269,19099
1610904300,1830,26
1610905200,2000,1
1610920200,4703,5
1611893100,1800,1
1612028100,1999,1
1612207500,2100,1
1612430100,701,3
