timestamp,avg,qty
1574973000,441686,4
1574973300,442411,6
1574973600,441686,4
1574974200,442411,6
1574974800,442900,8
1574975400,443222,6
1574976900,443260,7
1574978400,443217,5
1574979000,442681,6
1574979600,443217,5
1574979900,442681,6
1574980200,442181,4
1574980800,440666,3
1574981100,442181,4
1574981700,440666,3
1574982600,440791,13
1574982900,440945,13
1574983200,440791,13
1574983500,440685,15
1574984400,440662,14
1574984700,440685,15
1574985000,440662,14
1574985300,439330,3
1574985600,440662,14
1574986200,439995,2
1574986500,439330,3
1574987700,439995,2
1574988000,440000,11
1574989500,439999,12
1574992800,440000,2
1574994300,439620,2
1574996400,439592,3
1574997900,439768,2
1575000000,438833,2
1575005100,439022,1
1575007200,442189,4
1575008700,443244,3
1575010800,439999,2
1575012000,441937,4
1575014100,443875,8
1575015900,443850,7
1575018000,443840,5
1575019800,443875,3
1575025200,444437,2
1575027300,444500,2
1575029100,444000,1
1575034500,439999,1
1575036000,440218,4
1575038100,441858,3
1575038400,441187,4
1575038700,441858,3
1575039600,444257,3
1575039900,444162,4
1575040200,444257,3
1575040500,444162,4
1575040800,444257,3
1575041100,444162,4
1575041400,444257,3
1575041700,444162,4
1575042000,444257,3
1575043500,444558,3
1575043800,444900,2
1575044100,444558,3
1575044400,444900,2
1575045000,444558,3
1575045300,444900,2
1575047700,441517,4
1575049200,441413,5
1575051000,440709,3
1575051900,440754,4
1575052800,440709,3
1575053100,441143,5
1575055200,441529,3
1575056700,439954,5
1575058500,438444,4
1575060600,437000,4
1575062400,437018,3
1575064200,436939,2
1575066000,437959,3
1575068100,437615,7
1575069900,437206,9
1575071700,436460,6
1575072300,437752,5
1575073200,436460,6
1575073500,436365,15
1575073800,435776,17
1575074400,436365,15
1575075300,435869,15
1575077100,435600,1
1575079200,436547,3
1575081000,436586,6
1575082800,436370,4
1575086700,436000,2
1575088500,436115,5
1575090300,436143,4
1575092100,436281,3
1575092400,436236,4
1575092700,436281,3
1575093300,436236,4
1575093600,436281,3
1575093900,436486,8
1575095700,436475,6
1575097500,436079,3
1575099600,436333,1
1575102900,432771,2
1575103800,434338,4
1575104100,432771,2
1575104700,434338,4
1575106500,435905,2
1575106800,434338,4
1575107400,435905,2
1575108600,437037,3
1575109800,437022,5
1575110400,437018,6
1575110700,437022,5
1575111300,437000,3
1575111600,437018,6
1575112200,437000,3
1575112500,436975,4
1575112800,437000,3
1575113100,436975,4
1575113700,436950,2
1575114300,436900,1
1575114600,436950,2
1575114900,436900,1
1575117600,434344,22
1575118500,434394,36
1575118800,434344,22
1575119100,434394,36
1575120300,434410,37
1575120900,434443,39
1575121200,434592,14
1575122100,434443,39
1575122400,436500,25
1575122700,434592,14
1575123000,436476,25
1575123600,436500,25
1575123900,436476,25
1575125100,436502,24
1575125700,436652,24
1575126300,435576,3
1575126900,436164,2
1575127200,435576,3
1575127800,436164,2
1575128400,438079,1
1575129900,434473,1
1575135900,432348,2
1575136800,432065,3
1575139500,431376,5
1575140700,430693,4
1575141000,431376,5
1575141300,432340,14
1575141900,430693,4
1575142200,432340,14
1575142500,432460,14
1575144600,432744,14
1575144900,432141,5
1575145200,432744,14
1575146100,433669,3
1575146400,432141,5
1575146700,433669,3
1575147900,433024,7
1575148800,433147,6
1575149100,433024,7
1575149400,433147,6
1575149700,433291,8
1575150000,433147,6
1575150300,433291,8
1575150600,433733,6
1575150900,433291,8
1575151200,433733,6
1575151800,429492,67
1575153300,429989,75
1575153600,429492,67
1575153900,430041,76
1575154200,429989,75
1575155100,430041,76
1575155700,434017,15
1575156000,434091,12
1575156300,434017,15
1575156900,433621,6
1575157200,434017,15
1575157500,433504,6
1575157800,433621,6
1575158100,433504,6
1575158400,433621,6
1575158700,433504,6
1575159300,432836,7
1575159600,433102,10
1575159900,432836,7
1575160800,432776,16
1575161400,432742,15
1575161700,432776,16
1575162000,432742,15
1575162900,432651,14
1575163200,432732,13
1575164100,432651,14
1575164700,431993,3
1575165000,432003,4
1575165600,431993,3
1575165900,431811,2
1575166200,432003,4
1575166500,432032,1
1575166800,431811,2
1575167100,432032,1
1575167400,431811,2
1575167700,432032,1
1575168300,431857,2
1575168600,431944,2
1575168900,431857,2
1575171900,432976,6
1575172800,433142,5
1575173100,432976,6
1575173700,433175,7
1575175200,433037,6
1575175500,432137,4
1575176100,432640,4
1575176700,432137,4
1575177300,432168,2
1575179400,433218,4
1575181200,433454,5
1575183000,434350,2
1575183300,434424,3
1575184500,434350,2
1575186600,434000,1
1575190200,430000,1
1575190500,434000,1
1575190800,430000,1
1575194700,429989,4
1575195300,429992,6
1575196500,430782,5
1575198000,430988,4
1575199500,431977,2
1575201300,434473,1
1575206100,436229,116
1575207000,436220,118
1575207300,436229,116
1575207600,436220,118
1575209400,434193,3
1575209700,436220,118
1575210000,434193,3
1575210600,431182,1
1575210900,434193,3
1575211200,431182,1
1575213300,448230,1
1575213600,439706,2
1575213900,448230,1
1575215100,447743,2
1575215700,448230,1
1575216000,447128,2
1575216600,447743,2
1575216900,446615,3
1575217200,447128,2
1575217800,446615,3
1575218700,445942,3
1575219300,446615,3
1575219600,445942,3
1575219900,445211,3
1575220500,444495,4
1575222300,444306,3
1575222900,444495,4
1575223200,444165,4
1575223800,444306,3
1575224100,444165,4
1575224400,444362,2
1575224700,444165,4
1575225000,444362,2
1575225900,443095,2
1575227100,452928,5
1575228000,451106,6
1575228300,452928,5
1575228600,451106,6
1575228900,452837,5
1575229200,451106,6
1575229800,452837,5
1575230100,452534,6
1575230700,428900,20
1575232200,437083,36
1575232800,433778,27
1575233400,439319,47
1575234000,449925,40
1575234300,439319,47
1575235200,449925,40
1575235800,452212,27
1575237300,452872,12
1575237600,453558,8
1575237900,452872,12
1575238200,453558,8
1575238500,452872,12
1575238800,459639,6
1575239100,453558,8
1575239400,459639,6
1575239700,459742,7
1575240300,459639,6
1575240600,472119,7
1575242700,478277,8
1575244800,470559,5
1575246300,469371,8
1575248100,468574,5
1575249000,467949,5
1575250200,466875,1
1575252000,467129,2
1575252900,467383,1
1575253800,466525,3
1575255600,466542,8
1575257400,466764,8
1575259200,468097,5
1575261000,467912,7
1575262800,467417,13
1575263100,467396,14
1575263400,467417,13
1575264000,467396,14
1575264300,467417,13
1575264600,467467,10
1575266400,466838,2
1575268200,467880,9
1575270300,468867,3
1575270600,468046,8
1575271200,468867,3
1575272100,468816,2
1575272700,469144,3
1575273000,468816,2
1575273300,469144,3
1575273600,452763,23
1575274200,452078,22
1575274500,452763,23
1575274800,452078,22
1575275400,451234,21
1575275700,467000,2
1575276000,451234,21
1575276300,467000,2
1575276600,451234,21
1575281100,470699,1
1575281700,484279,2
1575282000,470699,1
1575282300,484279,2
1575283800,478986,3
1575284400,480446,3
1575285300,471739,2
1575285600,480446,3
1575286200,472490,3
1575287700,474534,2
1575288000,473991,1
1575288300,474534,2
1575288600,473991,1
1575290100,466999,2
1575290700,466332,3
1575291000,466999,2
1575291600,466332,3
1575293700,465000,1
1575294000,466332,3
1575294300,465000,1
1575296400,466999,1
1575300300,467000,4
1575303300,465932,1
1575303900,465977,3
1575304200,465932,1
1575304500,465977,3
1575306300,464888,4
1575306600,464540,3
1575307800,462761,4
1575308100,462751,5
1575308400,462761,4
1575309000,462751,5
1575309300,462761,4
1575309600,463124,5
1575309900,463273,5
1575310200,463124,5
1575311100,463273,5
1575311400,463151,3
1575311700,463273,5
1575312000,463151,3
1575312300,463370,2
1575312600,463151,3
1575313200,461900,1
