timestamp,avg,qty
1575240600,1170,10
1575472500,3992,10
1575578700,4158,10
1575676800,1297,4
1575863700,1337,106
1575865800,1328,107
1575867600,400,1
1575909600,2490,5
1576220100,1173,10
1576340400,800,1
1577277000,1182,4
1577382600,984,10
1577501700,749,8
1577559900,2573,3
1577569200,868,10
1577728500,1069,2
1577932200,1099,2
1578250200,1202,10
1578494100,1172,8
1578632700,1071,3
1578704100,1114,2
1578956400,10775,10
1579280100,1228,1
1579303800,925,1
1579463400,1133,10
1579625400,1254,6
1579627500,1425,8
1579629300,1940,2
1579823100,1213,3
1580088000,1290,10
1580321700,1005,20
1580352600,1195,1
1580499000,1105,10
1580504400,1240,7
1580506200,1275,10
1580508000,1359,3
1580517300,1295,3
1580618100,1231,1
1580683800,404,1
1580937900,1300,10
1580965200,1240,1
1581195600,972,19
1581250800,961,1
1581273000,913,10
1581459900,2480,12
1581468900,2000,1
1581483300,5922,8
1581582900,1760,10
1581895200,993,10
1581904500,853,1
1581924900,1236,9
1582494600,1323,10
1582658100,1345,1
1582735500,1245,10
1582744800,1345,1
1582755300,110,1
1582905000,1345,10
1582940400,1112,10
1582942800,1191,20
1582943100,1112,10
1582943700,1191,20
1582944000,1270,10
1582944300,1191,20
1582944600,1270,10
1583003100,500,3
1583278800,1311,9
1583282400,1681,1
1583425500,1192,10
1583642400,1165,10
1583708400,1192,1
1583803500,1254,6
1584140700,1196,3
1584211800,1274,4
1584215700,1324,6
1584482700,3949,7
1584682200,1130,16
1584684000,1208,26
1584685800,1333,10
1584813900,1334,1
1584835800,1300,10
1584864900,1315,10
1584877800,622,10
1585016700,1325,7
1585063500,1288,10
1585089000,1089,1
1585165800,2233,10
1585198500,1309,5
1585412700,1256,3
1585427100,1322,5
1585487400,1391,1
1585560300,1000,10
1585634100,1393,10
1585635900,991,20
1585637700,589,10
1585643400,1337,21
1585868700,1211,10
1585918800,1295,10
1585949700,1000,10
1586021100,574,10
1586024700,1320,7
1586099100,1359,4
1586100900,1399,10
1586102700,1426,6
1586109900,763,7
1586126100,1855,10
1586199000,1265,10
1586208300,1331,10
1586533800,1140,1
1586546700,1290,10
1586635200,1245,4
1586720700,1210,9
1586722500,1589,10
1586746200,1253,4
1586790600,707,10
1586819400,756,10
1586876100,1117,10
1586883300,1277,10
1586894100,1236,10
1586963100,1175,10
1586964900,1159,11
1586966700,1009,1
1587014100,1236,1
1587038400,1096,10
1587220200,5000,10
1587339900,1160,10
1587396600,1163,10
1587491400,5000,10
1587502200,1259,10
1587544800,5000,10
1587585000,1259,7
1587596100,1197,10
1587761100,1227,10
1587768300,1017,3
1587848700,1227,1
1588018500,2207,8
1588077000,4000,2
1588153500,1153,10
1588158900,1159,10
1588244400,3847,10
1588284300,1047,1
1588300500,1049,1
1588335300,1482,2
1588482600,1038,10
