timestamp,avg,qty
1575863700,2559,1
1575865800,2559,1
1577382600,934,8
1577569200,612,5
1578632700,5000,3
1579823100,1254,2
1580352600,639,2
1580965200,23,1
1581195600,1305,3
1581273000,913,10
1582744800,105,1
1583425500,251,2
1583708400,1453,1
1584877800,202,1
1586126100,887,5
1586722500,1083,10
1586894100,101,2
1588335300,1159,1
1588822800,1102,10
1589006400,1212,10
1589750700,2979,10001
1589834100,1223,1
1590081000,905,5
1591125000,1178,1
1591713900,1215,6
1597220700,250,1
1597222200,275,2
1597224000,275,2
1597225800,250,1
1597893600,15,1
1597946100,8889,10002
1597947900,8888,10003
1597948200,8889,10002
1597948500,8888,10003
1597949700,51,1
1597951500,8890,10001
1597953300,8890,10001
1597960500,8890,1
1597961100,8890,1
1597961700,8890,1
1597962300,8890,1
1597966500,8887,11012
1597968300,4991,11010
1597970100,4989,11000
1597971900,51,1
1598121900,120,1
1598319900,6620,1
1598398800,2972,1701
1598400900,2972,1701
1598404500,6480,2000
1598406300,6480,2000
1598907300,2586,1
1607897100,1700,10
1611615000,1640,10
