timestamp,avg,qty
1575032700,6,2
1575033600,5,1
1575034200,6,2
1575034500,5,1
1575038100,3,578
1575042000,5,11
1575058500,2,1
1575060600,3,126
1575062400,4,126
1575068100,7,2
1575073500,2,8
1575077100,3,3
1575079200,7,2
1575088500,4,2
1575092100,6,4
1575093900,7,3
1575135000,5,1
1575135900,6,3
1575136200,5,1
1575136800,6,3
1575139500,7,3
1575147900,3,136
1575151800,2,1
1575153300,6,12
1575153600,2,1
1575153900,7,12
1575154200,6,12
1575155100,7,12
1575155700,4,133
1575162900,5,3
1575165900,4,8
1575166200,5,4
1575166500,4,8
1575168300,5,6
1575171900,2,1
1575181200,5,3
1575183000,7,2
1575200100,4,377
1575203700,7,2
1575223200,6,3
1575223800,7,2
1575224100,6,3
1575225900,4,128
1575232200,7,1
1575237300,4,2
1575240600,7,5
1575243600,6,10
1575243900,7,8
1575244200,6,10
1575249000,7,2
1575257400,2,1
1575266400,7,1
1575282600,6,1
1575286200,7,2
1575293700,3,471
1575294000,7,2
1575294300,3,471
1575303300,7,1
1575313200,4,157
1575315900,5,1
1575321000,3,10
1575324600,4,2
1575324900,3,12
1575325500,4,2
1575325800,2,1
1575326100,4,2
1575326400,2,1
1575329400,3,126
1575331800,8,3
1575332100,3,128
1575332400,8,3
1575333300,7,4
1575333600,6,2
1575333900,7,4
1575334500,6,2
1575334800,5,1
1575336900,8,1
1575342600,12,10
1575364200,20000,1
1575375600,10,1
1575388200,2507,4
1575391800,2,3
1575411900,3,2
1575420900,2,2
1575430800,3,3
1575431100,2,4
1575431700,3,2
1575434700,2,2
1575435000,3,2
1575435300,2,2
1575437700,3,1
1575438300,2,1
1575438900,3,1
1575442800,2,3
1575452100,1,10
1575455700,2,2
1575468300,3,1
1575477600,2,1
1575490800,3,1
1575498000,2,1
1575503400,3,2
1575515400,2,2
1575515700,3,1
1575516000,2,2
1575516300,3,1
1575516600,2,2
1575532200,3,1
1575536400,2,10
1575560700,3,1
1575564300,2,5
1575564600,3,4
1575564900,2,5
1575569100,3,1
1575569400,2,1
