timestamp,avg,qty
1575095700,868,305
1575099600,1379,695
1575125100,425,1321
1575153300,1400,1
1575277200,1440,30
1575325800,1437,1
1575346200,1250,18
1575400800,1422,200
1575564300,1441,1
1575810600,1400,1
1575875400,1446,15
1575897600,1385,1
1576017000,1392,2
1576048800,1467,217
1576050000,1386,275
1576052700,1083,58
1576053000,1386,275
1576053300,1083,58
1576083600,1500,1
1576085400,1222,3
1576086900,1083,2
1576087200,1222,3
1576087500,1083,2
1576180200,1253,100
1576184700,1300,700
1576209900,1500,200
1576289100,1590,300
1576303200,1598,200
1576366200,1500,200
1576452000,1346,13
1576514100,1984,1
1576542900,1999,1000
1576543500,1997,1007
1576544100,1999,1000
1576544400,1997,1007
1576544700,1952,1308
1576546500,1800,317
1576636500,1500,1
1576649100,1949,1
1576674000,1570,1
1576724100,1928,20
1576791300,1421,100
1576807500,1790,103
1576869600,1798,1
1576927800,1300,1001
1576938600,1308,3
1576940400,1313,2
1576962600,1377,300
1576975200,1376,200
1577015700,1313,101
1577017800,1312,102
1577019000,1313,101
1577019300,1229,1
1577160300,1281,100
1577311500,1245,100
1577370000,1464,500
1577388300,1266,1
1577446500,1265,2000
1577473500,1266,200
1577522100,1159,101
1577548200,1200,1
1577641800,1000,440
1577655300,999,94
1577655600,1000,95
1577656200,999,89
1577658600,969,1
1577676900,1500,20
1577682900,1129,50
1577771700,1125,600
1577810100,1007,1
1577823000,959,200
1577895600,957,1
1577935800,939,100
1577939400,1094,1
1577950500,1143,200
1577989800,946,100
1578114000,928,1
1578143700,1000,1
1578191100,976,1000
1578273900,974,50
1578282900,927,5
1578316200,941,10
1578327300,935,300
1578429600,929,300
1578570300,759,1
1578576300,600,2
1578614100,926,1002
1578615900,600,148
1578694800,704,300
1578715200,820,200
1578737700,704,1
1578771300,474,1
1578798900,600,300
1578842400,729,200
1578847800,838,1000
1578862500,544,1
1578866100,448,10
1578879000,725,39
1578945300,815,30
1578948900,701,1
1578984000,737,300
1579036200,700,100
1579119900,609,400
1579296600,600,20
1579368900,631,370
1579370700,643,400
1579372800,786,30
1579479900,556,200
1579558500,1900,101
1579564200,731,295
1579654500,603,115
1579656600,632,134
1579658400,805,249
1579782900,1134,21
1579819500,1224,4
1579821300,1155,17
1579823100,1134,366
1579828800,1497,1000
1579832400,1134,1833
1579878600,670,1
1579929600,662,342
1579933200,626,6
1579964700,670,1100
1579997700,628,680
1579999500,641,980
1580001300,670,300
1580003100,465,100
1580060700,662,1
1580121000,598,210
1580205000,612,2
1580262600,652,242
1580332800,618,45
1580387100,640,1
1580403300,576,300
1580435700,472,1
1580451900,554,1000
1580526300,800,500
1580587200,577,44
1580589000,743,300
1580590800,772,256
1580594400,900,310
1580658300,588,121
1580838300,1280,301
1580852700,545,100
1581027600,1000,200
1581079500,443,758
1581105300,517,500
1581169800,994,1000
1581175500,630,100
1581177300,872,300
1581179100,994,200
1581208500,572,800
1581243300,987,200
1581252600,443,950
1581357300,965,100
1581425100,948,1
1581483300,868,300
1581590400,870,1
1581621900,830,300
1581623700,828,302
1581625500,674,81
1581768000,443,1
1581945000,456,71
1582047600,497,1
1582060200,571,100
1582078800,550,100
1582095900,605,200
1582191000,535,20
1582242900,575,200
1582293900,669,100
1582332900,567,50
1582379400,500,939
1582534500,958,64
1582535700,957,65
1582536000,958,64
1582536300,957,65
1582536900,944,79
1582538700,887,14
1582551900,817,3
1582552200,731,2
1582552500,817,3
1582552800,731,2
1582553100,817,3
1582554000,989,1
1582662000,709,30
1582758600,954,1
1582823100,963,100
1582877100,925,632
1582878000,901,759
1582878300,925,632
1582878900,901,759
1582879200,900,763
1582881000,782,8
1582951200,961,100
1582987500,949,43
1582988400,818,339
1582990800,800,296
1582991100,818,339
1582991400,800,296
1583001000,961,400
1583183100,959,20
1583183700,914,76
1583185500,897,56
1583186100,914,76
1583187000,864,24
1583187300,897,56
1583187600,864,24
1583232300,908,1984
1583232600,864,984
1583232900,952,1000
1583233800,908,1984
1583234100,952,1000
1583361900,862,20
1583517900,746,1
1583519700,681,5
1583521500,665,4
1583567700,550,1
1583569800,525,2
1583571000,501,1
1583571300,525,2
1583571600,501,1
1583593200,709,220
1583596800,710,1000
1583607600,668,1000
1583666700,769,1000
1583693700,691,10
1583776200,663,300
1583809800,647,1000
1583863500,500,748
1583867100,664,1
1583996700,938,200
1584012300,503,3990
1584050700,925,30
1584113100,923,1
1584136800,884,200
1584144300,883,600
1584211800,505,1
1584250200,869,200
1584377100,685,10
1584378900,695,30
1584380700,700,20
1584395100,590,1
1584396900,608,201
1584422100,561,1
1584477300,653,1
1584482700,850,300
1584601500,643,300
1584680400,868,500
1584804900,747,1
1584874200,822,117
1584945300,622,360
1585000200,672,455
1585024500,580,300
1585105500,761,200
1585119900,750,314
1585121700,746,365
1585123500,721,86
1585160400,761,100
1585164000,630,1
1585202100,595,200
1585222500,630,86
1585283700,795,400
1585322700,615,206
1585331700,599,2
1585368300,620,3000
1585419900,794,2004
1585560300,636,1
1585588200,701,200
1585637700,566,300
1585652700,610,50
1585667400,619,1842
1585678200,710,200
1585689300,755,1
1585692900,545,1432
1585694700,547,1532
1585707600,580,1
1585755300,545,1180
1585791900,748,1000
1585826700,551,1
1585839600,838,1
1585877700,674,607
1585940700,734,1392
1585942500,841,500
1585997400,840,1
1586010000,989,1
1586064300,735,150
1586068200,667,20
1586075400,846,90
1586077200,947,3090
1586079000,950,3000
1586080800,983,300
1586124300,701,51
1586177100,667,300
1586210100,978,1000
1586224500,635,70
1586272200,775,218
1586409300,813,20
1586467500,932,2522
1586469300,912,3028
1586471100,792,672
1586472900,713,777
1586474700,710,740
1586562900,953,30
1586733300,688,100
1586740500,680,113
1586774100,654,30
1586803200,875,148
1586810400,654,4
1586812200,657,34
1586883300,913,200
1586895900,709,15
1586904900,799,45
1586939400,898,200
1586955600,897,300
1586977500,888,1
1587023700,872,1000
1587160200,826,60
1587180300,867,300
1587183900,720,100
1587204000,722,310
1587245700,562,51
1587287400,716,65
1587330900,690,100
1587343800,853,100
1587382200,660,16
1587391200,710,60
1587423900,815,1400
1587528000,643,200
1587596100,664,400
1587616200,666,300
1587655200,692,28
1587657000,703,200
1587658800,705,76
1587695100,639,400
1587775500,565,7252
1587810600,575,82
1587902100,690,65
1587903900,575,41
1587954600,889,300
1588013100,691,300
1588020300,761,1000
1588191600,807,621
1588211700,803,2
1588251600,630,1
1588302300,803,40
1588416900,798,500
1588458900,791,300
1588524900,671,100
1588566600,672,4
1588568400,703,67
1588570200,705,89
1588632300,777,100
1588650900,925,2000
1588687800,645,37
1588691400,691,976
1588817400,681,100
1588937100,641,230
1588939200,669,1000
1588941000,678,770
1588948200,677,100
1588975200,575,3561
1589215500,925,300
1589248200,663,9
1589382300,641,24
1589388000,649,2524
1589389800,650,2514
1589542500,575,2874
1589578500,718,103
1589583900,615,193
1589665500,925,100
1589734500,575,2464
1589739900,911,2
1589826900,680,25
1589830500,686,43
1589832300,694,1235
1589834100,695,1233
1589835900,700,70
1589839500,751,670
1589841300,719,1990
1589843100,703,1351
1589857800,810,150
1589870400,705,456
1589919300,780,400
1590030000,925,401
1590249600,683,100
1590251400,768,300
1590253200,811,200
1590262200,748,1000
1590345600,687,70
1590441600,655,1
1590518700,656,1
1590524100,677,2401
1590525900,681,2001
1590534900,697,258
1590553200,593,100
1590571500,575,7364
1590584400,659,2999
1590586200,660,3099
1590604500,689,300
1590651900,631,90
1590719400,623,1
1590792600,600,201
1590968400,586,30
1591014000,579,10
1591032300,593,100
1591239900,1127,1
1591305600,925,200
1591395000,650,3000
1591484100,606,100
1591546500,575,8293
1591555500,919,3
1591557300,917,103
1591566300,911,100
1591759800,897,100
1591828800,650,100
1591883400,865,20
1591988700,719,100
1592079600,646,100
1592130300,645,51
1592185200,594,10
1592412300,605,200
1592452200,525,1
1592545200,627,500
1592736000,605,400
1592747100,505,3145
1592752500,606,45
1592754300,607,47
1592756100,636,55
1592757900,777,315
1592759700,806,262
1592843700,573,100
1592869200,849,1
1592880000,580,122
1592881800,582,127
1592883600,642,5
1593151500,762,206
1593226500,564,111
1593275700,505,5750
1593463500,642,273
1593554700,804,100
1593782100,505,3669
1593783900,509,3869
1593785700,598,200
1593805500,802,201
1593862200,584,100
1593909300,611,500
1593966000,505,4886
1594013100,603,200
1594073400,545,200
1594204800,505,2365
1594401300,55,74
1594528500,390,1
1594581300,802,302
1594623300,570,1000
1594643400,804,1
1594666800,145,646
1594726800,525,10
1594793400,530,1000
1594811400,529,1
1594856700,499,800
1594872900,539,200
1595074800,456,1
1595103600,362,100
1595143200,544,2000
1595177700,206,1
1595195700,628,2008
1595308200,469,1000
1595456100,435,400
1595522700,440,1
1595803800,628,520
1595896800,804,80
1596235800,689,1000
1596590100,666,100
1596614100,589,40
1596670800,568,300
1596739800,720,40
1596942600,868,232
1596979200,826,402
1597399800,609,140
1597409400,588,200
1597732200,723,5
1597774800,803,100
1597858500,799,60
1598061000,721,300
1598125500,638,6
1598661300,634,1000
1598663100,635,1070
1598664900,649,70
1598682900,560,10
1598715900,677,3000
1598732700,589,1400
1598767200,786,218
1598822100,799,400
1598978400,525,1
1598989200,795,200
1599001500,543,140
1599096000,775,80
1599185700,783,200
1599342600,564,1
1599369600,720,50
1599431100,669,200
1599434700,721,282
1599525600,570,1
1599570000,525,1
1599713700,583,82
1599956400,804,1
1600123200,680,200
1600181400,669,50
1600398300,647,1000
1600495500,621,2000
1600510200,632,1000
1600512000,644,1400
1600513800,675,400
1600592400,620,50
1600691700,504,1000
1601051700,582,2000
1601075400,619,1356
1601079000,589,44
1601082600,630,3000
1601088000,629,102
1601224500,533,1
1601304000,804,100
1601365800,900,50
1601415600,548,1
1601663700,999,6001
1602316800,618,329
1602428400,852,1147
1602505800,899,1
1602528900,603,10
1602909300,663,82
1602912900,661,154
1603119900,680,3
1603164300,850,1
1603204800,680,270
1603250700,676,1000
1603328100,820,10
1603482000,806,200
1603879800,811,1
1604176500,815,1000
1604460000,687,100
1604535600,688,710
1604537400,702,838
1604539500,778,128
1604716500,665,1000
1604841900,790,500
1604911200,384,10
1604925000,787,20
1605022200,668,1
1605105600,877,1
1605120000,580,415
1605136800,678,100
1605157800,586,1000
1605165300,616,10
1605179400,580,3593
1605226800,685,100
1605234000,662,80
1605248700,600,106
1605283500,580,1552
1605328800,600,338
1605499200,587,100
1605526500,649,1
1605626100,580,1
1605705600,642,1
1605787200,779,1
1605805800,525,30
1605847200,646,30
1605870900,525,372
1605936000,646,100
1605969000,525,3470
1605972600,779,1
1606010700,525,897
1606102500,724,100
1606122600,779,40
1606133400,525,6763
1606355400,779,500
1606403400,680,10
1606404300,762,60
1606404900,680,10
1606405200,762,60
1606407000,779,50
1606488900,621,1
1606611900,668,40
1606713900,607,100
1606834800,533,50
1606851600,525,9444
1606959300,500,171
1606977300,630,1000
1607009700,500,261
1607027400,587,100
1607035500,500,103
1607216400,516,200
1607349600,543,1
1607433600,558,1
1607469900,577,1000
1607502900,558,1
1607574600,562,100
1607592000,737,84
1607604900,795,1
1607648700,350,1
1607686800,400,582
1607694000,680,1
1607811900,678,500
1607879100,584,1
1607991600,563,5000
1608431700,761,505
1608706200,566,300
1608791400,607,16
1608793200,627,47
1608795000,637,88
1608831300,592,200
1608838500,637,896
1608943500,385,401
1609334700,857,400
1609347600,810,300
1609349400,831,700
1609351200,847,400
1609391100,857,1
1609396500,564,1
1609639200,962,1001
1609670100,835,62
1609702500,938,200
1609943700,591,1
1611359400,664,100
1611409200,645,100
1611588300,654,222
1611682200,875,130
1611887700,919,101
1612059300,850,200
1612237200,848,100
1612238700,780,300
1612240800,746,200
1612241400,780,300
1612241700,746,200
1612328100,676,14
1612329600,704,104
1612330200,707,164
1612330500,704,104
1612331100,707,164
1612331700,711,596
1612332300,710,600
1612333200,711,510
1612656300,848,21
1612902000,560,16
