timestamp,avg,qty
1576320000,1650,2
1576566600,897,10
1577575200,500,2
1578356700,1,1
1578678300,1736,1
1579030800,4500,1
1579446900,1568,1
1580550300,1550,1
1580779200,1344,1
1581627300,1550,1
1583025000,1000,2
1584590400,2010,1
1585317300,1574,2
1586013600,1656,2
1586797800,2010,1
1590701100,1998,2
1591123200,1216,1
1591641300,999,1
1594150200,812,2
1594157400,1605,62
1595087400,1650,2
1595301000,1605,1
1599621300,1000,1
1600119600,4500,1
1600166400,4499,2
1601233500,950,1
1609105800,473,1
1611318300,4500,1
