timestamp,avg,qty
1575001500,33164,36
1575030600,40000,1
1575075300,38000,1
1575079200,37666,1
1575081000,37833,2
1575081600,38000,1
1575081900,37833,2
1575082500,38000,1
1575101400,37969,1
1575108600,36500,1
1575144600,34275,76
1575147900,40000,2
1575153900,48000,1
1575203700,40477,3
1575234000,34183,2
1575235800,37328,3
1575237600,43620,1
1575237900,37328,3
1575238200,43620,1
1575238500,37328,3
1575239100,43620,1
1575244800,37686,1
1575248100,37684,1
1575255600,35933,2
1575266400,37684,1
1575270300,34424,1
1575391800,114999,1
1575430200,74999,1
1575431700,60049,2
1575432000,74999,1
1575432300,60049,2
1575433500,45100,1
1575467100,46129,1
1575470400,45929,1
1575481500,42812,2
1575501000,45529,1
1575509100,40241,3
1575510300,39581,4
1575510600,40241,3
1575511200,39581,4
1575514200,37600,11
1575520200,41841,1
1575625200,43927,1
1575662400,43727,1
1575698400,39980,1
1575702000,37651,1
1575724500,41500,1
1575757500,40999,1
1575770100,37969,1
1575773700,38000,1
1575805200,37999,1
1575830700,37900,1
1575842100,37999,1
1575915000,39969,1
1575941700,41172,1
1575950100,43627,1
1575965400,40000,1
1576012500,100000,1
1576014600,95000,2
1576016700,90000,1
1576064400,42985,1
1576135500,39200,1
1576161300,39000,1
1576174500,38597,1
1576185900,39000,1
1576187100,38799,2
1576187400,39000,1
1576187700,38799,2
1576189800,40792,2
1576190100,38799,2
1576190400,42985,1
1576191000,40792,2
1576191600,42985,1
1576207200,42069,1
1576218900,40528,1
1576229700,42985,1
1576297800,38599,1
1576329600,38456,1
1576346100,42985,1
1576410000,40378,1
1576417500,38456,1
1576437300,42985,1
1576464600,39366,3
1576466700,38483,6
1576468500,37600,3
1576477200,40678,2
1576510200,38456,1
1576555800,38224,2
1576557300,37756,8
1576559400,37600,9
1576608000,37639,32
1576610400,37633,37
1576611000,37724,10
1576611300,37633,37
1576611900,37724,10
1576612200,37756,8
1576612500,37600,7
1576612800,37756,8
1576613700,37669,18
1576614000,37756,8
1576614300,37669,18
1576614900,37678,16
1576615500,37656,22
1576617300,37600,12
1576623300,37778,7
1576623600,37756,8
1576624500,37778,7
1576624800,38016,6
1576625100,38099,5
1576625400,38016,6
1576626000,38099,5
1576626300,38849,1
1576743900,38169,1
1576747200,40791,1
1576793100,38169,2
1576853100,40791,1
1576860600,38169,1
1576873200,40791,1
1576893000,37700,1
1576933200,38500,1
1576979100,40077,1
1577023200,37925,1
1577050200,42299,50
1577061000,42985,1
1577065200,40455,2
1577065500,37925,1
1577065800,40455,2
1577066400,37925,1
1577070300,42985,1
