timestamp,avg,qty
1574976900,1174,1
1574980200,1061,2
1574994300,1290,2
1575001500,1285,1
1575015900,1290,1
1575042000,1232,1
1575047700,1290,1
1575056700,1186,80
1575058500,1185,105
1575064200,1290,1
1575077100,1189,21
1575086700,1159,125
1575088500,1158,126
1575090300,1056,1
1575093900,1169,125
1575095700,1221,225
1575097500,1288,100
1575105300,1252,16
1575105900,1250,125
1575108600,1214,250
1575108900,1212,234
1575109800,1179,126
1575132000,1290,1
1575132300,1205,2
1575132900,1290,1
1575133200,1205,2
1575135000,1288,89
1575135300,1205,2
1575135600,1288,89
1575135900,1290,88
1575136200,1288,89
1575136800,1290,89
1575144600,1273,126
1575147900,1179,125
1575149700,1202,261
1575150000,1179,125
1575150300,1202,261
1575151800,1223,137
1575157500,1179,1
1575159300,1177,2
1575161400,1175,1
1575161700,1177,2
1575162000,1175,1
1575162900,1290,125
1575165900,1178,100
1575170100,1156,13
1575173700,1288,18
1575177300,1286,104
1575179400,1179,1
1575184800,1290,1
1575187500,1288,2
1575188100,1290,1
1575188400,1288,2
1575192300,1210,319
1575192900,1234,456
1575193500,1210,319
1575194100,1234,456
1575194700,1237,695
1575196500,1245,257
1575198000,1290,101
1575211800,1237,21
1575232200,1183,37
1575232800,1185,36
1575233400,1183,37
1575234000,733,162
1575234300,1183,37
1575235200,733,162
1575235800,600,135
1575246300,1181,125
1575248100,1180,252
1575250200,1179,127
1575253800,1206,4
1575255600,1215,3
1575261000,1179,1
1575275400,1123,125
1575288600,1290,1
1575322800,1182,1
1575329400,1049,3
1575331800,1067,2
1575332100,1049,3
1575332400,1067,2
1575334800,1174,1
1575337200,1232,2
1575337500,1174,1
1575337800,1232,2
1575338100,1174,1
1575338400,1232,2
1575338700,1290,1
1575339600,1179,81
1575339900,1290,1
1575340200,1179,81
1575342600,1178,81
1575343500,1175,1
1575343800,1178,81
1575344400,1067,1
1575346200,1119,3
1575346800,1178,2
1575347100,1119,3
1575347400,1178,2
1575347700,1145,2
1575350700,1193,3
1575351000,1145,2
1575351600,1290,1
1575354900,1155,1
1575360900,1052,5
1575379200,1290,1
1575390000,1223,44
1575395400,1224,53
1575397500,1223,93
1575404700,1165,2
1575406200,1204,127
1575406500,1203,128
1575406800,1204,127
1575407100,1203,128
1575407700,1204,127
1575408000,1203,127
1575410400,1052,131
1575411900,1093,283
1575414000,1223,52
1575414600,1138,171
1575414900,1223,52
1575415200,1138,171
1575415500,1223,81
1575417600,1224,77
1575418200,1223,76
1575418500,1224,77
1575418800,1223,76
1575419100,1224,77
1575419400,1238,4
1575420300,1231,15
1575420900,1212,263
1575422700,1211,265
1575424800,1206,3
1575426600,1159,1
1575428700,1182,2
1575429300,1159,1
1575429900,1182,2
1575430200,1206,1
1575440400,1287,125
1575445800,1290,1
1575461700,1200,1
1575468300,1290,1
1575469200,1230,3
1575469500,1290,1
1575469800,1230,3
1575470400,1212,7
1575470700,1202,43
1575471600,1212,7
1575471900,1200,67
1575473700,1201,63
1575474000,1200,64
1575474300,1201,63
1575474600,1204,19
1575474900,1201,63
1575475500,1206,184
1575475800,1204,19
1575476100,1206,184
1575477600,1205,182
1575479700,1107,1
1575485400,1111,128
1575485700,1107,126
1575486300,1111,128
1575486600,1250,5
1575486900,1111,128
1575487200,1226,6
1575487500,1250,5
1575487800,1226,6
1575489900,1202,3
1575490800,1108,1
1575492000,1176,75
1575493200,1191,110
1575493500,1176,75
1575493800,1195,126
1575494100,1191,110
1575494400,1195,126
1575496200,1225,17
1575498000,1250,2
1575515400,1166,1
1575517800,1208,2
1575518100,1166,1
1575518400,1208,2
1575519600,1250,1
1575519900,1208,2
1575520200,1250,1
1575543000,1166,6
1575561900,1213,1
1575562200,1166,52
1575563400,1169,54
1575564000,1167,53
1575564300,1168,53
1575564600,1169,54
1575564900,1168,53
1575566100,1250,2
1575566700,1231,2
1575567000,1250,2
1575582600,1166,74
1575582900,1250,100
1575583200,1168,76
1575583500,1166,74
1575584100,1172,176
1575584400,1168,76
1575585000,1172,176
1575585900,1176,111
1575586500,1172,186
1575587100,1176,111
1575588900,1196,7
1575589500,1250,1
1575598200,1176,126
1575605700,1243,110
1575607200,1250,101
1575644100,1223,69
1575659400,1174,21
1575661800,1171,33
1575663600,1170,13
1575665100,1192,1
1575665400,1170,13
1575665700,1192,1
1575673200,1250,100
1575681900,1245,1
1575689100,1189,1
1575692700,1133,1
1575696300,1195,7
1575702000,1250,126
1575704400,1247,224
1575705000,1250,126
1575705300,1247,224
1575705900,1243,98
1575709500,1250,1
1575715200,1196,1
1575725700,1250,1
1575737100,1232,2
1575740400,1195,179
1575750000,1250,1
1575770400,1193,1
1575788100,1349,1
1575805200,1340,1
1575812400,1280,2
1575814200,1220,1
1575814500,1280,2
1575814800,1220,1
1575816900,1194,1
1575819900,1242,3
1575822000,1340,1
1575829500,1300,4
1575834900,1340,1
1575851400,1210,83
1575852000,1253,3
1575852300,1210,83
1575852600,1253,3
1575852900,1210,83
1575855000,1198,1042
1575855300,1199,1055
1575855600,1198,1042
1575856200,1199,1055
1575856500,1198,1000
1575856800,1197,1350
1575857100,1198,1000
1575857400,1197,1350
1575858600,1196,351
1575860700,1335,2
1575861000,1196,352
1575861300,1335,2
1575864600,1253,1
1575867600,1243,6
1575867900,1241,5
1575868200,1243,6
1575868800,1241,5
1575869100,1243,6
1575869400,1241,5
1575876900,1194,1
1575891600,1253,20
1575905700,1238,500
1575909600,1253,126
1575909900,1238,501
1575910200,1253,126
1575921300,1194,70
1575924300,1231,197
1575924900,1252,126
1575925500,1231,197
1575925800,1252,126
1575926100,1248,250
1575926400,1252,126
1575926700,1248,250
1575928200,1244,124
1575929700,1250,1
1575930000,1244,125
1575930300,1250,1
1575935400,1185,126
1575950700,1222,11
1575981600,1340,1
1575985800,1342,125
1575989700,1368,1
1575993000,1285,2
1575994500,1274,3
1575994800,1285,2
1575995100,1274,3
1575996300,1376,2
1575996600,1274,3
1575996900,1376,2
1575998100,1500,1
1576003500,1255,1
1576008000,1523,1
1576010700,1315,99
1576011000,1523,1
1576011300,1315,99
1576011600,1314,111
1576014600,1317,28
1576023900,1196,1
1576030800,1827,1
1576046100,1200,1
1576067400,1255,1
1576088700,1382,5
1576105500,1261,1
1576112700,1827,1
1576120800,1261,1
1576124700,1827,15
1576158600,1201,2
1576159800,1242,3
1576163100,1325,2
1576164300,1347,3
1576165200,1390,2
1576169400,1500,1
1576171200,1350,2
1576172400,1400,3
1576172700,1350,2
1576173300,1400,3
1576174200,1350,2
1576174500,1500,1
1576174800,1350,2
1576175100,1500,1
1576178700,1199,1
1576183500,1203,32
1576183800,1199,2
1576184100,1203,32
1576185900,1400,2
1576186200,1203,31
1576186800,1400,2
1576204200,1333,2
1576206000,1268,3
1576207200,1140,1
1576209600,1222,4
1576209900,1250,3
1576231500,1800,2
1576249800,1320,76
1576251300,1326,79
1576253700,1807,2
1576254000,1364,11
1576254300,1807,2
1576260300,1665,3
1576262100,1594,2
1576262400,1665,3
1576262700,1594,2
1576263300,1665,3
1576263600,1594,2
1576263900,1665,3
1576264500,1807,1
1576269300,1197,11
1576272000,1183,56
1576272600,1184,59
1576273500,1189,77
1576275600,1182,28
1576275900,1184,33
1576276800,1182,28
1576280400,1635,29
1576281000,1552,37
1576281600,1635,29
1576282200,1552,37
1576284900,1254,8
1576287600,1807,1
1576290300,1419,11
1576291200,1381,10
1576291500,1419,11
1576291800,1381,10
1576292400,1419,11
1576293300,1452,12
1576293600,1419,11
1576293900,1452,12
1576294200,1807,2
1576294500,1452,12
1576294800,1807,1
1576310700,1700,1
1576344300,1209,125
1576347900,1300,3
1576349700,1329,135
1576351500,1330,132
1576359000,892,126
1576362600,893,102
1576364400,1038,1
1576378800,1700,1
1576413600,1378,1
