timestamp,avg,qty
1574973000,219,2
1574975400,262,1
1574992800,475,1
1575001500,499,1
1575007200,475,1
1575042000,452,1
1575045300,356,1
1575045600,452,1
1575045900,356,1
1575051000,456,1
1575055200,323,1
1575056700,384,3
1575058500,415,2
1575062700,493,101
1575064200,492,102
1575066000,480,1
1575079200,395,2
1575081600,278,1
1575081900,395,2
1575082500,278,1
1575084600,456,1
1575090300,393,1
1575093900,120,2
1575099600,256,2
1575101400,393,1
1575103800,260,1
1575117300,453,1
1575121200,353,1
1575133800,371,1
1575137700,120,2
1575139500,203,4
1575141300,286,2
1575141900,203,4
1575142200,286,2
1575153300,438,2
1575155700,422,3
1575156900,390,1
1575157200,422,3
1575157500,390,1
1575160800,400,1
1575164700,453,1
1575168300,433,2
1575171900,476,1
1575200100,434,1
1575209400,476,1
1575216900,434,1
1575230100,413,1
1575230700,449,3
1575233400,478,3
1575234000,500,1
1575234300,478,3
1575235200,500,1
1575246300,413,1
1575259200,434,1
1575272100,343,1
1575277200,538,1
1575281100,443,1
1575282600,393,2
1575284400,343,1
1575288000,421,1
1575291900,690,1
1575300900,420,1
1575304500,373,2
1575304800,420,2
1575305100,373,2
1575305400,420,2
1575305700,373,2
1575312300,421,1
1575330300,432,2
1575330900,421,1
1575333300,422,3
1575333600,390,2
1575333900,422,3
1575334500,390,2
1575334800,400,1
1575337200,700,1
1575337500,400,1
1575337800,700,1
1575338100,400,1
1575338400,700,1
1575344100,443,1
1575346200,417,2
1575347700,391,1
1575358800,432,2
1575382800,411,1
1575391800,432,1
1575393600,411,2
1575395400,391,1
1575397500,432,1
1575411900,421,2
1575414000,411,1
1575417600,561,2
1575418200,432,1
1575418500,561,2
1575418800,432,1
1575419100,561,2
1575420900,531,2
1575421800,385,3
1575424800,411,1
1575425100,398,3
1575425400,411,1
1575425700,398,3
1575426000,411,1
1575428100,370,3
1575430200,350,2
1575431700,411,1
1575432000,350,2
1575432300,411,1
1575437700,372,1
1575439200,354,2
1575441000,384,2
1575442800,432,1
1575457800,321,1
1575465300,676,1
1575468300,683,2
1575468600,676,1
1575468900,683,2
1575469200,690,1
1575469500,683,2
1575469800,690,1
1575481800,310,1
1575490800,361,2
1575492000,367,3
1575493800,380,1
1575494100,367,3
