timestamp,avg,qty
1575390000,16,10705
1575558600,84,2000
1575567300,96,7000
1575740700,101,700
1575833100,92,1000
1575918900,88,1
1576101000,80,104
1576240500,70,2000
1576289700,69,5000
1576294200,70,1791
1576297800,74,1
1576364400,103,4485
1576386000,56,4173
1576402800,200,173
1576437300,100,1000
1576533900,101,10
1576634400,100,513
1576644600,88,488
1576789500,98,1000
1577497200,79,100
1577676900,87,1
1577714700,16,3759
1577852100,95,400
1578051300,76,372
1578055200,113,6
1578174000,99,10
1578260700,87,400
1578262800,93,800
1578263700,99,400
1578264300,93,800
1578264600,99,400
1578809700,98,159
1578811800,108,54
1578877200,104,2463
1578960000,16,295
1579001100,99,1
1579194600,153,78
1579225800,94,2412
1579229700,112,1
1579250100,101,84
1579354200,91,4343
1579359900,192,1500
1579405800,90,177
1579569600,16,4729
1579667400,88,1400
1579854300,86,3000
1579898700,98,5
1580652900,16,8043
1580709300,98,270
1581094500,94,50
1581382500,98,1000
1581398700,148,1
1581531000,87,5000
1581632700,86,7000
1582126800,95,170
1582292400,99,1830
1582388100,16,6949
1582388400,99,1
1582388700,16,6949
1582406400,91,1
1582431900,31,1
1582487100,95,1000
1582503900,93,2000
1582599600,87,1714
1583026800,73,201
1583190000,16,1981
1583191500,21,2113
1583191800,16,1981
1583192400,21,2113
1583194200,99,132
1583656800,92,3000
1583699100,87,11
1583933400,99,2343
1584299700,48,50
1584373500,100,1
1584877800,95,1000
1584967500,108,900
1584984000,20,1314
1584998400,16,2578
1585418100,99,1000
1585872300,79,200
1586444100,95,1
1586501100,81,2138
1586637000,95,4356
1586708100,24,4199
1586765100,95,500
1586812200,16,177
1586843100,110,2
1587065700,100,3000
1587080400,16,45
1587123900,100,1000
1587178500,73,500
1587233100,92,4997
1587254700,118,1000
1587509400,14,7703
1587680400,100,400
1587903900,132,15
1587991500,16,17947
1588118700,95,3000
1588177200,92,1426
1588242600,115,147
1588300500,95,1
1588687800,71,2230
1588715100,106,1
1588757100,132,1
1588959000,38,2
1589042700,83,1
1589115600,95,10
1590251400,116,2
1591393200,100,800
1591435200,97,370
1591724700,100,200
1591957800,97,100
1592258100,102,87
1592367000,107,1010
1593029400,99,1510
1593246600,100,1000
1593368700,89,476
1593739800,97,1000
1593785700,98,3100
1593889500,97,750
1593909300,80,2000
1594340700,93,100
1595299200,1,1000
1595301000,11,1120
1595302800,100,120
1595373300,235,15
1596297900,100,1
1596328500,85,2000
1596406800,83,20
1596450600,76,1001
1596462000,79,1000
1597127700,200,1890
1598129100,107,50
1599094200,128,1
1600988700,76,896
1600997700,42,2
1601070000,250,1
1601382000,105,60
1601456700,86,800
1601926800,113,5
1602095400,108,501
1603035900,200,100
1603057500,110,100
1603902000,108,18
1605571500,103,200
1605858000,108,8
1607120100,102,26
1607637900,2000,500
1608167400,91,1
1609223700,105,12
1609523100,114,300
1610100000,120,9
1610964900,108,288
1611548100,73,1
1612173600,104,832
1612260900,109,2000
1613162400,104,1
