timestamp,avg,qty
1576111200,255,284
1577801100,253,1000
1577911800,269,5
1578354900,200,100
1578558000,232,1
1580194200,255,86
1580625300,254,200
1581153000,255,200
1581219300,254,100
1581549000,255,100
1582947900,231,500
1583519700,226,100
1583595300,238,1000
1583598600,239,400
1583668800,195,500
1584329100,25,100
1585058100,248,100
1587091200,42,37
1587797400,298,40
1588029600,1000,100
1588524900,320,5031
1588793700,219,10
1588804500,181,1
1593792900,444,500
1593825600,867,461
1594134000,156,227
1594224600,1000,84
1594251300,175,174
1594260600,355,41
1595348100,238,48
1595349900,810,193
1595351700,1000,145
1595358900,982,220
1595902200,221,169
1596186900,904,200
1597347900,1000,169
1597368600,914,200
1597452600,875,200
1597688700,878,300
1597808400,993,120
1602201000,231,4
1603144200,1000,301
1604124600,197,25
1610394900,78,129
1610654400,202,82
1610669400,271,120
