timestamp,avg,qty
1574973300,1150,1
1574973600,1253,1
1574974200,1150,1
1574983500,1241,7
1574989500,1253,10
1574990400,1253,10
1575005100,1253,1
1575021600,1300,3
1575045300,1170,2
1575049200,673,283
1575052800,1236,183
1575055200,1236,146
1575056700,1236,52
1575058500,1230,3
1575060600,1253,1
1575071700,1240,9
1575129900,1219,468
1575130500,1219,469
1575133800,1159,67
1575134400,1159,66
1575135000,1156,65
1575135300,1159,66
1575135600,1156,65
1575136800,1115,2
1575143100,1115,3
1575143400,1115,3
1575143700,1115,3
1575144600,1115,3
1575237600,1168,2
1575237900,1168,2
1575238200,1168,2
1575238500,1168,2
1575240600,1229,1
1575242100,1229,1
1575277500,1304,8
1575309900,1249,1
1575311100,1249,1
1575311400,1249,1
1575311700,1249,1
1575312000,1249,1
1575313200,1249,2
1575314100,1249,1
1575314400,1249,2
1575315000,1249,1
1575315300,1249,1
1575315600,1249,1
1575315900,1249,1
1575324600,1250,3
1575324900,1250,3
1575325500,1250,3
1575325800,1250,2
1575326100,1250,3
1575333600,1115,1
1575411900,1251,3
1575420900,1253,10
1575422700,1253,10
1575426600,1253,3
1575438300,900,1
1575444600,1191,1
1575453600,1315,1
1575481800,1106,553
1575482400,1103,535
1575482700,1106,553
1575484500,1192,18
1575484800,1192,18
1575485700,1192,18
1575490800,1246,9
1575492000,1246,9
1575495000,1253,2
1575496200,1253,2
1575509100,1240,1
1575526500,1115,1
1575552600,1240,10
1575561600,1245,27
1575569100,1320,2
1575588900,1527,2
1575590700,1527,4
1575625200,1297,2
1575660000,700,1
1575663600,1126,5
1575664500,1233,4
1575664800,1126,5
1575672300,1128,21
1575672600,1128,21
1575672900,1128,21
1575673200,1128,21
1575673500,1128,21
1575673800,1128,21
1575727500,1246,1
1575729300,1304,1
1575729600,1246,1
1575729900,1275,2
1575731100,1275,2
1575737100,1246,4
1575740400,1662,2
1575762900,1240,1
1575805200,1180,1
1575838200,1304,5
1575864600,1100,4
1575865800,1100,4
1575889500,1125,5
1575904500,1283,3
1575921000,1239,60
1575926100,1175,12
1575926400,1175,12
1575926700,1175,12
1575928200,1175,12
1575935400,1215,285
1575939000,1031,444
1575939300,1031,444
1575939600,1031,444
1575952500,1250,1
1575972900,1301,8
1575990300,1301,27
1575998100,1291,1
1576024500,1325,1
1576027200,1346,1
1576044300,1346,1
1576095600,1325,1
1576118400,1301,2
1576120800,1319,147
1576156200,1312,206
1576207200,1290,11
1576240500,1300,1
1576340400,1169,1
1576356900,300,1
1576357800,1059,14
1576358100,300,1
1576358400,1059,14
1576359000,1066,14
1576360800,642,4
1576362300,933,3
1576382400,1310,7
1576413600,1256,15
1576443000,1172,2
1576444800,1230,1
1576446600,1310,7
1576453800,1230,3
1576455600,1246,4
1576457400,1294,1
1576459200,1318,1
1576461000,1318,2
1576464600,1318,2
1576514100,1318,9
1576554000,1318,1
1576594500,1230,1
1576594800,1230,1
1576595100,1230,1
1576602600,1240,2
1576620900,1241,1
1576631700,1176,1
1576634400,1220,152
1576634700,1220,152
1576635000,1220,152
1576669200,1199,2
1576669500,1179,1
1576670100,1199,2
1576670700,1220,1
1576674000,1179,3
1576678500,1282,8
1576689000,1232,314
1576699200,1256,12
1576701900,814,35
1576702200,918,46
1576702500,814,35
1576702800,918,46
1576703100,814,35
1576703400,814,35
1576705200,1344,1
1576733100,1313,388
1576760100,1344,1
1576778400,1344,1
1576789500,1230,1
1576790100,1230,1
1576790400,1230,1
1576824000,1080,1
1576893000,1320,6
1576893600,1320,6
1576894200,1320,6
1576894500,1320,6
1576909500,1340,1
1576911300,1340,1
1576955100,1241,2
1576956900,1230,1
1576984500,1309,25
1577015700,1315,1
1577052000,1344,7
1577065200,1287,11
1577081100,1325,4
1577123700,1330,21
1577289900,1102,1
1577375400,1310,1
1577380800,1310,1
1577408100,1300,5
1577486400,1038,39
1577552100,1313,2
1577556000,1300,1
1577563200,1300,1
1577563800,1300,4
1577564100,1300,1
1577565000,1300,4
1577565300,1300,4
1577565600,1301,5
1577566800,1302,4
1577567100,1301,5
1577567400,1302,4
1577568300,1309,1
1577571000,1292,1
1577580000,1271,1
1577590500,1300,9
1577661600,1300,1
1577677200,1465,2
1577734500,1160,1
1577749800,1250,1
1577844900,1299,404
1577847000,1299,405
1577852100,1250,1
1577897400,953,3
1577899200,953,3
1577902800,1305,11
1577904600,1305,11
1577911800,1290,511
1577919300,1303,146
1577922900,1305,2
1577932200,961,1
1577934000,961,1
1577939400,1304,5
1577941200,1305,4
1577980200,1298,1
1577982300,1298,1
1577986200,1303,7
1577989800,1293,1
1577993400,1299,2
1577995200,1305,1
1578015600,1293,6
1578017400,1265,7
1578019500,1258,161
1578021300,1259,160
1578028200,1297,74
1578072000,1275,37
1578075600,1110,165
1578077400,1110,165
1578079200,1349,9
1578081000,1349,9
1578084600,1357,1
1578086700,1357,1
1578093900,1278,1
1578095400,1278,1
1578096000,1278,1
1578096900,1278,1
1578112200,1190,2
1578114000,1190,2
1578115200,1190,2
1578126900,1215,235
1578139800,1215,105
1578141600,1215,105
1578165000,1273,111
1578167100,1255,61
1578171000,1249,12
1578171300,1250,12
1578171600,1249,12
1578171900,1250,12
1578172200,1240,1
1578185700,1242,157
1578186900,1243,158
1578187200,1242,157
1578187500,1254,38
1578192600,1306,202
1578192900,1306,202
1578193800,1306,202
1578194100,1306,202
1578196500,1299,31
