timestamp,avg,qty
1574977200,6626,39
1574980800,6156,2
1574981700,6156,2
1574982600,6257,3
1574983500,6257,3
1574988000,6260,242
1574994300,6576,32
1575015900,6591,30
1575018000,6591,30
1575030900,6576,24
1575032700,6576,24
1575034500,6459,2
1575058500,6312,6
1575060600,6408,9
1575062400,6374,48
1575062700,6374,48
1575063300,6374,48
1575063600,6374,48
1575066000,6002,113
1575077100,5414,5
1575092100,6417,44
1575095700,5999,6
1575108600,6312,35
1575123000,6333,18
1575123900,6333,18
1575125100,6519,27
1575126300,6519,27
1575128400,6627,43
1575140700,6735,65
1575141000,6893,30
1575141300,6735,65
1575141900,6735,65
1575142200,6735,65
1575144900,6255,229
1575151800,6971,91
1575153300,6971,91
1575153600,6971,91
1575153900,6971,91
1575155700,6258,153
1575156900,6258,153
1575157200,6258,153
1575157500,6258,153
1575170100,6836,48
1575175500,6135,48
1575189000,6300,6
1575207000,6503,43
1575207300,6503,43
1575207600,6503,43
1575220500,6253,1
1575222300,6253,1
1575222900,6253,1
1575223200,6253,1
1575224400,6183,1
1575224700,6253,1
1575225000,6183,1
1575227100,6530,11
1575232200,6205,101
1575232800,6208,98
1575233400,6321,171
1575235800,6489,70
1575238800,6287,1
1575239400,6287,1
1575240600,6287,1
1575244800,5973,7
1575252000,6391,15
1575255600,6325,20
1575282600,6254,2
1575287700,5999,3
1575300900,6013,146
1575304500,6285,3
1575305100,6285,3
1575305700,6285,3
1575307800,6213,4
1575308100,6000,1
1575308400,6213,4
1575309000,6000,1
1575309300,6213,4
1575309600,6000,1
1575309900,5939,301
1575310200,6000,1
1575311100,5939,301
1575311400,5939,300
1575311700,5939,301
1575312000,5939,300
1575314100,6145,5
1575314400,5942,305
1575315000,6120,3
1575336900,6000,14
1575337200,6000,14
1575337500,6000,14
1575337800,6000,14
1575338100,6000,14
1575338400,6000,14
1575338700,6000,52
1575339600,6000,52
1575339900,6000,52
1575340200,6000,52
1575340500,6000,47
1575354900,5901,32
1575357300,5901,32
1575358800,6000,23
1575382800,6599,6
1575411900,6131,37
1575414000,6116,2
1575414600,6116,2
1575414900,6116,2
1575415200,6116,2
1575415500,6116,2
1575416100,6116,2
1575416700,6116,2
1575417300,6116,2
1575446700,6119,23
1575471900,6444,85
1575492000,6121,58
1575493800,6240,8
1575494100,6421,1
1575494400,6240,8
1575507600,6380,56
1575508200,6369,60
1575508800,6380,56
1575509100,6215,4
1575517800,6330,15
1575519600,6309,16
1575519900,6330,15
1575520200,6276,13
1575521100,6000,1
1575524400,6216,2
1575532200,6421,72
1575540600,7305,5
1575543000,7305,5
1575566100,6328,8
1575572700,6215,2
1575574200,6178,260
1575576300,6177,259
1575576600,6177,261
1575576900,6177,259
1575577800,6177,258
1575579600,6116,1
1575579900,6116,1
1575580200,6116,1
1575589500,6251,5
1575601500,6414,28
1575613500,6315,101
1575618300,6215,61
1575620100,6215,61
1575620400,6215,61
1575620700,6215,61
1575621300,6215,61
1575621600,6215,61
1575641100,6326,20
1575647400,6363,1
1575650400,6363,1
1575655800,6326,49
1575656400,6327,327
1575656700,6326,49
1575657000,6327,327
1575657300,6326,49
1575657600,6327,398
1575657900,6327,327
1575658200,6327,398
1575659400,6325,741
1575659700,6326,448
1575660000,6325,573
1575666000,6642,3
1575685800,6357,158
1575709800,6970,148
1575715200,6600,3
1575718500,6728,6
1575722100,6673,3
1575737100,6483,127
1575740400,6411,20
1575740700,6411,20
1575741000,6411,20
1575741300,6411,20
1575741900,6411,20
1575742500,6355,51
1575742800,6370,71
1575743100,6355,51
1575743400,6370,71
1575744300,6349,65
1575752400,6648,36
1575752700,6648,36
1575753000,6648,36
1575753300,6627,64
1575753900,6600,28
1575754800,6627,64
1575755100,6552,53
1575755400,6552,53
1575756000,6552,53
1575756900,6552,53
1575757500,6500,25
1575760800,6569,24
1575761100,6569,24
1575761400,6569,24
1575761700,6569,24
1575762900,6356,1
1575770100,6200,20
1575770400,6200,20
1575770700,6200,20
1575771000,6200,20
1575771300,6200,20
1575771900,6200,20
1575772200,6214,22
1575772800,6200,20
1575773400,6214,22
1575773700,6592,42
1575774300,6592,42
1575774900,6592,42
1575775200,6592,42
1575792000,7006,2
1575795900,6398,507
1575808800,6500,1
1575822000,6470,41
1575823800,6454,53
1575827700,6379,113
1575829500,6356,56
1575830700,6326,56
1575831000,6356,56
1575831300,6326,56
1575832500,6326,93
1575838200,6133,3
1575840000,6133,3
1575847200,6100,11
1575853200,6324,50
1575853800,6324,50
1575856500,6328,57
1575882300,7117,6
1575909000,6561,276
1575910200,6561,276
1575910500,6561,276
1575911100,6427,239
1575912300,6427,239
1575929700,6779,27
1575930000,6720,31
1575930300,6779,27
1575932400,6000,5
1575933300,6000,5
1575937500,6500,182
1575942900,6331,2
1575966900,6215,1
1575967500,6215,1
1575967800,6215,1
1575968100,6215,1
1575968400,6215,1
1575974400,6779,8
1575998100,6193,46
1576002600,6000,100
1576008000,6000,18
1576010700,6334,58
1576011000,6350,52
1576011300,6334,58
1576011600,6334,58
1576012500,6258,8
1576013100,6334,58
1576013400,6266,7
1576014600,6664,1
1576015200,6114,125
1576015500,6664,1
1576015800,6114,125
1576016700,6109,124
1576017000,6109,124
1576026600,6337,80
1576027200,6347,61
1576035300,6667,1
1576037100,6667,1
1576038900,6328,2
1576048200,6420,1
1576051800,6347,59
1576052100,6347,26
1576052400,6347,59
1576061700,6664,7
1576062300,6664,7
1576075500,6372,46
1576089300,6779,2
1576089900,6779,2
1576090200,6779,2
1576090500,6779,2
1576090800,6779,2
1576091100,6779,2
1576100100,6473,75
1576100400,6328,36
1576100700,6473,75
1576102200,6473,75
1576102500,6473,75
1576102800,6600,40
1576104300,6600,40
1576104600,6664,20
1576105500,6664,20
1576108200,6664,20
1576109100,6374,2
1576109700,6664,20
1576110000,6374,2
1576111200,6362,84
1576124700,6135,122
1576137300,6267,346
1576158000,6336,530
1576158600,6400,106
1576159200,6336,530
1576159500,6400,106
1576161300,6432,63
1576176000,6401,6
1576176900,6382,3
1576177500,6401,6
1576177800,6382,3
1576187100,6107,44
1576192500,6347,12
1576204800,6340,11
1576205400,6343,12
1576205700,6340,11
1576206000,6343,12
1576207200,6352,6
1576209600,6063,74
1576231500,6100,50
1576253700,6664,42
1576255200,6579,66
1576257300,6430,24
1576257900,6430,24
1576262100,6441,6
1576262700,6441,6
1576263300,6388,18
1576263600,6441,6
1576263900,6388,18
1576264500,6388,18
1576267500,6346,237
1576275600,6403,7
1576277400,6357,42
1576278300,6403,7
1576278600,6357,42
1576285800,6119,2
1576314300,6487,76
1576331400,6656,189
1576342200,6463,103
1576347900,6364,7
1576351500,6484,379
1576353300,6484,379
1576368000,6299,35
1576375500,6050,75
1576384200,6233,45
1576386300,6319,88
1576386600,6319,88
1576386900,6319,88
1576387500,6319,88
1576388100,6335,65
1576401000,6500,1
1576424700,6428,34
1576426500,6428,34
1576433700,6431,4
1576435500,6398,110
1576437300,6119,355
1576439100,6113,359
1576446600,5653,53
1576448400,5955,96
1576450200,5415,542
1576459200,6080,10
1576461000,6080,10
1576468500,6348,179
1576469100,6348,179
1576486500,6450,35
1576488300,6800,3
1576489200,6800,3
1576490400,6800,3
1576499400,6458,104
1576501200,6453,102
1576510200,7000,14
1576512000,7000,14
1576514100,6720,1
1576515900,6720,1
1576516200,6720,1
1576516500,6720,1
1576532100,6380,67
1576533900,6300,4
1576534800,6300,4
1576535100,6300,4
1576535700,6300,4
1576537200,6427,2
1576539000,6551,3
1576546500,6412,1
1576561200,6628,67
1576563300,6683,59
1576563600,6680,54
1576564200,6683,59
1576571700,6684,31
1576572300,6680,30
1576572600,6684,31
1576572900,6680,30
1576575600,6750,30
1576602600,6800,42
1576628700,6188,3
1576635300,6433,3
1576643100,6545,35
1576644000,6596,45
1576644300,6545,35
1576644600,6833,25
1576655400,6602,190
1576679100,6672,29
1576683600,7055,28
1576684200,7053,27
1576684800,7111,24
1576699200,6487,28
1576701000,6630,77
1576701900,6713,130
1576702200,6630,77
1576702500,6713,130
1576702800,6630,77
1576703100,6713,130
1576703400,6704,134
1576703700,6705,133
1576704000,6704,134
1576704600,6705,133
1576710600,6108,116
1576714800,6463,93
1576716300,6501,58
1576719000,6561,1
1576722900,6773,1
1576802100,6320,86
1576802400,6320,86
1576803000,6320,86
1576806000,6310,1
1576806600,6310,1
1576806900,6310,1
1576876500,6242,3
1576911300,6200,31
1576911900,6200,31
1576912500,6200,31
1576912800,6200,31
1576913100,6400,7
1576914900,6319,89
1576920300,6484,4
1576926000,6368,62
1576927800,6328,46
1576933500,6310,15
1576942200,6668,192
1576953300,6412,2
1576958700,6785,155
1576962600,6484,16
1576968000,6488,136
1576982700,6416,15
1576997400,6005,14
1577010000,6425,1
1577041500,6407,17
1577043300,6464,2
1577045700,6600,1
1577050200,6190,4
1577057700,6328,2
1577058300,6328,2
1577058900,6328,2
1577059500,6136,95
1577060400,6136,6
1577068800,6410,205
1577070300,6537,167
1577088600,6450,28
1577090400,6600,6
1577092800,6600,6
1577117100,6648,117
1577117700,6714,80
1577118000,6648,117
1577119200,6505,37
1577119500,6505,37
1577119800,6505,37
1577131800,6500,36
1577132400,6500,36
1577133000,6500,36
1577166900,6500,1
1577208000,6700,1
1577208300,6700,1
1577208600,6700,1
1577208900,6700,1
1577209200,6717,8
1577209500,6700,1
1577209800,6717,8
1577211600,6720,7
1577216700,6830,47
1577266200,7000,3
1577288100,7000,9
1577291700,6963,44
1577298900,7000,2
1577301300,6966,90
1577301900,6966,91
1577337000,6668,23
1577342400,6952,74
1577344200,6506,8
1577346300,6503,38
1577348100,6750,108
1577349900,6750,108
1577368200,6750,5
1577375400,6750,23
1577380800,6871,22
1577388300,6797,44
1577389800,7441,3
1577391900,6750,56
1577404500,6496,88
1577406300,6596,178
1577408100,6695,90
1577422500,6394,69
1577460600,6800,1
1577469900,6799,28
1577486400,6413,55
1577488500,6289,7
1577490000,6559,38
1577502600,6546,191
1577506200,6703,107
1577506800,6881,194
1577507400,6703,107
1577508300,6881,214
1577559900,6627,42
1577561400,6627,42
1577563200,6871,106
1577563800,6856,140
1577564100,6871,106
1577565300,6856,140
1577572200,6292,3
1577579700,6314,156
1577580300,6114,407
1577583300,5969,234
1577586000,6103,33
1577586600,6103,33
1577586900,6103,33
1577587200,6075,28
1577589300,6238,25
1577590200,6238,25
1577590500,6238,25
1577590800,6238,25
1577591400,6238,25
1577616600,6388,2
1577634600,6700,2
1577643600,6523,93
1577658600,6234,41
1577673900,6501,74
1577680500,6209,36
1577686200,6367,264
1577689200,6147,71
1577690100,5920,5
1577718300,6606,32
1577718900,6606,32
1577719200,6606,32
1577727600,6263,1
1577730000,6209,37
1577730300,6210,38
1577730600,6209,37
1577730900,6210,38
1577731200,6209,37
1577731500,6209,37
1577731800,5840,44
1577735700,6690,44
1577737500,6690,45
1577738100,6690,45
1577738400,6700,1
1577739300,6508,38
1577741100,6576,74
1577741700,6503,37
1577742000,6576,74
1577743800,6200,3
1577748000,5953,132
1577753400,5677,64
1577753700,5793,106
1577754300,5677,64
1577754600,5793,106
1577757000,5905,45
1577758500,6166,278
1577771700,6506,44
1577788200,6503,40
1577810400,6535,39
1577824800,6531,11
1577874300,6503,5
1577878800,6500,9
1577879100,6500,10
1577879700,6500,9
1577880600,6500,9
1577888100,6145,12
1577895600,5737,8
1577902800,5514,3
1577917500,6001,34
1577919300,6324,126
1577921100,6541,98
1577934000,6500,26
1577948700,6522,16
1577960100,3609,32
1577983800,6439,133
1577984700,6439,133
1577985300,6439,133
1577985600,6439,133
1577986200,6439,133
1577991600,6624,12
1577993400,6500,2
1577995200,6480,9
1578010800,5896,306
1578011100,5896,306
1578011700,5896,306
1578012000,6204,122
1578017400,5110,1
1578026700,6297,113
1578033000,5933,8
1578036600,6090,5
1578036900,6244,2
1578037200,6090,5
1578043800,5405,16
1578045900,5405,16
1578046200,5405,16
1578046800,5405,16
1578055800,6500,19
1578070200,5900,27
1578075600,5500,1
1578083100,5731,37
1578086700,6430,256
1578088500,5911,8
1578095700,6132,27
1578115800,6353,7
1578121500,5907,25
1578123000,5935,42
1578125100,5477,120
1578134100,6303,4
1578139800,6237,3
1578141900,6237,3
1578142500,6237,3
1578142800,6237,3
1578143700,6482,6
1578144300,6482,6
1578144900,6482,6
1578148800,6412,29
1578154500,6353,4
1578156300,6468,2
1578157800,6237,52
1578158100,6468,2
1578158400,6237,52
1578168600,6263,20
1578170400,6141,12
1578170700,6263,20
1578171000,6141,12
1578171300,6141,12
1578171600,6141,12
1578171900,6141,12
1578172200,6282,18
1578174000,6333,66
1578174300,6282,18
1578174600,6333,66
1578174900,6333,66
1578175200,6333,66
1578175500,6333,66
1578176100,6333,66
1578176400,6344,52
1578180000,6141,35
1578186000,6176,3
1578187200,6176,3
1578187500,5725,2
1578188700,5725,2
1578189000,5725,2
1578189300,5725,2
1578198000,5834,4
1578201900,5646,16
1578229200,7122,25
1578229500,7122,1
1578229800,7122,25
1578230100,7122,25
1578230400,7122,25
1578231000,7122,25
1578254700,6100,3
1578255600,5984,6
1578255900,6100,3
1578256200,5984,6
