timestamp,avg,qty
1574976900,350,319
1574977200,351,333
1574977500,350,319
1574978100,351,333
1574978400,353,318
1574989500,340,1
1574992800,332,42
1574994300,332,44
1574996400,326,8
1574997900,334,12
1575005100,379,1
1575007200,349,4
1575008700,352,5
1575010800,329,7
1575012000,324,6
1575027300,332,7
1575029100,333,8
1575036300,340,8
1575037200,340,8
1575038100,343,11
1575038400,340,9
1575038700,343,11
1575039600,341,38
1575042000,340,31
1575043500,361,15
1575047700,341,15
1575049200,341,14
1575051000,330,6
1575051900,330,6
1575052800,330,6
1575053100,317,18
1575055200,314,14
1575056700,310,2
1575058500,359,115
1575060600,357,128
1575062400,337,13
1575062700,336,12
1575063300,337,13
1575063600,336,12
1575064200,332,28
1575064500,332,28
1575065100,332,28
1575065400,332,28
1575065700,332,28
1575066000,327,32
1575068100,315,53
1575069900,397,4329
1575071700,319,320
1575072300,393,4594
1575073200,319,320
1575073500,319,314
1575073800,319,313
1575074400,319,314
1575075300,291,57
1575077100,292,63
1575079200,317,9
1575081000,333,6
1575081600,333,6
1575081900,333,6
1575082500,333,6
1575082800,329,5
1575083700,331,4
1575084000,329,5
1575084600,326,9
1575086700,344,14
1575088500,367,118
1575090300,364,114
1575092100,324,7
1575095700,325,2
1575097500,325,1
1575101400,339,3
1575114900,325,1
1575115800,344,4
1575116100,325,1
1575116400,344,4
1575117300,343,5
1575117600,343,5
1575117900,343,5
1575118500,339,6
1575120300,364,10
1575120900,367,9
1575123000,356,10
1575123600,363,17
1575123900,356,10
1575125100,356,1
1575125700,356,2
1575126300,356,2
1575129600,331,7
1575129900,331,7
1575132300,342,8
1575132900,348,10
1575133200,342,8
1575133800,343,10
1575134400,326,10
1575135000,310,5
1575135300,326,10
1575135600,310,5
1575136800,295,4
1575137700,325,11
1575138000,295,4
1575138600,325,11
1575139500,327,14
1575139800,327,14
1575140400,327,14
1575140700,327,14
1575144600,330,3
1575146100,325,2
1575146400,330,3
1575146700,325,2
1575147300,325,2
1575147900,326,7
1575149700,324,12
1575150000,327,6
1575150300,324,12
1575150600,323,13
1575150900,324,12
1575151200,323,13
1575153300,321,4
1575153600,321,8
1575153900,321,4
1575155700,321,4
1575157200,321,4
1575157500,340,1
1575159300,339,3
