timestamp,avg,qty
1575029100,178,12
1575030600,178,12
1575069900,193,16
1575071700,193,152
1575204900,193,6
1575319200,184,1
1575333600,175,1
1575344400,175,1887
1575344700,175,1871
1575345300,175,1887
1575346200,191,71
1575348900,191,55
1575349200,191,71
1575349500,191,55
1575419400,194,4
1575578400,186,55
1575823800,86,3
1575924300,165,130
1575924900,165,130
1575925500,165,130
1575925800,165,130
1575955500,136,1
1575990900,102,20
1576204200,180,5
1576433700,90,1
1576455600,106,1
1576776600,177,1
1576951500,399,1836
1576973400,179,70
1577028600,170,1
1577393400,120,2
1577421000,121,1
1577453400,123,1
1577464200,136,162
1577464500,136,101
1577464800,136,162
1577466000,136,162
1577466300,136,162
1577466600,136,162
1577482500,134,217
1577502600,135,5
1577503200,135,21
1577727600,140,19
1577730000,144,10
1577730300,144,10
1577730600,144,10
1577730900,144,10
1577791800,137,1
1577915700,121,1
1578015600,121,1
1578030900,125,21
1578033000,125,21
1578033300,125,21
1578033600,125,21
1578060900,122,101
1578110400,110,4
1578192600,110,2
1578228300,120,85
1578240000,110,1
1578240300,110,1
1578240900,110,1
1578245700,125,30
1578273900,125,10
1578319200,110,18
1578485400,119,5
1578547200,130,125
1578595500,113,28
1578601200,151,4
1578604800,106,11
1578606900,136,1
1578610500,120,30
1578669000,399,234
1578689400,136,1
1578693000,208,2
1578765600,236,17
1578767400,153,647
1578769500,152,660
1578771300,134,14
1578791400,179,1
1578802500,149,3
1578832800,227,3
1578834600,342,20
1578840600,372,1336
1578853200,368,352
1579052700,349,3
1579209300,296,5
1579276500,140,1
1579298400,127,17
1579300200,127,17
1579309500,102,70
1579317000,105,45
1579411500,203,12
1579461600,140,7
1579492800,140,9
1579625400,127,1
1579725300,117,1
1579749300,198,6
1579764000,117,2322
1579786800,142,10
1579841400,115,1
1579931400,178,1
1580058900,157,10
1580233800,134,990
1580484600,300,6
1580486400,300,6
1580581800,250,1
1580737500,173,2
1580739300,173,2
1580750100,254,5
1580788200,140,1001
1580790000,140,1001
1581011100,119,9
1581056700,119,1
1581212100,121,2
1581215700,121,1
1581237600,118,9
1581282000,146,10
1581283800,146,10
1581289200,121,17
1581292800,142,11
1581351900,121,100
1581368100,77,1
1581369900,77,1
1581375300,100,11
1581391500,120,1
1581441900,146,43
1581499800,79,18
1581750900,84,1
1581756600,121,15
1581765600,121,12
1581774300,133,86
1581891300,85,2
1581901200,103,1
1581972600,95,3
1581974400,95,8
1582060500,96,4
1582060800,96,4
1582061100,96,4
1582061400,96,4
1582061700,96,4
