timestamp,avg,qty
1602987000,989,1
1603012500,974,5
1603041000,1250,2
1603059300,1990,200
1603061100,1980,204
1603062900,1500,4
1603079400,1990,10
1603118100,1769,10
1603128900,1500,1
1603222800,990,40
1603234500,927,1
1603305900,766,10
1603340700,730,300
1603374000,850,20
1603447800,500,100
1603504200,725,100
1603657500,677,1
1603659300,681,2
1603661100,686,1
1603675200,750,10
1603693500,680,10
1603711500,800,1
1603735500,759,2
1603749900,775,1
1603833600,749,1
1603875600,535,20
1603879500,661,3
1603921500,689,2
1603936200,800,1
1604281800,788,50
1604287200,576,1
1604404800,736,10
1604432100,717,1
1604441100,730,5
1604509800,736,1
1604578500,800,1
1604610300,754,1
1604707500,1000,1
1604761500,3000,1
1604785800,1450,1
1604796900,1350,1
1604841900,850,1
1604889300,848,70
1604939700,780,30
1604963700,700,23
1605020400,999,21
1605067500,744,20
1605071100,672,20
1605071400,744,20
1605071700,672,20
1605146100,738,1
1605188700,776,10
1605288900,998,10
1605301800,667,20
1605321600,776,30
1605385200,880,8
1605397800,1195,1
1605399600,893,23
1605401400,880,22
1605403500,689,10
1605480000,1195,10
1605484800,1000,1
1605486300,1177,11
1605488400,1195,10
1605488700,1177,11
1605489000,1195,10
1605489300,1177,11
1605489600,1195,10
1605731400,789,1
1605739200,796,1
1605760800,1000,1
1605767700,999,4
1605803700,796,1
1605805800,931,3
1605807000,999,4
1605807300,931,3
1605807600,999,4
1605838200,200,40
1605859800,796,1
1605910500,999,1
1606012500,807,1
1606019700,1500,20
1606053600,1499,1
1606083000,808,1
1606129800,500,2
1606166700,768,1
1606188300,760,1
1606191900,740,1
1606195800,750,1
1606244400,616,20
1606273500,600,1
1606311600,599,6
1606601100,900,1
1606721100,1500,5
1606749000,847,10
1606759800,769,6
1606788300,1500,1
1606800900,1199,5
1606834800,769,11
1606941600,1488,10
1607011500,1500,10
1607180700,790,6
1607198400,587,10
1607238300,487,1
1607247300,587,5
1607260200,566,1
1607302200,795,1
1607367900,1095,3
1607464200,1094,21
1607538300,1095,10
1607632200,836,1
1607712000,788,30
1607764500,749,10
1607766600,856,30
1607768400,910,40
1607853600,829,15
1607866200,955,1
1607902500,829,1
1607925900,447,29
1607928000,641,45
1607929800,993,16
1607995200,798,2
1608011400,741,1
1608045900,605,10
1608071100,819,100
1608249900,1095,1
1608318000,858,32
1608326400,1095,1
1608328200,937,3
1608330000,858,2
1608333900,1191,10
1608451500,805,1
1608473400,889,1
1608480600,257,938
1608506100,1100,100
1608615600,765,1
1608688200,805,5
1608708000,847,8
1608816900,900,192
1608920100,1095,1
1608952500,900,10
1608990900,899,50
1609038600,900,1
1609073100,800,1
1609084200,900,1
1609167600,875,2
1609176900,900,10
1609254900,1089,1
1609271400,900,30
1609273200,905,31
1609275000,1079,101
1609403700,800,30
1609443600,1191,1
1609515900,1500,1
1609608300,2322,4
1609633800,2000,2
1609657500,1004,1
1609659300,1501,2
1609661100,1999,1
1609695000,1050,20
1609771500,1019,30
1609794900,800,1
1609816800,999,1
1609894200,952,27
1609910400,970,1
1609943700,800,30
1609982400,970,2
1609984200,964,3
1609986000,952,1
1610028600,934,2
1610073600,799,1
1610127900,823,100
1610206500,688,1
1610241000,728,30
1610248200,740,1
1610300400,877,400
1610304300,892,10
1610328000,1191,50
1610384100,1035,1
1610385300,1033,2
1610385600,1035,1
1610385900,1033,2
1610388300,1031,1
1610388900,982,1
1610421600,1194,35
1610484000,850,30
1610487000,849,31
1610487300,850,30
1610487600,849,31
1610488200,836,1
1610498700,922,1
1610502300,968,22
1610507700,879,6
1610526000,836,3
1610562300,795,30
1610588100,1000,30
1610632200,539,33
1610645100,500,1
1610662500,1200,20
1610720400,994,2
1610739300,1200,20
1610760900,916,12
1610773500,1300,1
1610815800,1200,1
1610824800,1199,1
1610844000,1118,2
1610845800,1047,3
1610846400,1118,2
1610847000,971,2
1610847600,905,1
1610848200,971,2
1610848800,905,1
1610863800,1000,1
1610885400,1199,1
1610955900,1440,1
1610976000,932,30
1611032700,700,100
1611049200,202,114
1611058500,1500,10
1611235800,202,218
1611308100,2000,1
1611330300,1600,4
1611379800,1195,100
1611445500,1000,2
1611511500,938,2
1611514500,987,5
1611514800,938,2
1611515400,987,5
1611580200,752,1
1611622500,750,20
1611639000,550,1
1611685800,750,10
1611686700,731,11
1611687000,750,10
1611723600,878,1
1611774900,877,1
1611784200,879,1
1611800700,1193,1
1611878700,797,1
1611909000,800,2
1611939600,799,1
1611956100,800,1
1612012800,797,100
1612036800,1500,10
1612128300,1100,2
1612170000,950,50
1612190100,1100,3
1612205400,777,10
1612226100,1354,2
1612230300,1209,1
1612252500,1150,20
1612302600,1100,2
1612320900,1046,1
1612328100,1125,1
1612329000,1101,22
1612329300,1125,1
1612329600,1101,22
1612332300,1099,21
1612338600,1100,1
1612370100,1185,1
1612382400,1499,1
1612422900,1200,4
1612439400,940,1
1612484700,1100,1
1612530000,1299,1
1612551000,729,1
1612566300,1100,1
1612578300,10000,1
1612581900,1600,1
1612582200,10000,1
1612582500,1600,1
1612627800,877,1
1612689300,1500,60
1612729800,971,1
1612878600,920,1
1612927500,919,1
1612953300,917,1
1612974300,915,5
1612976700,897,15
1612977900,888,10
1612992600,886,1
1613053800,972,20
1613102700,1195,1
1613108100,800,5
1613109900,889,15
1613111700,934,10
1613158800,1195,5
1613160600,975,16
1613162400,876,11
1613180700,1116,23
1613187600,922,10
1613213100,999,10
