timestamp,avg,qty
1574973000,74496,12
1574973300,74576,10
1574973600,74496,12
1574974200,74576,10
1574974800,74629,5
1574975400,74628,1
1574976900,74714,2
1574977200,74742,3
1574977500,74714,2
1574978100,74742,3
1574978400,74477,7
1574979000,74421,11
1574979600,74477,7
1574979900,74421,11
1574980200,74383,10
1574980800,74175,10
1574981100,74383,10
1574981700,74175,10
1574982600,74609,11
1574982900,74539,16
1574983200,74609,11
1574984400,74799,10
1574984700,74609,11
1574985000,74799,10
1574988000,74766,3
1574988300,74799,2
1574988900,74766,3
1574989500,74749,4
1574991000,74700,2
1574991600,74749,4
1574991900,74700,2
1574994300,74613,3
1575003600,72000,1
1575007200,72528,4
1575008700,73990,5
1575010800,74613,4
1575012000,74706,4
1575014100,74452,6
1575015900,74018,8
1575018000,73550,5
1575019800,72719,2
1575021600,72179,4
1575023700,72500,4
1575025200,74000,1
1575029100,73146,3
1575032700,74000,2
1575033600,73573,3
1575034200,74000,2
1575034500,73679,4
1575036000,73573,3
1575036300,74000,2
1575036600,73573,3
1575037200,74000,2
1575037500,73573,3
1575038100,74000,1
1575039600,72719,1
1575045600,74800,1
1575047700,74732,16
1575049200,74637,25
1575051000,74383,13
1575051900,74401,14
1575052800,74383,13
1575053100,74229,8
1575053400,74197,5
1575053700,74229,8
1575054000,74197,5
1575054600,74229,8
1575055200,73975,9
1575056700,73771,10
1575058500,73481,2
1575060600,72827,2
1575062400,72513,1
1575066000,72974,3
1575068100,73205,2
1575071700,73400,2
1575077100,73392,3
1575079200,72730,9
1575081000,72164,10
1575081600,72138,9
1575081900,72164,10
1575082500,72138,9
1575082800,71809,5
1575083700,71978,7
1575084000,71809,5
1575084600,72250,4
1575086700,72400,3
1575101400,72388,3
1575102900,72385,5
1575103800,72388,3
1575104100,72385,5
1575104700,72388,3
1575105300,72382,2
1575105900,72400,1
1575106500,72359,1
1575106800,72400,1
1575107400,72359,1
1575126300,72380,4
1575126900,72394,6
1575127200,72380,4
1575127800,72394,6
1575128400,72400,5
1575129900,72392,5
1575130500,72388,3
1575132000,72393,16
1575133800,72395,15
1575135000,72400,2
1575135300,72395,15
1575135600,72400,2
1575136800,72364,1
1575139500,72359,14
1575140700,72350,15
1575141000,72359,14
1575141300,72349,14
1575141900,72350,15
1575142200,72349,14
1575142500,72298,3
1575144600,72250,2
1575146100,72200,1
1575146400,72250,2
1575146700,72249,2
1575147300,72200,1
1575147900,72298,7
1575148800,72278,10
1575149100,72298,7
1575149400,72278,10
1575149700,72280,11
1575150000,72278,10
1575150300,72280,11
1575151800,72267,8
1575153300,72277,10
1575153600,72284,8
1575153900,72275,9
1575154200,72277,10
1575155100,72275,9
1575155700,72270,6
1575156000,72274,7
1575156300,72270,6
1575156900,72273,4
1575157200,72270,6
1575157500,72273,4
1575159300,72271,5
1575162900,72180,3
1575164700,72135,2
1575165900,72300,1
1575166200,72135,2
1575166500,72300,1
1575168300,72140,3
1575168600,72061,2
1575168900,72140,3
1575170100,72061,2
1575171900,72300,1
1575184800,72294,4
1575186600,72291,4
1575187500,72290,2
1575188100,72291,4
1575188400,72290,2
1575189000,72288,2
1575190200,72091,4
1575190500,72288,2
1575190800,72091,4
1575191400,72130,5
1575192000,72091,4
1575192900,72025,3
1575193500,72091,4
1575194100,72025,3
1575194700,72152,2
1575195300,72017,1
1575199500,72300,3
1575203700,72299,2
1575211800,72126,3
1575212100,72299,1
1575212400,72126,3
1575213300,72195,5
1575213600,72169,4
1575213900,72195,5
1575214500,72212,6
1575214800,72195,5
1575215100,72299,5
1575215700,72212,6
1575216000,72299,5
1575218700,72225,7
1575219300,72299,4
1575219600,72225,7
1575219900,72195,5
1575220500,72212,6
1575221400,72195,5
1575222300,72249,3
1575222900,72195,5
1575223200,72249,3
1575224400,71966,2
1575224700,72249,3
1575225000,71966,2
1575225900,71782,5
1575228000,71788,6
1575228300,71782,5
1575228600,71788,6
1575228900,71787,7
1575229200,71788,6
1575229800,71787,7
1575230100,71783,4
1575232200,71899,4
1575232800,71774,4
1575233400,71875,5
1575234000,71907,4
1575234300,71875,5
1575235200,71907,4
1575235800,72240,12
1575237300,72279,13
1575237600,72269,3
1575237900,72279,13
1575238200,72269,3
1575238500,72279,13
1575238800,72263,2
1575239100,72269,3
