timestamp,avg,qty
1575144600,279,2
1575149700,9,1
1575150300,9,1
1575153300,8,33
1575153600,9,7
1575153900,8,33
1575160800,9,3
1575168300,4,1
1575232200,20,1
1575266400,35,10
1575299700,31,2
1575333300,500,3
1575390000,7,1
1575391800,7,1
1575395400,30,4
1575561600,46,14
1575588900,30,1
1575672300,31,3
1576273500,25,6
1576293300,31,1
1576364400,30,1
1576431900,21,2
1576562700,10,1
1576586400,8,1
1576635300,8,5
1576872300,8,8
1576942200,20,5
1576953300,30,12
1577057700,31,6
1577135400,31,1
1577329800,25,62
1577422500,11,3
1577576400,31,1
1577576700,31,1
1577577000,31,1
1577579100,31,1
1577579400,31,1
1577579700,20,2
1577743800,10,61
1577758500,31,3
1577784300,13,6
1577901000,12,1
1577937600,13,3
1578000900,23,35
1578060900,450,1
1578066600,450,4
1578090000,31,1
1578155400,8,211
1578163500,6,43
1578181500,4,1
1578183600,4,1
1578184200,4,1
1578184800,4,1
1578228300,11,2
1578228600,12,1
1578229200,11,2
1578285900,1,1
1578335100,10,15
1578384000,10,1
1578531000,25,3
1578665100,450,2
1578674700,333,6
1578676500,400,5
1578705900,50,1
1578752700,15,1
1578763800,50,5
1578767400,50,1
1578769500,30,1
1578771300,30,2
1578782100,19,323
1578798900,32,1
1578800700,32,1
1578832800,13,2
1578844200,10,1
1578846000,10,2
1578847800,10,1
1578855000,12,23
1578857100,11,23
1578858900,12,1
1578877200,8,1
1578888300,10,1
1578895800,8,1
1578960000,13,3
1579167600,200,1
1579212900,30,2
1579216800,100,1
1579398300,20,27
1579454400,30,2
1579554900,20,1
1579578600,30,1
1579629300,47,4
1579632900,75,5
1580031000,31,1
1580086200,1,57
1580098800,6,1
1580237400,30,2
1580239200,30,1
1580273400,15,10
1580412300,26,3
1580415900,25,1
1580473500,30,2
1580510100,14,1
1580552100,14,4
1580568900,30,1
1580596200,25,1
1580598000,25,2
1580739300,15,2
1580755500,27,113
1580832900,16,2
1580892900,16,1
1580972700,30,1
1581147300,1,1
1581346500,10,1
1581359100,12,14
1581360900,12,18
1581362700,11,4
1581531000,30,1
1581766500,1,2
1581810600,1,4
1581846600,11,1
1581956100,5,2
1582041600,5,1
1582077000,5,1
1582077900,5,2
1582078800,5,2
1582079100,5,2
1582079700,5,2
1582080900,6,1
1582155900,5,1
1582159200,5,1
1582228500,8,1
1582237500,13,2
1582340100,6,2
1582408500,6,1
1582592400,4,6
