timestamp,avg,qty
1574975400,110,4
1574980800,130,3
1574981100,100,3
1574981700,130,3
1574982600,465,149
1574983500,460,151
1574984400,462,150
1574984700,460,151
1574985000,462,150
1574985300,100,3
1574985600,462,150
1574986200,100,2
1574996400,100,1
1575001500,103,1
1575029700,254,3
1575030300,254,3
1575030900,215,4
1575031500,254,3
1575032100,215,4
1575032700,100,1
1575036000,111,1
1575038100,111,1
1575047700,100,1
1575049200,201,7
1575051000,218,6
1575051900,251,6
1575052800,218,6
1575053100,314,4
1575058500,129,38
1575071700,230,19
1575073500,151,3
1575075300,255,724
1575077100,55,11
1575079200,55,16
1575081000,61,7
1575081600,66,8
1575081900,61,7
1575082500,66,8
1575082800,85,3
1575092400,55,1
1575093300,55,1
1575093900,238,4
1575094200,238,4
1575095100,238,4
1575095700,238,4
1575097500,55,1
1575129900,148,5
1575132000,63,114
1575136800,60,200
1575138000,60,200
1575140700,75,2
1575141300,70,3
1575141900,75,2
1575142200,70,3
1575142500,70,3
1575162900,65,2
1575163200,60,1
1575164100,65,2
1575164700,65,2
1575165900,65,2
1575166200,65,2
1575166800,65,2
1575177300,111,1
1575183000,60,1
1575193500,60,1
1575203700,96,1
1575225900,96,1
1575232200,96,161
1575232800,96,153
1575233400,99,24
1575234000,99,24
1575234300,99,24
1575235200,99,24
1575235800,97,7
1575238800,96,3
1575239100,96,2
1575239400,96,3
1575240600,96,5
1575242700,96,5
1575248100,96,1
1575249000,96,1
1575250200,96,1
1575250500,96,1
1575304500,96,2
1575322800,96,2
1575325800,96,3
1575326100,96,2
1575326400,96,3
1575347700,100,1
1575354900,96,1
1575357300,96,1
1575357900,96,1
1575358200,96,1
1575375600,96,1
1575386400,96,2
1575399000,96,5
1575400800,96,1
1575402600,106,5
1575404700,108,6
1575406200,105,145
1575430200,96,1
1575461400,77,3
1575477300,99,6
1575477600,93,7
1575481500,77,2
1575484500,77,2
1575484800,77,5
1575485400,77,2
1575486600,77,2
1575486900,77,2
1575488100,77,1
1575488700,77,1
1575514200,77,2
1575514800,77,2
1575515100,77,2
1575515400,77,3
1575515700,77,2
1575516000,77,3
1575516300,77,2
1575516600,77,3
1575517800,77,1
1575518100,77,3
1575518400,77,1
1575520200,77,3
1575579600,42,1
1575579900,42,1
1575580200,42,1
1575593100,44,4
1575593700,42,1
1575594000,44,4
1575594300,44,4
1575596400,78,12
1575597000,81,11
1575598200,81,11
1575598800,81,7
1575607800,32,2
1575625500,32,3
1575639300,81,25
1575639900,81,25
1575642600,81,1
1575643200,81,5
1575643500,81,1
1575644400,81,1
1575650100,33,1
1575650400,33,1
1575650700,33,1
1575651300,33,2
1575651600,33,1
1575651900,33,2
1575652800,33,1
1575653400,33,2
1575653700,33,1
1575655500,33,1
1575655800,32,2
1575656400,34,3
1575656700,32,2
1575657000,34,3
1575657300,32,2
1575657600,34,3
1575658500,37,2
1575658800,34,3
1575659700,37,2
1575660000,36,1
1575660600,37,2
1575661500,36,1
1575661800,35,3
1575665100,57,1
1575665400,44,2
1575665700,57,1
1575669000,57,4
1575669300,57,3
1575669600,57,4
1575670200,57,3
1575672300,57,108
1575672600,57,86
1575672900,57,108
1575676800,57,2
1575677100,57,2
1575677700,57,2
1575691200,41,6
1575691500,45,4
1575692700,34,5
1575693300,34,6
1575693900,34,5
1575694200,34,6
1575694500,32,52
