timestamp,avg,qty
1574980200,694,1
1575058500,2000,2
1575135900,1719,2
1575136200,2000,1
1575136800,1719,2
1575139500,1438,1
1575168300,3000,1
1575232200,766,1
1575234000,742,3
1575234300,766,1
1575235200,742,3
1575235800,730,2
1575257400,768,3
1575303300,3000,1
1575507600,1756,1
1575520200,1999,1
1575556800,701,1
1575724500,3000,1
1575731100,623,1
1575778500,3000,1
1575908100,4999,1
1575927000,1012,4
1575940800,763,1
1575942900,2881,2
1575944400,4999,1
1575944700,2881,2
1575945000,4999,1
1575981600,623,1
1575987300,760,1
1576015200,700,1
1576024500,689,1
1576028400,509,1
1576035300,700,1
1576088700,655,3
1576095600,700,2
1576195200,674,5
1576234800,575,1
1576291200,741,1
1576336800,2000,1
1576360800,384,1
1576391700,780,1
1576399200,741,1
1576444800,649,1
1576446600,714,2
1576448400,780,1
1576461000,587,1
1576481100,780,1
1576592100,3000,1
1576651800,2594,2
1576655400,700,1
1576776600,614,1
1576802100,646,1
1576807500,700,3
1576864200,751,4
1576891200,989,2
1576895100,1300,1
1576944000,3000,1
1576956900,750,1
1576973400,528,1
1576988100,3000,1
1577006700,751,1
1577017500,747,4
1577031900,737,1
1577032800,744,2
1577033100,737,1
1577033400,744,2
1577043300,2999,1
1577098200,2900,1
1577113500,2500,1
1577141100,2900,1
1577161200,739,1
1577208000,2997,1
1577255100,2678,6
1577278800,687,10
1577295300,666,1
1577311500,701,2
1577329800,2996,1
1577348100,633,1
1577361000,2996,1
1577468400,2995,1
1577529000,613,1
1577561400,1052,1
1577571000,304,1
1577574000,750,1
1577582100,418,10
1577593200,1159,1
1577637000,750,1
1577651700,1500,1
1577658600,1472,2
1577671200,809,1
1577673900,405,2
1577674500,1,1
1577674800,405,2
1577675100,1,1
1577708100,2995,1
1577753400,650,1
1577853900,219,1
1577886600,697,2
1577919300,680,2
1577921100,663,1
1577939400,697,4
1577997300,576,1
1578021300,2995,2
1578030900,1261,1
1578046500,742,2
1578049500,661,3
1578049800,742,2
1578050100,661,3
1578050400,500,1
1578063000,742,8
1578090000,2995,1
1578166200,606,1
1578180600,600,1
1578192600,606,1
1578201900,941,1
1578212700,2995,1
1578612300,1039,1
1578627300,2995,1
1578760200,2497,2
1578769500,2995,1
1578844200,774,1
1578950700,2995,1
1578961800,2700,6
1578963600,1671,4
1578965400,1230,3
1578974700,2995,10
1579123500,2900,2
1579215000,2995,1
1579233300,824,4
1579329900,783,1
1579333500,824,1
1579376400,783,5
1579394700,824,2
1579416900,578,1
1579458000,1789,1
1579727100,2135,2
1579944300,3000,1
1580073300,10000,1
1580082300,25000,1
1580153700,7500,1
1580155500,6250,2
1580157300,5000,1
1580159100,1500,7
1580175900,908,1
1580244600,5000,1
1580320200,4995,1
1580341800,4928,1
1580430300,4724,2
1580473500,4950,3
1580517300,951,3
1580531700,447,1
1580541000,951,1
1580565300,3333,1
1580636100,2495,1
1580678400,1811,1
1580739300,1200,2
1580761200,2000,1
1580772000,1673,1
1580773800,2084,2
1580775600,2495,1
1580970900,983,1
1580985600,2495,1
1581136200,913,2
1581188400,2495,1
1581215700,1987,3
1581260100,2495,1
1581292800,5000,1
1581300000,1,1
1581348300,1780,1
1581375300,1093,1
1581378900,1780,1
1581449100,1775,1
1581459900,1304,4
1581461700,1147,3
1581467100,1611,1
1581531000,1300,2
1581532800,989,1
1581536400,1459,1
1581651000,1435,2
1581687600,1459,1
1581700500,1000,1
1581741900,1102,1
1581763800,1459,1
1581844800,2495,1
1582045500,1241,1
1582080900,1020,1
1582142700,1073,1
1582169700,1019,1
1582173300,791,1
1582194900,715,1
1582228500,800,1
1582297500,680,1
1582302000,800,1
1582364700,1000,1
1582379400,1019,2
1582382400,971,3
1582383300,875,1
1582383600,971,3
1582384200,875,1
1582392600,900,1
1582505700,875,1
1582557600,900,2
1582572300,875,1
1582584900,2495,1
1582694700,986,1
1582733700,985,4
1582744800,847,1
1582748400,985,1
1582749000,847,1
1582749300,985,1
1582807200,2000,1
1583028600,1776,2
1583030400,1888,4
1583032200,2000,2
1583034000,1409,1
1583037600,2000,1
1583072700,1219,1
1583079900,2000,1
1583105100,1005,2
1583198400,2000,1
1583383200,1800,2
1583466000,1395,1
1583539500,1800,1
1583609400,1264,1
1583611500,1442,3
1583613300,1532,2
1583624100,1800,1
1583794500,1700,3
1583835900,1250,1
1583865300,1800,2
1583922300,1135,1
1583948100,1800,1
1583960700,1682,2
1583969700,1800,2
1584027000,1228,1
1584028800,1514,2
1584030600,1800,2
1584039900,1360,3
1584048900,1800,1
1584067200,1170,1
1584070800,1100,1
1584107400,475,1
1584109500,787,2
1584111300,1100,1
1584135000,1170,2
1584233700,1150,3
1584235500,1112,1
1584243000,1170,1
1584286800,1112,1
1584296100,1057,1
1584318000,1099,1
1584362400,1005,1
1584400500,1112,1
1584440700,1170,1
1584459000,1112,1
1584482700,1170,1
1584629100,1800,3
1584672900,1119,1
1584720600,1154,1
1584733200,1097,1
1584736800,809,1
1584756900,1088,30
1584760500,1112,1
1584764400,1148,10
1584793800,1154,1
1584822900,8000,1
1584852300,1154,1
1584859500,8000,1
1584906900,1154,2
1584925200,1041,1
1584929100,852,1
1584932700,990,1
1584947100,1154,1
1584989400,992,2
1585052400,1000,1
1585069200,783,1
1585085400,523,1
1585160400,4747,2
1585261800,1000,2
1585344600,1085,10
1585401600,1031,1
1585405200,1085,1
1585414500,760,1
1585419900,1500,3
1585427100,978,1
1585432500,1500,1
1585447200,1083,1
1585458000,840,1
1585459800,581,2
1585461600,1000,2
1585463400,1677,1
1585469100,8000,1
1585503600,2495,1
1585510800,868,2
1585516200,978,1
1585525200,752,1
1585532700,1029,2
1585538100,1000,3
1585554900,2495,1
1585575300,1029,1
1585582800,1500,1
1585611900,929,1
1585623000,1500,1
1585637700,2495,1
1585694700,4995,1
1585813800,2000,1
1585826700,4995,2
1585846800,3000,1
1585870500,1126,1
1585877700,2118,1
1585887000,3000,1
1585933200,1436,1
1585947900,3000,1
1585951500,1145,2
1585960800,3000,1
1585971600,1773,1
1586010000,3000,1
1586102700,1176,1
1586157000,1118,1
1586193600,1063,5
1586195400,1028,10
1586197200,994,5
1586222700,608,1
1586257500,1008,1
1586310600,1070,1
1586346900,1017,1
1586362200,1070,1
1586382300,1100,1
1586393100,646,1
1586396700,1000,2
1586400300,1100,1
1586418300,100,1
1586449500,1100,10
1586469300,1052,2
1586474700,1079,10
1586480100,1026,1
1586483700,1079,1
1586501100,881,1
1586515800,1079,1
1586524800,837,1
1586528400,1079,1
1586553900,1000,2
1586566500,1026,1
1586602500,1007,1
1586624100,1024,1
1586649600,822,1
1586667900,957,1
1586688000,910,1
1586717100,905,10
1586718900,895,11
1586720700,790,2
1586722500,752,2
1586724300,899,21
1586726100,909,20
1586727900,910,1
1586731500,493,2
1586733300,514,3
1586735100,555,1
1586748000,498,1
1586751000,373,4
1586752200,332,3
1586768700,499,1
1586770500,606,2
1586772300,714,1
1586783100,372,1
1586796000,500,2
1586888700,800,4
1586906700,799,1
1586910300,800,2
1586955600,677,6
1586957400,554,3
1586963100,800,1
1586982900,450,1
1586986500,765,5
1586991900,800,1
1586997600,799,1
1586999400,794,2
1587001200,789,1
1587014100,799,2
1587033000,800,2
1587069300,526,2
1587080400,872,1
1587084000,966,1
1587085800,978,2
1587087600,990,1
1587094800,917,1
1587149400,788,1
1587238500,326,1
1587240300,586,2
1587242100,847,1
1587278400,990,1
1587298500,892,1
1587318300,609,2
1587320100,326,1
1587321900,990,2
1587360000,987,40
1587365700,990,1
1587367500,919,2
1587369300,848,1
1587385800,936,10
1587389400,990,1
1587409500,972,30
1587411300,888,7
1587413100,901,2
1587418500,856,1
1587422100,736,1
1587423900,846,3
1587425700,902,2
1587436500,900,1
1587460200,814,1
1587471300,350,1
1587484200,500,2
1587493200,300,1
1587514800,700,1
1587520800,764,1
1587528000,901,1
1587554100,990,1
1587574200,923,3
1587577800,890,1
1587579600,868,2
1587581400,846,1
1587583200,990,1
1587618000,595,2
1587629100,990,1
1587686100,500,1
1587687900,745,2
1587689700,990,1
1587700500,827,2
1587702300,664,1
1587737400,898,1
1587750000,990,1
1587755400,600,1
1587773700,942,1
1587777300,990,2
1587780900,973,8
1587793800,898,1
1587817800,698,1
1587819600,755,2
1587821400,812,1
1587830700,990,1
1587850500,849,1
1587857700,740,2
1587859800,849,2
1587905700,1059,2
1587914700,1200,2
1587920100,866,1
1587934800,706,1
1587971400,1200,1
1588278900,973,1
1588289700,1200,10
1588296900,973,6
1588433400,1200,1
1588535700,500,1
1588581300,984,1
1588610700,811,1
1588638000,954,5
1588641900,990,1
1588697100,733,1
1588718700,993,2
1588722300,853,1
1588735200,993,1
1588742400,990,1
1588757100,918,1
1588779300,993,1
1588804500,918,1
1588809900,993,1
1588826400,830,1
1588848000,993,2
1588875300,966,1
1588878900,1200,1
1589067600,1000,1
1589086500,987,1
1589151900,1000,1
1589157300,858,1
1589159100,929,2
1589160900,1000,1
1589164500,992,1
1589211900,1198,2
1589222700,950,1
1589237400,1198,1
1589250000,1000,1
1589289900,858,1
1589302500,1200,1
1589366100,1000,1
1589402700,1200,1
1589409900,1000,1
1589413500,1200,1
1589473200,1032,1
1589482500,1200,1
1589507700,1030,10
1589518800,1200,1
1589542500,981,1
1589553300,886,1
1589556900,932,1
1589571300,981,1
1589574900,2495,1
1589607600,932,1
1589614800,873,3
1589631000,1500,1
1589650800,957,2
1589709000,1057,1
1589743500,957,1
1589759700,822,1
1589770500,746,2
1589772300,670,1
1589817900,822,1
1589823300,805,2
1589826900,822,1
1589846700,750,1
1589870400,1,1
1589901300,613,1
1589908500,789,1
1589937600,645,1
1589941200,822,2
1589944800,918,1
1589997600,872,1
1590037500,1057,1
1590124500,665,2
1590126300,734,3
1590128100,872,1
1590189600,887,1
1590211500,801,3
1590229800,887,1
1590336300,1057,2
1590430500,1037,1
1590452400,1057,1
1590468300,778,2
1590506100,1057,1
1590511500,771,1
1590518700,1025,5
1590522300,1057,1
1590635400,686,2
1590648000,481,1
1590690300,840,3
1590695700,1057,1
1590702900,930,1
1590711900,884,1
1590721200,798,1
1590739200,777,1
1590771000,905,1
1590794700,860,1
1590805500,635,1
1590892500,777,1
1590894300,747,3
1590896100,732,2
1590915900,668,1
1590917700,845,4
1590919800,904,3
1590937800,347,1
1590943200,905,1
1591024800,604,2
1591041300,905,1
1591053900,703,1
1591059300,905,1
1591065000,901,1
1591094100,905,1
1591114200,895,2
1591134000,885,1
1591135800,895,2
1591137600,868,4
1591139400,856,3
1591145700,905,1
1591187100,686,2
1591198200,885,2
1591216200,506,1
1591218000,695,2
1591219800,885,1
1591245300,666,1
1591338300,786,1
1591344000,747,1
1591371300,827,1
1591382400,474,1
1591384200,709,3
1591386000,827,2
1591542600,1200,1
1591560900,749,1
1591566300,1200,2
1591571700,1000,1
1591575300,788,1
1591588200,749,10
1591637700,788,1
1591655700,750,2
1591657500,762,3
1591659300,788,1
1591666500,677,1
1591671900,768,2
1591675500,389,3
1591713900,788,1
1591735500,829,1
1591805100,1200,1
1591839600,798,1
1591854000,1200,1
1591914300,652,1
1591925100,798,1
1591932300,620,1
1591937700,750,1
1591966800,798,1
1591994100,1200,1
1591999500,561,2
1592001300,774,3
1592003100,1200,1
1592008500,589,1
1592012100,910,2
1592015700,1200,1
1592148600,761,3
1592156100,653,1
