timestamp,avg,qty
1574973300,1006,154
1574973600,1006,150
1574974200,1006,154
1574975400,1008,87
1574980200,972,314
1574980800,968,1601
1574981100,972,314
1574981700,968,1601
1574982600,954,1547
1574982900,954,1641
1574983200,954,1547
1574984400,938,1578
1574984700,954,1547
1574985000,938,1578
1574987100,956,1845
1574988000,960,8904
1574988300,956,1845
1574988900,960,8904
1574991000,962,9166
1574991600,960,8643
1574991900,962,9166
1574992800,1003,885
1575000000,1004,77
1575007200,1009,976
1575014100,1009,7027
1575018000,1009,78
1575023700,1009,36
1575025200,1018,28
1575025500,1018,28
1575026100,1018,28
1575026400,1018,28
1575027000,1018,28
1575032700,1009,8
1575042000,1005,89
1575045300,1007,314
1575045600,1009,109
1575045900,1008,269
1575051000,1045,2725
1575052800,1011,243
1575053100,1011,245
1575053400,1011,243
1575053700,1011,245
1575054000,1011,243
1575054600,1011,245
1575055200,1010,76
1575056700,1019,335
1575058500,1018,361
1575062400,1036,189
1575066000,1016,2023
1575068100,1015,2964
1575071700,1021,697
1575073800,1021,719
1575074400,1021,719
1575075300,1003,3545
1575077100,1003,3769
1575084600,965,2716
1575092100,1038,2642
1575093900,1022,3648
1575094200,1000,1730
1575095100,1022,3648
1575095700,989,553
1575097500,1011,92
1575105300,1000,82
1575108600,1013,38
1575109800,1003,545
1575111300,1003,546
1575111600,1003,532
1575112200,1003,546
1575114300,1013,39
1575114600,1023,20
1575117300,1002,776
1575121200,1012,98
1575133800,1011,66
1575134400,1011,85
1575136800,1011,73
1575140700,1024,15
1575141000,1014,50
1575141300,1013,26
1575146100,1018,355
1575149700,1007,446
1575150000,1022,224
1575150300,1007,446
1575155700,1008,61
1575160800,1006,28
1575161400,1006,49
1575161700,1006,28
1575162000,1006,49
1575162900,1020,468
1575164700,1020,468
1575165000,1014,911
1575165600,1020,468
1575165900,1008,662
1575166200,1014,911
1575166500,1008,659
1575168300,1010,231
1575170100,1012,48
1575176100,1013,48
1575181200,1016,150
1575184800,1007,198
1575202800,950,106
1575203700,985,995
1575206100,989,986
1575206400,988,955
1575206700,989,986
1575210600,1018,371
1575211800,1016,402
1575212100,1018,371
1575212400,1016,402
1575214500,996,31
1575214800,1017,381
1575215100,996,3
1575215700,996,31
1575216000,996,3
1575216900,996,22
1575217200,996,3
1575217800,996,22
1575222300,1005,4140
1575233400,1005,3072
1575237300,1019,201
1575244800,1009,1191
1575248100,1009,15
1575250200,1020,35
1575252000,1018,64
1575252900,1017,79
1575253800,1012,543
1575255600,1012,6158
1575257400,1013,5662
1575261000,1103,221
1575263100,1084,382
1575263400,1084,382
1575264000,1084,382
1575264300,1084,382
1575264600,1058,173
1575266400,1241,2069
1575268200,1240,2090
1575270300,1116,37
1575286200,1060,205
1575300300,1070,1222
1575302100,1061,977
1575303900,1036,506
1575304200,1062,1091
1575304500,1036,464
1575309900,1100,70
1575317100,1115,113
1575319200,1124,3287
1575320400,1124,3274
1575320700,1124,3287
1575321000,1156,1098
1575322800,1163,1022
1575325800,1033,119
1575329400,1059,1067
1575329700,1090,479
1575330000,1059,1067
1575336900,1034,927
1575342600,1123,2165
1575344100,1035,203
1575346200,1034,7
1575351600,1034,6053
1575358800,1035,23
1575360900,1035,37
1575361800,1035,36
1575363300,1035,103
1575363600,1035,139
1575363900,1035,103
1575368100,1039,1179
1575372000,1035,1808
1575377100,1061,9
1575386400,1035,55
1575395400,1055,591
