timestamp,avg,qty
1575569700,24,5
1576351500,500,4
1576356900,500,6
1576359000,500,7
1576360800,500,5
1576440900,500,19
1576446600,500,3
1576548300,500,2
1576902300,480,5
1576955100,91,4
1577031900,500,8
1577123700,500,3
1577398800,500,5
1577399700,500,5
1577400300,500,5
1577400600,500,5
1577402700,500,2
1577559900,500,1
1577561400,500,5
1577576400,500,34
1577589300,500,8
1577682900,149,5
1577687700,500,2
1577718300,132,1
1577731800,1,5
1577737200,1,1
1577739300,381,3
1578000900,5,1
1578022200,99,2
1578266700,104,6
1578353100,79,6
1578354900,79,9
1578440400,500,1
1578525000,500,2
1578526800,500,7
1578593700,191,4
1578629100,500,5
1578782100,500,73
1578795000,500,20
1578851400,500,10
1578857100,500,7
1579129200,500,5
1579674900,100,1
1579676700,100,1
1579889700,500,1
1579891500,500,1
1580058900,133,7
1580075100,500,3
1580076900,500,10
1580078700,500,7
1580091600,127,7
1580093400,122,10
1580097000,110,7
1580403300,60,3
1580570700,61,9
1580958000,152,7
1581468900,213,11
1581649200,500,5
1581651000,500,4
1581732900,500,4
1583787300,142,2
1584296100,250,9
1584297900,250,13
1584407700,250,2
1584409500,250,8
1584411300,250,10
1584413100,250,2
1584488100,233,6
1584583200,254,1980
1584585000,3383,3
1584822900,1,1
1585276500,132,1
1585278300,132,1
1585529100,158,1
1585530900,158,1
1586060700,166,5
1586066100,166,3
1586099100,70,5
1586100900,70,8
1586102700,70,4
1586206500,2962,106
1586208300,1366,4
1586210100,988,1
1586229900,317,10
1586232000,150,12
1586973900,165,1
1587029400,90,1
1587036600,100,1
1587229500,176,9
1587231300,172,17
1587327300,141,4
1587396600,111,5
1587400200,92,7
1587403800,67,12
1587509400,162,10
1587592500,170,1
1587594300,170,10
1587596100,170,8
1591161900,131,1
1591163700,131,1
1592625000,1,1
1592759700,154,2
1592799900,499,1
1595268300,118,2
1598634600,161,2
1599001500,42,128
1599078000,500,18
1599277500,3,2
1599511800,2,398
1600021800,98,3
1600027200,98,3
1601942100,112,2
1601951100,112,2
1602871200,106,9
1602873000,93,11
1602874800,37,2
1604180100,104,27
1606344900,200,20
1607728500,9875,2
1609970700,107,1
1609971300,107,1
1610139600,163,2
1611168300,109,1
