timestamp,avg,qty
1575175500,600,2
1575357300,600,1
1575600000,640,2
1575691200,640,1
1575814200,640,1
1576209600,473,1
1576285800,497,4
1576286700,497,3
1576287000,497,4
1576287300,497,3
1576287600,497,3
1576287900,497,3
1576288200,497,3
1576448400,615,3
1576497600,615,1
1576778400,130,1
1577165100,500,2
1577322600,787,19
1577468400,107,1
1577469900,107,1
1577472300,550,2
1577473200,550,2
1577473500,550,2
1577500800,646,2
1577637000,550,3
1577641800,621,2
1577643000,621,2
1577643600,810,4
1577644200,621,2
1577644500,810,4
1577646300,1000,2
1577902800,588,1
1578436800,611,1
1579738200,615,1
1580495400,583,5
1580589000,645,2
1580768400,544,2
1580936100,598,2
1581103500,644,1
1581212100,644,2
1581353700,584,1
1581630900,585,1
1582056300,600,1
1582408500,585,2
1582424700,585,1
1582724100,600,1
1582753500,700,1
1582757400,700,2
1582958400,600,5
1583026800,106,2
1583032200,481,2
1583444100,610,2
1583444400,610,2
1583444700,610,2
1583445000,610,2
1583445600,610,2
1583445900,618,1
1583876100,579,1
1583879700,605,7
1584048900,538,3
1584195600,593,2
1584405900,654,1
1584870600,603,1
1585428900,619,4
1585545600,550,4
1585547400,550,7
1585549200,550,5
1585552800,636,1
1585554900,636,1
1585578900,632,3
1585663500,619,2
1585742400,551,5
1585969800,608,3
1586040900,625,3
1586042700,649,3
1586044500,673,1
1586055300,601,1
1586066100,601,1
1586139000,669,5
1586458500,715,2
1586826600,705,199
1586981100,705,3
1587089400,712,5
1587845100,647,4
1587855900,603,1
1587872400,525,2
1587874200,554,2
1587876000,583,1
1587891000,608,2
1587916500,530,3
1587958500,570,2
1587991500,571,2
1587993300,674,3
1587995100,726,2
1587996900,726,2
1588026000,571,4
1588036800,656,3
1588122300,695,3
1588444200,690,1
1588462500,580,1
1588601700,680,3
1589322300,681,1
1589324100,703,2
1589325900,703,2
1590160800,815,1
1591239900,791,2
1591560900,778,1
1591916100,521,2
1592137800,695,3
1592254200,781,7
1592256000,859,1
1592258100,859,1
1592695800,759,1
1593447000,400,1
1593483600,505,3
1593540000,505,1
1594483200,589,4
1594485000,596,5
1594486800,608,3
1594499400,731,2
1594590600,663,3
1595183100,700,1
1595193900,700,1
1595628900,473,3
1595868300,22,1
1597190100,555,1
1600806000,500,1
1600806300,500,1
1600806600,500,1
1600807200,500,1
1600807500,500,1
1600973400,535,2
1602595500,532,1
1602941700,200,1
1602942900,200,1
1603194000,594,1
1603195800,594,1
1603661100,600,2
1603662600,600,5
1603664400,600,3
1603797600,602,1
1605378000,636,2
1606012500,651,4
1606818900,683,1
1607469900,704,1
1608276900,600,1
1608350100,600,1
1608516900,600,1
1608669900,306,2
1609456200,630,1
1609458000,630,1
1609494300,666,2
1609858500,580,1
1610562300,638,1
1611473100,638,2
1612938300,309,2
1613075700,570,1
