timestamp,avg,qty
1575219900,20,20
1575220500,22,120
1575224400,40,54
1575224700,22,120
1575225000,40,54
1575230100,56,3687
1575230700,55,3903
1575233400,58,3252
1575234000,40,36
1575234300,58,3252
1575235200,40,36
1575325800,50,762
1575329400,57,5172
1575329700,50,2010
1575330000,57,5172
1575330300,59,4044
1575330900,57,5172
1575331200,59,3901
1575404700,60,10
1575490800,15,12
1575537300,60,1
1575665100,32,538
1575669000,33,426
1575670800,36,3566
1575676800,33,12
1575677100,36,1024
1575677700,33,12
1575680100,36,1442
1575720300,30,1982
1575731100,60,2000
1575768300,28,10
1575985800,29,2001
1576265700,60,1000
1576440900,29,878
1576444800,31,287
1576464600,30,60
1576640400,32,144
1576796400,55,10
1576933200,30,1
1576973400,28,2200
1577006700,29,524
1577031900,28,1010
1577072700,30,230
1577073900,32,717
1577076000,58,11000
1577077500,60,10283
1577113500,57,4
1577115600,59,11000
1577115900,57,4
1577116200,59,11000
1577117100,58,11596
1577117700,59,11000
1577118000,58,11596
1577119200,35,600
1577119500,58,11596
1577119800,35,600
1577121000,60,1000
1577121300,35,600
1577121600,60,1000
1577188800,37,36
1577220300,32,1
1577389800,35,414
1577773500,28,1000
1577797200,29,1000
1577971200,28,1
1578017400,55,1
1578019500,41,5
1578021300,33,1038
1578032400,30,1000
1578036000,31,853
1578038700,33,972
1578040500,34,900
1578059400,30,100
1578090000,48,1
1578128700,35,1
1578147600,60,10
1578464400,31,100
1578514500,19,10
1578612300,29,2393
1578615900,40,72
1578672600,27,10
1578719100,28,1000
1578782100,31,5000
1578884700,30,1
1578888300,33,1000
1578974700,29,5000
1579335600,32,3000
1579367100,60,10
1579380000,51,1
1579420500,50,307
1579437900,31,1
1579972200,39,5405
1579977600,60,1
1580053200,10,120
1580058900,17,1071
1580137500,32,11000
1580178000,45,1101
1580196000,40,336
1580421300,34,1
1580535300,24,100
1580578200,28,1300
1580612700,27,55
1580850900,31,1000
1580887500,32,1000
1580923500,17,48
1580932500,8,303
1581005700,30,24
1581016500,8,5125
1581166200,32,18
1581188400,40,200
1581190200,45,1960
1581192000,46,1760
1581398700,26,1000
1581561600,27,1
1581634500,25,10
1581897300,16,10
1581904500,14,1
1581961800,28,500
1581965100,27,100
1581985200,24,1101
1582424700,26,401
1582430100,28,10
1582678200,21,100
1582724100,27,2000
1582757400,19,100
1582832100,26,2016
1583101500,60,3000
1583440200,27,1776
1583495700,60,1300
1583704800,27,1
1583772600,60,100
1583978700,27,1
1584048900,37,6
1584243000,11,100
1584244800,25,5246
1584246600,35,146
1584314400,27,842
1584362400,20,1981
1584398700,25,1000
1584404100,6,25
1584438900,27,1010
1584484500,6,6
1584552300,27,30
1584665700,29,5096
1584669300,28,360
1584671100,35,1001
1584718800,34,822
1584720600,15,6
1584729600,40,303
1584733200,44,207
1584824700,15,1218
1584905100,27,2000
1584906900,31,3665
1584908700,36,2289
1584982200,38,30
1585061700,15,8760
1585087200,33,4179
1585309800,32,100
1585414500,31,1067
1585430700,30,845
1585519800,15,60
1585523400,29,10
1585621200,40,84
1585628400,31,2000
1585630200,35,4638
1585632300,38,2638
1585680000,35,1000
1585687200,32,1
1585700100,31,1000
1585751700,40,702
1585875900,35,259
1586017500,30,651
1586021100,36,249
1586022900,34,3249
1586024700,37,3915
1586026800,47,915
1586178900,32,5725
1586213700,34,401
1586215500,32,1295
1586217300,31,894
1586241000,15,1
1586250300,33,1000
1586375100,42,10
1586376900,45,16
1586378700,42,475
1586467500,40,6611
1586552100,42,1146
1586627700,30,1
1586640600,35,2600
1586660400,33,1000
1586713500,34,1
1586912100,1,1000
1586941200,32,24
1586984700,30,15300
1586988300,32,12
1587010500,33,562
1587027300,32,8078
1587071100,772,1
1587082200,37,24
1587096600,36,1
1587122100,35,42
1587140400,40,609
1587145800,33,31267
1587149400,39,1
1587198300,37,348
1587338100,45,1
1587407700,38,300
1587505800,30,1
1587513000,35,2000
1587585000,37,1001
1587821400,32,150
1587837900,33,1
1587945600,35,90
1588040400,42,57
1588051200,33,3000
1588084200,30,12
1588188000,31,13
1588191600,30,470
1588208100,33,2200
1588264500,30,1730
1588277100,33,10
1588375200,100,1
1588377000,43,7312
1588406100,34,10
1588453500,30,4887
1588475400,40,2001
1588515900,34,200
1588533900,39,8342
1588579500,82,104
1588702500,100,1
1588737000,36,3000
1588790100,37,10
1588886400,30,6
1588899000,40,6
1588937100,36,4495
1588941000,6,2796
1588960800,29,150
1588962600,33,360
1588964400,37,896
1588969800,36,2001
1589011800,22,1
1589130300,36,6
1589153700,37,1242
1589222700,36,102
1589264400,38,401
1589429700,39,720
1589451300,38,215
1589504100,55,10
1589600400,50,100
1589729100,62,530
1589848800,42,3000
1590072000,41,2000
1590102900,42,1000
1590463200,30,3193
1590750000,65,1
1590785400,39,1554
1590892500,37,2
1590983100,39,2547
1590986700,42,220
1591046700,39,1421
1591092300,40,794
1591099500,37,1
1591167300,39,3
1591225200,123,1
1591230900,100,1
1591293000,42,3011
1591364100,123,1
1591458600,34,1
1591503900,36,10
1591566300,33,1
1591675500,40,1000
1591879800,115,1
1591968600,38,1
1591986900,35,1
1592039400,37,73
1592210700,40,1000
1592290500,34,33
1592521500,40,499
1592641200,39,10000
1592717400,35,78
1592748900,36,10
1592787000,30,180
1592788800,34,558
1592790600,36,378
1592874600,32,10
1592876400,34,78
1592878200,35,561
1592936400,10,8
1592963700,32,2642
1592965500,34,8849
1592967300,35,6267
1592969100,36,60
1593040200,35,1188
1593042300,34,11188
1593045900,31,478
1593047700,34,552
1593144300,43,24
1593341100,36,10
1593479700,32,9880
1593551100,15,6
1593583800,28,100
1593816600,30,200
1593874800,50,10
1593900300,37,42
1594297200,30,6000
1594299000,31,11000
1594300800,32,5000
1594541100,25,7010
1594838700,35,1
1595112600,24,1
1595123400,17,1
1595277300,18,1000
1595279100,28,12000
1595280900,29,11000
1595317200,34,54
1595393400,31,100
1595628900,74,1
1595643300,34,1
1595674500,38,54
1595676300,39,420
1595678100,40,366
1595774100,25,2000
1595777700,39,400
1595924100,29,7000
1596024000,31,1045
1596388800,40,11
1596403200,29,1
1597190100,40,100
1597425300,28,1000
1597784400,31,7000
1597958700,25,3000
1598034600,29,1
1598120100,28,100
1598316900,39,10
1598335200,40,11
1598368800,31,100
1598433900,30,487
1598851200,31,7
1599114300,40,100
1599116100,35,200
1599117900,31,100
1599216300,28,300
1599288300,20,300
1599405900,24,2805
1599508200,29,6360
1599510900,30,4640
1599800700,34,1
1599983700,28,1100
1600126800,25,100
1600152000,33,1008
1600697100,48,1000
1600715100,30,39
1600716900,35,399
1600718700,37,1110
1600720800,38,4805
1601483400,40,10
1601491200,35,90
1601651100,30,4000
1602139800,28,3000
1602173100,29,4070
1602645900,30,1010
1602718500,26,10
1603224600,28,500
1603691700,36,11000
1603709700,20,1000
1604094000,39,788
1604469000,35,5
1604696400,28,1000
1604831700,26,1265
1605040200,28,1600
1605152400,29,150
1605408900,54,702
1605542400,38,402
1605629700,33,1
1605976800,24,1
1606653600,32,2000
1606654200,33,4165
1606655100,32,2000
1606655400,33,4177
1606657500,34,55
1606790100,32,201
1607371500,29,1000
1607973300,24,400
1608221700,58,526
1609617600,36,10
1609688100,29,5452
1609691700,34,301
1609722600,33,11156
1609807800,27,634
1610649000,29,3219
1610656200,36,16
1610665800,30,4
1610792100,29,729
1610793900,42,4676
1610795700,46,3253
1610822700,21,1
1611072000,30,2
1611268800,47,1
1611363300,26,202
1611366900,18,700
1611376200,24,4
1611787500,37,1872
1611790200,39,4206
1611791400,40,2366
1611792600,42,1897
1612694700,28,3000
1612698600,29,4000
1612735800,28,1000
1612865700,29,3440
1613173500,40,510
