timestamp,avg,qty
1575220500,27,40
1575224700,27,40
1575325800,48,762
1575329400,50,1272
1575329700,49,2010
1575330000,50,1272
1575330300,50,144
1575330900,50,1272
1575331200,40,571
1575404700,29,48
1575665100,13,101
1575676800,37,11580
1575677100,37,11580
1575677700,37,11580
1575720300,29,24
1575768300,28,10
1576464600,29,432
1576973400,23,1800
1577072700,13,162
1577073900,31,6
1577076000,31,6
1577389800,38,1332
1577971200,17,1
1578021300,17,4
1578128700,33,474
1578612300,32,156
1578615900,33,48
1578974700,25,24
1579367100,32,66
1579437900,25,54
1579977600,33,36
1580178000,40,12
1580887500,32,30
1580923500,7,1
1581192000,35,639
1581398700,6,1096
1581904500,12,1
1581965100,25,144
1582430100,27,3950
1582832100,27,6260
1583440200,26,1436
1583704800,26,1
1583772600,28,100
1583978700,884,1
1584048900,26,24
1584246600,22,100
1584404100,6,1
1584665700,28,66
1584669300,28,342
1584671100,28,102
1584718800,28,912
1584729600,28,156
1584733200,39,54
1584905100,27,6
1584906900,27,6
1585309800,31,24
1585414500,31,6
1585430700,32,24
1585621200,31,47
1585628400,884,2
1585680000,32,438
1585687200,31,7
1586017500,28,1380
1586021100,35,215
1586022900,35,215
1586213700,21,45
1586215500,21,45
1586217300,35,234
1586250300,28,48
1586376900,35,48
1586378700,35,48
1586552100,37,68
1586713500,31,36
1586984700,32,5118
1587010500,33,324
1587096600,36,1
1587145800,40,16349
1587198300,37,36
1587338100,37,289
1587407700,27,198
1587513000,27,6
1587837900,32,1
1587945600,35,252
1588040400,45,48
1588051200,34,54
1588084200,40,1
1588188000,30,1
1588264500,40,9763
1588375200,52,84
1588377000,45,984
1588406100,30,16
1588453500,34,13
1588579500,40,1001
1588702500,38,1
1588737000,36,3200
1588899000,5,60
1588937100,5,217
1588960800,35,462
1588962600,35,282
1589011800,30,666
1589130300,38,9
1589222700,35,294
1589264400,38,5
1589429700,45,18
1589451300,41,3484
1589504100,40,522
1590072000,36,6
1590102900,38,46
1590463200,39,510
1590750000,31,1
1590892500,31,84
1591046700,40,66
1591167300,38,150
1591225200,42,1
1591230900,42,1
1591293000,40,54
1591364100,56,174
1591458600,37,126
1591566300,32,2256
1591879800,42,1
1591986900,33,1
1592210700,38,1498
1592874600,44,24
1592965500,35,7316
1592967300,35,7316
1593042300,34,720
1593144300,40,18
1593816600,26,23
1593900300,33,330
1594300800,10,3913
1594541100,10,13
1595279100,27,48
1595280900,27,48
1595317200,33,15
1595628900,54,720
1595643300,10,1
1595674500,36,18
1595676300,36,18
1595777700,11,24
1595924100,34,48
1597190100,30,12
1598120100,20,12
1598316900,30,47
1599117900,30,132
1599405900,22,36
1599508200,29,60
1599800700,28,1
1599983700,27,100
1600126800,5,60
1600697100,28,700
1600715100,29,1
1600716900,29,1
1603224600,28,3
1606655400,34,12
1606657500,34,12
1609617600,35,24
1609807800,30,106
1610665800,28,8
1610822700,21,1
