timestamp,avg,qty
1577006700,923,1
1578782100,1000,1
1579900500,1203,1
1580188800,1203,2
1580537100,1032,101
1582167600,1,63
1583966100,1014,100
1584969300,2595,2
1584976500,2300,100
1584978600,2300,100
1585052400,1205,1
1585285500,604,4000
1585287300,611,6300
1585289100,625,2300
1585575300,1064,1
1586966700,1003,1
1587354600,1242,1436
1587384000,1011,1
1587520800,1050,1
1587649500,1011,1
1587878100,1012,1
1587949200,1012,1
1588125900,1011,1
1589011800,1021,2
1590153300,801,2
1590298500,800,1
1590750000,801,1
1591156500,829,1
1592123100,1115,950
1595772300,856,826
1596995400,800,2
1600715100,815,1
1607039100,100,1
1607081700,500,1
1607536500,550,1
1608726300,625,1
