timestamp,avg,qty
1575003600,374,166
1575008700,375,700
1575051000,370,1100
1575052800,375,600
1575069900,381,1000
1575090300,379,1
1575118500,380,1
1575123000,378,946
1575135000,379,10
1575142500,365,69
1575144600,368,101
1575144900,369,121
1575145200,368,101
1575146100,375,52
1575146400,369,121
1575146700,375,52
1575149700,378,124
1575155700,363,206
1575175500,345,1
1575177300,372,13
1575179400,375,310
1575223200,373,1
1575250200,380,2001
1575273600,381,40
1575291900,370,302
1575331800,368,1
1575368100,350,1
1575384600,352,1
1575404700,349,289
1575415500,350,19
1575424800,349,1186
1575428100,350,87
1575431700,348,10
1575432000,350,1
1575432300,348,10
1575459300,345,191
1575498000,353,700
1575517800,370,1
1575520200,369,701
1575556800,342,20
1575590700,350,115
1575620700,364,1600
1575652800,369,200
1575686100,368,90
1575686700,369,361
1575687000,368,90
1575687300,369,361
1575689100,370,271
1575718500,365,980
1575755100,358,1
1575757500,355,141
1575764700,324,100
1575777300,323,1801
1575792000,331,1400
1575801300,333,568
1575805200,338,1
1575822600,323,1
1575830700,336,3000
1575831000,323,11
1575831300,336,3000
1575834900,324,1
1575843600,340,1
1575890100,355,1200
1575891600,354,1201
1575891900,355,1200
1575892200,354,1201
1575910200,350,1
1575927000,341,1
1575944400,293,399
1575972900,330,20
1575985800,340,671
1576002600,324,120
1576035300,308,1
1576046100,340,750
1576086900,324,1
1576097700,315,1200
1576102800,340,2
1576137300,300,1
1576155000,350,1
1576166700,315,1100
1576171200,346,1
1576178700,315,1
1576240500,339,61
1576265700,336,2
1576310700,346,75
1576347900,315,1
1576359000,330,1
1576411800,346,1
1576437300,345,1
1576450200,344,1
1576578900,345,1
1576613700,358,40
1576648800,359,1
1576650900,352,4
1576652100,350,3
1576652400,352,4
1576652700,350,3
1576678500,349,1
1576692300,340,1
1576700100,339,1000
1576719300,350,6
1576780500,323,2
1576842000,320,1
1576854300,339,1
1576884000,340,701
1576947900,394,1500
1577017500,340,500
1577023200,375,2001
1577031900,346,1
1577033700,345,2
1577037900,328,1
1577043300,345,501
1577102700,346,1
1577154900,344,1
1577155500,343,2
1577155800,344,1
1577156100,343,2
1577167500,340,1
1577362500,387,199
1577368200,348,300
1577371800,350,1001
