timestamp,avg,qty
1574984400,1764,7
1574984700,2800,4
1574985000,1764,7
1574985300,1189,6
1574985600,1764,7
1574986200,384,4
1574986500,1189,6
1574987100,384,4
1575000000,364,1
1575012000,296,1
1575023700,383,1
1575045300,512,1
1575128400,511,2
1575140700,450,2
1575141000,511,1
1575141300,450,3
1575146100,383,1
1575146400,450,1
1575146700,383,1
1575151800,450,1
1575160800,511,1
1575206100,512,1
1575227100,2000,1
1575233400,5000,2
1575234000,4250,4
1575234300,5000,2
1575235200,4250,4
1575235800,4400,5
1575237300,5000,2
1575242700,4500,2
1575243600,3851,4
1575243900,4500,2
1575244200,3851,4
1575244800,3335,6
1575246300,3203,5
1575246600,3152,4
1575246900,3203,5
1575247200,3152,4
1575247500,3203,5
1575247800,3152,4
1575248100,3000,1
1575257400,5000,1
1575259200,4000,2
1575261000,2750,2
1575261600,3000,1
1575262500,2750,2
1575262800,2500,2
1575264600,1015,4
1575266400,520,3
1575273600,2198,1
1575277200,1500,1
1575282600,1000,2
1575313200,1500,2
1575314100,2000,1
1575314400,1500,2
1575315000,2000,1
1575315900,1000,1
1575327900,340,1
1575333300,900,1
1575336900,1200,1
1575339600,850,2
1575339900,1200,1
1575340200,850,2
1575340500,500,1
1575351600,390,3
1575353100,417,4
1575354900,500,1
1575393600,860,2
1575397500,1200,2
1575400800,1083,2
1575402600,1148,5
1575404700,1191,3
1575410400,2000,1
1575411900,1201,2
1575414000,402,1
1575433500,451,2
1575435900,500,1
1575452100,2000,2
1575455700,2400,5
1575456600,2600,5
1575456900,2400,5
1575457200,2600,5
1575457800,2800,5
1575459300,3000,2
1575470400,519,1
1575493800,2500,1
1575514800,2700,5
1575515100,2500,3
1575515400,2750,4
1575515700,2700,5
1575516000,2750,4
1575516300,2700,5
1575516600,2750,4
1575516900,2833,3
1575519600,3000,1
1575530100,5000,1
1575551100,2998,1
1575560700,2000,1
1575566100,1500,1
1575569700,2000,1
1575570000,1500,1
1575570300,2000,1
1575594300,1200,1
