timestamp,avg,qty
1576059000,160,199
1577479200,86,50
1577607300,82,1
1578373200,91,55
1578436800,80,5
1578525000,87,1
1578868200,80,76
1579893300,84,26
1579895100,82,22
1579896900,80,1
1579911600,4979,1
1579913400,4979,2
1579915200,4839,16
1579917000,4829,15
1580280600,100,1
1581357300,97,5
1581406200,95,6
1582369500,86,3
1582650900,115,5
1583367600,64,19
1583677500,25,5
1584252000,27,1
1584508200,62,5
1584930900,70,5
1584982200,100,5
1584984000,100,1
1585252800,201,5
1586325300,122,15
1586447700,103,85
1586708100,104,11
1587314700,53,4
1587960300,48,5
1587962100,48,5
1588047600,60,20
1588049400,60,20
1588069500,66,30
1588120500,58,6
1588191600,70,15
1588720500,61,385
1588790100,68,5
1588848000,65,5
1588850100,65,5
1589106600,102,5
1589146500,71,5
1589148300,71,5
1589201100,77,6
1590432300,32,556
1590536700,71,10
1590571500,68,5
1591006800,69,495
1591250700,55,17
1591905000,67,6
1592505000,50,10
1592931000,68,1
1593470700,30,5
1593511200,75,5
1593565500,231,5
1593567000,231,5
1593567300,231,5
1593567600,231,5
1593568800,231,5
1593599700,81,5
1593601500,81,5
1593836400,165,10
1594625100,90,20
1595184900,135,374
1595424900,88,20
1595426700,92,10
1595595300,97,5
1596977400,50,100
1597199100,47,3
1597626600,288,319
1599024900,32,282
1599101400,32,1
1599103500,32,1
1599245400,61,299
1600065000,100,5
1600333200,47,10
1600486500,57,3
1601019300,87,5
1601057400,25,13
1601411700,90,111
1601436300,90,10
1601701800,87,5
1601762100,96,374
1601765700,84,10
1601821200,92,121
1603997700,124,5
1604557500,26,1
1604880300,116,490
1605300000,70,5
1606096200,44,3
1606449900,84,16
1606501500,97,5
1606502400,97,5
1606504200,97,5
1606527000,100,11
1606536600,100,20
1606597500,968,1
1606601100,97,45
1606994700,68,200
1607871600,74,15
1608747900,84,1
1609245900,25,129
1610009400,90,4
1610970600,25,1094
1612077600,69,5
1612678800,72,15
