timestamp,avg,qty
1575001500,1472000,1
1575032700,1505666,3
1575034500,1513195,1
1575036000,1513195,1
1575043500,1522000,2
1575045300,1519500,2
1575045600,1522000,2
1575045900,1519500,2
1575047700,1539000,1
1575055200,1478921,2
1575064200,1488572,1
1575064500,1488572,1
1575065100,1488572,1
1575065400,1488572,1
1575065700,1488572,1
1575066000,1481788,2
1575068100,1475005,1
1575070500,1484844,1
1575070800,1484844,1
1575071400,1484844,1
1575072300,1484844,1
1575075300,1484844,1
1575079200,1495000,1
1575082800,1501650,1
1575084600,1505404,2
1575086700,1509159,1
1575115800,1498383,1
1575129600,1498393,2
1575130500,1498393,2
1575132300,1498393,1
1575132900,1498393,2
1575133200,1498393,1
1575133800,1499000,1
1575134400,1499000,1
1575140700,1508308,1
1575141300,1508308,1
1575141900,1508308,1
1575142200,1508308,1
1575148800,1508308,1
1575159300,1500004,1
1575160800,1500004,1
1575162900,1502772,3
1575166200,1502772,3
1575173700,1520000,1
1575186600,1496000,1
1575218700,1502157,2
1575219600,1502157,2
1575237300,1500339,3
1575237600,1500007,2
1575237900,1500339,3
1575238200,1500007,2
1575238500,1500339,3
1575238800,1500007,1
1575240600,1507841,1
1575248100,1512289,3
1575249000,1512289,3
1575250200,1514431,2
1575250500,1515023,1
1575252000,1542997,3
1575252900,1542997,3
1575261000,1513677,3
1575263100,1516508,1
1575263400,1515516,2
1575264000,1516508,1
1575264300,1515516,2
1575264600,1520004,1
1575281100,1498000,1
1575290100,1595443,1
1575290700,1595443,1
1575291000,1595443,1
1575291600,1595443,1
1575294000,1595443,1
1575321000,1529000,1
1575325800,1529661,1
1575331200,1537000,1
1575336900,1542430,2
1575351600,1529000,1
1575360900,1530917,1
1575366000,1530750,32
1575369900,1501000,1
1575390000,1462906,1
1575395400,1513136,8
1575399000,1521645,2
1575400800,1522588,1
1575411900,1513988,2
1575414000,1514972,1
1575414600,1513988,2
1575414900,1514972,1
1575415200,1513988,2
1575420900,1502888,1
1575422700,1502888,1
1575426600,1505108,2
1575435900,1510590,2
1575459300,1503000,2
1575461400,1503000,2
1575470400,1524080,7
1575477600,1510517,1
1575493800,1519157,6
1575495000,1519157,6
1575496200,1504006,1
1575496800,1504503,2
1575497400,1504006,1
1575499500,1514999,6
1575500100,1514999,7
1575500400,1514999,6
1575500700,1514999,7
1575501000,1514999,7
1575501300,1514999,7
1575501900,1514999,7
1575503400,1514999,1
1575507600,1515247,4
1575509100,1515247,4
1575509400,1515247,4
1575510000,1515247,4
1575510300,1512999,5
1575510600,1515247,4
1575511200,1512999,5
1575511800,1504005,1
1575518700,1501000,1
1575522000,1502109,3
1575526500,1500000,1
1575543000,1491000,1
1575555000,1491000,2
1575555300,1491000,2
1575555600,1491000,2
1575555900,1491000,2
1575556800,1495399,2
1575558600,1499799,1
1575559200,1474980,2
1575559500,1499799,1
1575559800,1474980,2
1575567300,1490000,1
1575567900,1482604,2
1575568500,1490000,1
1575568800,1482604,2
1575569100,1482604,2
1575569400,1482604,2
1575569700,1482604,2
1575570600,1475208,1
1575570900,1482604,2
1575571500,1475208,1
1575578400,1476000,1
1575578700,1476005,2
1575579300,1476000,1
1575579600,1486333,3
1575579900,1476005,2
1575580200,1486333,3
1575581700,1486069,3
1575582600,1491099,2
1575582900,1486069,3
1575583500,1491099,2
1575593100,1475670,1
1575598200,1469067,5
1575601500,1498000,1
1575602100,1472057,5
1575610200,1433144,1
1575635400,1355002,1
1575637200,1392501,2
1575637500,1355002,1
1575638400,1392501,2
1575639300,1430000,1
1575639600,1392501,2
1575639900,1430000,1
1575646500,1413900,1
1575657600,1435065,2
1575658200,1435065,2
1575659400,1452815,3
1575659700,1435065,2
1575660000,1452815,3
1575661800,1488315,1
1575665100,1445251,1
1575665700,1445251,1
1575670800,1450999,2
1575689700,1447904,1
1575707700,1445000,1
1575724500,1448875,1
1575727500,1448875,2
1575729300,1455191,3
1575729600,1448875,2
1575729900,1455191,3
1575731100,1458349,4
1575742500,1445000,1
1575746100,1449000,2
1575746700,1453000,1
1575747900,1454258,3
1575750000,1457516,2
1575751200,1456765,3
1575751500,1460523,1
1575753300,1458467,1
1575759000,1453000,1
1575771900,1453000,1
1575777300,1455004,1
1575788100,1453000,1
1575795900,1450005,1
1575808800,1462750,2
1575814200,1464000,1
1575814800,1464000,1
1575816300,1464000,1
1575823800,1462808,1
1575825600,1475079,3
1575825900,1475079,3
1575826200,1475079,3
1575826500,1475079,3
1575826800,1475079,3
1575832500,1462800,1
1575833100,1462800,1
1575834000,1462800,1
1575834300,1462800,1
1575834900,1462800,1
1575858600,1454701,2
1575860100,1449336,3
1575860400,1456467,3
1575860700,1452002,2
1575861000,1449336,3
1575861300,1452002,2
1575861900,1452002,2
1575862200,1452002,2
1575862500,1452002,2
1575862800,1450446,2
1575863100,1452002,2
1575863700,1456888,1
1575895800,1445000,1
1575908100,1450000,1
1575909600,1479555,3
1575909900,1479555,3
1575910200,1479555,3
1575911100,1494333,2
1575920400,1446000,1
1575921000,1446000,2
1575922200,1458542,5
1575922500,1446000,3
1575922800,1458542,5
1575923100,1456952,8
1575924300,1458516,7
1575924900,1459342,5
1575925500,1458516,7
1575925800,1459342,5
1575926100,1454301,3
1575926400,1459342,5
1575926700,1454301,3
1575927000,1451226,4
1575927300,1454301,3
1575927600,1451226,4
1575928200,1453598,5
1575929700,1462622,8
1575930000,1456855,7
1575930300,1462622,8
1575930600,1462622,8
1575931500,1462622,8
1575934200,1446005,1
1575938400,1540249,1
1575952500,1448002,2
1575953700,1450977,3
1575955500,1456927,1
1575955800,1450977,3
1575956100,1456927,1
1575957900,1457551,1
1575959400,1457551,1
1575981600,1485547,2
1575984600,1485547,2
1575987600,1470667,2
1575988800,1467000,1
1575989100,1470667,2
1575990300,1471890,3
1575990600,1471890,3
1575990900,1473125,3
1575991500,1472520,2
1576001400,1474447,1
1576003500,1475523,2
1576003800,1475523,2
1576004700,1475523,2
1576010700,1475000,1
1576017000,1478858,1
1576018800,1478858,1
1576020000,1478452,2
1576020300,1478858,1
1576020600,1478452,2
1576022400,1470827,2
1576023300,1478452,2
1576023600,1470827,2
1576029000,1462002,1
1576037100,1467555,1
1576073700,1466758,2
1576089300,1466827,1
1576095600,1475886,1
1576098300,1517498,2
1576098900,1512441,2
1576099200,1517498,2
1576100100,1485999,1
1576100400,1517498,2
1576100700,1485999,1
1576102200,1525086,1
1576102500,1505542,2
1576102800,1525086,1
1576103400,1525086,1
1576104300,1525086,1
1576119000,1493999,1
