timestamp,avg,qty
1574973300,150,54
1574973600,141,8
1574974200,150,54
1574974800,150,55
1574975400,152,47
1574979000,112,7
1574979900,112,7
1574983500,124,8
1574985300,147,6
1574985600,144,4
1574986200,134,7
1574986500,147,6
1574987100,130,6
1574988000,128,5
1574988300,130,6
1574988900,128,5
1574989500,112,3
1574992800,145,3
1574994300,151,10
1574997900,148,10
1575003600,138,6
1575005100,138,6
1575007200,135,3
1575008700,136,20
1575014100,150,31
1575021600,142,4
1575025200,145,6
1575030600,148,2
1575034500,148,5
1575036000,144,4
1575036300,147,27
1575036600,144,4
1575037200,147,27
1575037500,144,4
1575038100,146,26
1575039600,146,30
1575039900,140,7
1575040200,146,30
1575040500,140,7
1575040800,146,30
1575041100,140,7
1575041400,146,30
1575041700,140,7
1575043500,140,36
1575045300,135,22
1575045600,139,40
1575045900,135,46
1575046500,135,22
1575046800,135,46
1575047700,135,33
1575049200,135,13
1575051000,138,21
1575052800,140,15
1575053100,140,14
1575053400,140,15
1575053700,140,14
1575054000,140,15
1575054600,140,14
1575055200,135,27
1575056700,135,31
1575058500,135,87
1575060600,135,84
1575062100,135,83
1575062700,150,3
1575066000,144,3
1575069900,151,18
1575081000,159,13
1575081600,159,12
1575081900,159,13
1575082500,159,12
1575082800,135,1
1575083700,135,1
1575084000,135,1
1575084600,148,5
1575086700,148,6
1575088500,136,10
1575092400,141,63
1575095700,119,8
1575099600,112,90
1575105900,131,25
1575108600,133,21
1575109800,133,2
1575113700,129,19
1575115800,112,1
1575120300,112,6
1575120900,112,7
1575122400,117,15
1575122700,116,9
1575123000,127,18
1575123600,117,15
1575123900,127,18
1575125100,133,13
1575126300,139,11
1575126900,123,9
1575127200,139,11
1575127800,123,9
1575128400,123,12
1575129600,123,10
1575129900,115,20
1575132300,118,14
1575137700,114,100
1575138000,112,303
1575138600,114,100
1575139500,127,14
1575141300,123,4
1575141900,129,5
1575142200,123,4
1575144600,112,80
1575146100,115,31
1575146400,112,80
1575146700,115,31
1575147900,114,33
1575150600,112,9
1575150900,112,8
1575151200,112,9
1575151800,147,64
1575153300,152,217
1575153600,152,56
1575153900,152,217
1575154200,152,217
1575155100,152,217
1575155700,148,189
1575156900,150,172
1575157200,148,189
1575157500,125,35
1575159300,142,46
1575159600,142,46
1575159900,142,46
1575160800,143,49
1575162900,149,12
1575163200,145,6
1575164100,149,12
1575164700,149,13
1575165000,150,17
1575165600,149,13
1575165900,149,20
1575166500,147,14
1575166800,149,20
1575167100,147,14
1575167400,149,20
1575167700,147,14
1575168300,145,10
1575168600,147,13
1575168900,145,10
1575171900,149,35
1575175200,145,68
1575175500,145,59
1575176100,145,50
1575176700,145,59
1575179400,145,10
1575183300,145,29
1575184800,145,21
1575196500,152,5
1575199500,154,4
1575199800,145,1
1575207000,145,59
1575208800,151,7
1575209400,130,9
1575209700,151,7
1575210000,130,9
1575210600,118,7
1575210900,130,9
1575211200,118,7
1575211800,150,84
1575212100,118,7
1575212400,150,84
1575213300,152,79
1575214500,154,77
1575214800,152,79
1575215100,147,37
1575216000,146,38
1575216600,147,37
1575216900,136,138
1575217200,146,38
1575217800,136,138
1575220500,153,36
1575248100,117,20
1575250200,114,21
1575252000,113,120
1575255600,113,509
1575259200,125,34
1575275400,112,1
1575279000,112,1
1575286200,147,5
1575288000,154,5
1575288300,154,5
1575288600,154,5
1575291900,147,26
1575292500,147,26
1575295500,162,1
1575296100,162,1
1575298800,137,2
1575299700,112,1
1575302100,132,15
1575303300,132,15
1575304500,112,7
1575307800,122,13
1575308100,125,10
1575308400,122,13
1575309000,125,10
1575309300,122,13
1575309600,146,16
1575311400,152,18
1575311700,151,13
1575312000,152,18
1575312300,152,18
1575312600,152,18
1575313200,154,117
1575314100,155,117
1575314400,154,117
1575315000,156,110
1575315300,155,117
1575315600,156,110
1575320400,159,8
1575320700,159,6
1575321000,159,7
1575322800,160,15
1575325800,159,239
1575326100,160,13
1575326400,159,239
1575327900,159,238
1575328200,145,4
1575328500,159,238
1575329100,145,4
1575329400,150,21
1575329700,145,4
1575330000,150,21
1575331200,153,100
1575331800,153,88
1575332100,153,100
1575332400,153,88
1575333300,153,82
1575334800,162,1
1575336900,116,14
1575340500,153,13
1575344100,123,31
1575344400,127,54
1575344700,123,31
1575345300,127,54
1575350100,145,11
1575351600,115,3
1575352200,115,3
1575352800,115,3
1575354600,114,5
1575357300,126,5
1575357900,126,5
1575358200,126,5
1575369900,152,21
1575377100,135,2
1575379200,148,101
1575379500,147,93
1575379800,148,101
1575380400,147,93
1575380700,148,101
1575381000,151,181
1575386400,130,10
1575388200,120,6
1575390000,157,23
1575397500,131,10
1575399000,131,8
1575400800,149,1
1575408000,129,2
1575410400,120,8
1575411900,117,8
1575414000,142,15
1575415500,145,13
1575417600,140,11
1575419400,141,9
1575420900,150,4
1575424800,148,6
1575430800,160,50
1575431100,160,50
1575431700,120,3
1575457800,120,6
1575461400,153,7
1575462900,141,26
1575463200,153,7
1575463500,138,21
1575464700,125,70
1575465300,126,106
1575465600,125,70
1575466200,126,106
1575467100,136,127
1575467400,133,113
1575467700,136,127
1575468000,133,113
1575468300,162,65
1575474600,116,54
1575477900,119,19
1575478500,119,20
1575478800,119,19
1575479700,115,17
1575480300,115,17
1575480900,115,17
1575484500,129,1
1575485400,124,2
1575485700,129,1
1575486300,124,2
1575486600,120,10
1575486900,124,2
1575487200,120,10
1575489900,132,18
1575493800,126,422
1575499500,156,17
1575500100,143,9
1575500400,156,17
1575500700,143,9
1575501000,125,15
1575501300,143,9
1575501900,125,15
1575503400,127,16
1575507000,121,2
1575511800,149,2
1575514800,121,102
1575515400,121,125
1575516900,121,126
1575520200,144,25
1575530100,156,2
1575532200,121,30
1575532800,121,30
1575535500,156,1
1575536100,156,1
1575536700,156,1
1575544800,121,26
1575546600,121,26
1575546900,121,26
1575547200,121,26
1575548700,142,8
1575549000,126,31
1575549300,131,23
1575551100,133,25
1575551400,127,20
1575552300,133,25
1575552600,137,13
1575555000,138,10
1575556200,128,13
1575563400,153,162
1575564000,152,98
1575564300,159,136
1575566700,159,134
1575567000,154,67
1575567300,163,67
1575569700,163,80
1575570000,163,79
1575570300,163,80
1575570600,154,17
1575570900,163,80
1575571500,154,17
1575571800,154,17
1575572700,133,4
1575573000,154,17
1575573300,133,4
1575576300,121,1
1575579600,149,56
1575579900,149,54
1575580200,149,56
1575584100,134,12
1575584400,136,12
1575585000,134,12
1575585900,159,19
1575588900,153,29
1575589500,139,12
1575591300,124,3
1575593100,123,6
1575593700,134,4
1575594000,123,6
1575594300,124,5
1575594900,124,5
1575595200,124,5
1575595500,124,5
1575595800,124,5
1575596100,124,5
1575596400,115,4
1575597000,128,2
1575598200,134,24
1575600000,135,23
1575601500,135,99
1575602100,135,22
1575602400,135,108
1575604800,131,134
1575605100,131,133
1575605400,131,134
1575605700,120,35
1575606300,116,31
1575606900,120,35
1575607200,120,13
1575607800,119,14
1575608100,120,13
1575608400,119,14
1575608700,120,13
1575609000,119,14
1575609300,121,11
1575609600,119,14
1575609900,121,11
1575625200,135,40
1575625500,135,40
1575625800,135,40
1575626400,135,40
1575627300,139,6
1575627600,135,39
1575628200,139,6
1575628500,149,1
1575628800,139,6
1575629100,149,1
1575629400,137,6
1575629700,149,1
1575630000,137,6
1575632700,153,3
1575633900,153,3
1575634200,153,3
1575634500,153,3
1575636300,155,13
1575636600,156,12
1575636900,155,13
1575637200,155,13
1575637500,155,13
1575638400,155,13
1575639300,137,16
1575639600,153,12
1575639900,137,16
1575644100,136,9
1575644400,139,5
1575644700,136,9
1575645000,135,8
1575645600,135,8
1575647400,151,348
1575648000,148,206
1575648300,151,348
1575648600,151,348
1575648900,151,348
1575649200,148,378
1575650100,148,183
1575650400,148,378
1575650700,148,183
1575651300,127,50
1575651600,148,183
1575651900,137,93
1575655800,122,15
1575656100,141,57
1575656400,125,15
1575657600,126,16
1575657900,125,15
1575658200,126,16
1575658500,130,13
1575658800,126,16
1575659400,133,3
1575659700,130,13
1575660000,133,3
1575664500,139,15
1575664800,125,35
1575665100,139,15
1575666300,139,15
1575666900,130,9
1575667500,130,9
1575669300,122,24
1575669600,121,23
1575670200,122,24
1575675900,138,78
1575678000,137,18
1575680100,149,26
1575681900,149,15
1575685800,156,7
1575687600,134,18
1575688200,132,16
1575688500,134,18
1575688800,132,16
1575689100,141,29
1575691200,155,21
1575691500,153,20
1575692700,164,8
1575693300,164,8
1575693900,164,8
1575694200,164,8
1575696300,151,11
1575700200,125,41
1575704400,115,27
1575707700,146,10
1575709500,148,13
1575711000,155,4
1575711600,147,5
1575712200,155,4
1575712500,147,5
1575713100,115,1
1575713400,121,2
1575713700,115,1
1575714000,121,2
1575715200,119,3
1575722100,153,35
1575722400,120,5
1575723000,153,35
1575723600,120,5
1575724500,127,10
1575725700,127,8
1575726300,145,21
1575726600,127,8
1575726900,145,21
1575727200,127,8
1575727500,154,72
1575729300,154,73
1575729600,154,72
1575729900,154,61
1575731100,146,6
1575732900,161,5
1575733500,163,4
1575733800,161,5
1575735000,131,9
1575737100,116,29
1575742500,119,202
1575744300,118,2
1575746100,135,12
1575747900,135,12
1575748200,139,13
1575749100,135,12
1575749400,139,13
1575750000,121,13
1575753300,115,6
1575761100,131,36
1575762900,139,30
1575766500,115,71
1575768300,147,12
1575770100,140,16
1575771900,127,6
1575773700,148,154
1575774300,149,171
1575774900,148,154
1575775200,149,171
1575777300,157,18
1575777600,149,172
1575777900,157,18
1575778500,146,40
1575778800,157,18
1575779100,146,40
1575781800,112,58
1575782100,126,96
1575782400,112,58
1575785100,119,6
1575793800,148,1
1575797700,117,54
1575803100,117,4
1575807300,112,164
1575808800,112,163
1575810300,112,164
1575810600,141,2
1575812400,130,2
1575819900,152,13
1575822000,148,9
1575827700,120,10
1575830700,112,103
1575831000,112,111
1575831300,112,103
1575836400,112,3
1575838200,112,9
1575840000,112,7
1575842100,112,1
1575855000,134,2
1575860100,119,15
1575867600,120,5
1575867900,120,5
1575868200,120,5
1575868800,120,5
1575869100,120,5
1575869400,120,5
1575872400,142,16
1575872700,138,19
1575873000,142,16
1575880500,121,4
1575881100,121,4
1575881400,121,4
1575882000,121,4
1575884100,113,5
1575884400,117,8
1575884700,117,6
1575885600,113,5
1575885900,117,6
1575894000,146,40
1575895800,144,35
1575896100,144,35
1575896400,144,35
1575896700,144,35
1575897000,144,35
1575897600,113,9
1575900300,113,8
1575909000,137,61
1575909600,137,60
1575909900,137,61
1575910200,135,42
1575911100,135,43
1575912900,135,5
1575913200,135,5
1575913500,135,5
1575915000,141,1
1575917400,141,1
1575918900,135,18
1575921000,135,45
1575921300,135,45
1575921600,135,45
1575922500,135,45
1575922800,138,38
1575924900,148,17
1575925500,148,16
1575925800,148,17
1575927000,137,3
1575927300,148,17
1575927600,137,3
1575932100,135,240
1575932400,135,242
1575932700,135,240
1575933300,135,242
1575934200,139,54
1575934500,137,49
1575934800,139,54
1575935400,150,16
1575939000,139,45
1575939300,139,43
1575939600,139,45
1575942900,137,68
1575943200,140,81
1575943800,137,68
1575944700,140,81
1575945000,139,82
1575946500,142,8
1575948300,135,4
1575948600,135,2
1575948900,135,4
1575949200,135,2
1575949800,135,4
1575950100,135,2
1575952500,135,1
1575952800,135,1
1575953400,135,1
1575953700,135,2
1575954300,135,2
1575954600,135,2
1575955200,135,2
1575955500,135,50
1575955800,135,2
1575956100,135,50
1575961200,145,81
1575971100,140,6
1575976500,135,32
1575978300,135,7
1575978600,135,37
1575978900,135,7
1575979200,135,37
1575979500,135,7
1575979800,135,6
1575980100,135,6
1575980700,135,6
1575981000,135,6
1575981300,135,6
1575981600,145,11
1575981900,145,11
1575982800,145,11
1575983700,141,17
1575989700,143,25
1575990900,149,14
1575993000,145,6
1575994500,145,6
1575994800,145,6
1575995100,150,4
1575996300,135,2
1575996600,150,4
1575996900,135,99
1575998100,135,99
1575999900,135,105
1576000500,135,104
1576000800,135,105
1576001400,145,7
1576001700,145,7
1576002000,145,7
1576002900,145,7
1576004400,141,2
1576008000,138,16
1576008300,140,15
1576008900,117,5
1576010700,137,48
1576011000,136,53
1576011300,137,48
1576014600,158,21
1576020000,138,33
1576020300,139,45
1576020600,137,35
1576021200,138,33
1576021800,137,35
1576022400,146,34
1576023300,115,13
1576023600,146,34
1576024500,145,38
1576024800,144,40
1576025400,145,38
1576026000,144,53
1576026600,139,21
1576027200,149,32
1576028400,149,32
1576030500,155,25
1576030800,148,13
1576031100,155,25
1576033500,144,40
1576042500,112,350
1576044300,112,351
1576046100,112,1
1576048200,148,2
1576050900,139,3
1576051200,148,2
1576051500,139,3
1576051800,113,29
1576052100,139,3
1576052400,113,29
1576052700,113,31
1576053000,113,29
1576053300,113,31
1576054500,112,30
1576057200,112,3
1576059900,112,2
1576063500,161,39
1576064100,161,33
1576064700,161,39
1576067400,163,2
1576083900,129,30
1576084500,126,28
1576084800,129,30
1576085700,149,77
1576086300,149,76
1576086600,149,77
1576088700,139,43
1576089300,139,42
1576089900,139,43
1576090200,139,42
1576090500,133,46
1576090800,139,42
1576091100,133,46
1576092000,76,4
1576093200,131,8
1576095900,134,9
1576096500,151,13
1576097100,134,9
1576097400,151,13
1576097700,151,13
1576098000,151,13
1576098300,150,24
1576099800,143,24
1576101000,151,123
1576101600,138,15
1576101900,151,123
1576102200,150,155
1576102500,151,123
1576102800,151,152
1576103700,151,140
1576104300,151,152
1576104600,147,25
1576104900,151,140
1576105200,147,25
1576105500,144,2
1576106400,134,91
1576107000,144,2
1576107300,134,91
1576108200,121,143
1576109100,114,205
1576109700,121,143
1576110000,114,205
1576110600,100,120
1576111200,104,73
1576113900,134,13
1576114800,139,40
1576117500,129,47
1576118100,138,38
1576118400,100,14
1576120800,128,21
1576124700,119,76
1576126500,101,16
1576131900,117,4
1576133700,123,3
1576135500,141,11
1576136100,134,2
1576136400,141,11
1576137600,137,11
1576141500,122,4
1576144500,110,1
1576146300,120,3
1576146600,110,2
1576146900,120,3
1576148700,133,3
1576150800,157,4
1576151100,148,3
1576151400,157,4
1576152000,160,3
1576156800,127,25
1576158000,132,27
1576160400,154,19
1576163100,131,5
1576164300,132,4
1576165200,131,6
1576166700,131,6
1576167000,128,2
1576167300,131,6
1576167600,128,2
1576171200,118,6
1576171800,118,6
1576174500,110,33
1576174800,110,26
1576175100,110,33
1576176000,115,18
1576176900,132,20
1576177500,115,18
1576177800,132,20
1576178700,131,26
