timestamp,avg,qty
1574973000,249,7
1574974800,240,3
1574992800,250,122
1574994300,249,123
1575000000,246,3
1575001500,250,2
1575005100,255,1
1575008700,255,5
1575042000,250,1
1575042900,250,1
1575043800,250,1
1575044100,250,1
1575044400,250,1
1575045000,250,1
1575045600,250,1
1575060600,252,2
1575062400,251,3
1575062700,250,1
1575063300,251,3
1575063600,250,1
1575064200,253,4
1575068100,250,1
1575069900,250,1
1575071700,250,23
1575082800,250,1
1575083700,251,2
1575084000,250,1
1575084600,250,16
1575088500,250,2
1575129900,250,2
1575130500,250,4
1575132300,250,4
1575132900,250,4
1575133200,250,4
1575133800,250,2
1575146100,250,6
1575146400,250,5
1575146700,250,1
1575147900,253,25
1575155700,250,11
1575156000,250,11
1575156300,250,11
1575157200,250,11
1575159300,262,1
1575160800,261,3
1575162900,261,2
1575168300,262,1
1575170100,262,1
1575170400,262,1
1575171600,262,1
1575172800,262,1
1575173700,250,1
1575183000,262,1
1575200100,444,1
1575204000,276,26
1575204300,276,26
1575204900,276,26
1575224400,250,1
1575224700,250,1
1575225000,250,1
1575225900,10000,1
1575228000,10000,1
1575228300,10000,1
1575228600,10000,1
1575230100,786,5
1575232200,707,29
1575233400,691,24
1575238800,565,41
1575239400,565,41
1575240600,565,41
1575242100,565,41
1575244800,289,1
1575246300,350,4
1575248100,371,3
1575315000,323,1
1575315300,323,1
1575315600,323,1
1575319200,323,1
1575325800,276,1
1575326400,289,11
1575346200,276,20
1575346800,276,20
1575347100,276,20
1575347400,276,20
1575358800,300,13
1575381900,390,1
1575382800,335,20
1575384000,335,20
1575399000,323,5
1575406200,332,12
1575406500,332,12
1575406800,332,12
1575407100,332,12
1575407700,332,12
1575408000,332,1
1575410400,332,5
1575411900,332,6
1575414000,332,25
1575415500,332,24
1575416100,332,24
1575416700,332,24
1575417300,332,24
1575417600,332,2
1575418200,332,2
1575418500,332,2
1575418800,332,2
1575419100,332,2
1575419400,332,4
1575420300,332,2
1575420900,332,2
1575444600,332,10
1575455700,390,12
1575457800,390,9
1575490800,332,5
1575513000,292,5
1575513600,292,5
1575559200,300,7
1575559500,300,41
1575559800,300,7
1575560700,300,7
1575563400,408,7
1575564000,354,14
1575564300,408,7
1575564600,408,7
1575564900,408,7
1575566100,300,4
1575566700,427,6
1575567000,300,4
1575574200,303,36
1575576000,303,20
1575576600,303,20
1575580800,318,1
1575581700,318,1
1575612600,303,1
1575621900,303,21
1575623700,303,21
1575705900,303,2
1575707700,304,3
1575708000,304,3
1575708900,304,3
1575709500,308,1
1575715200,303,1
1575715500,303,1
1575716400,303,1
1575737100,303,2
1575738600,303,8
1575738900,303,8
1575739500,303,8
1575739800,303,8
1575740400,303,6
1575772200,308,1
1575772800,308,5
1575773400,308,1
1575812400,323,8
1575814500,323,8
1575823800,317,1
1575845700,276,4
1575851400,276,5
1575852000,276,5
1575852300,276,5
1575852600,276,5
1575852900,276,5
1575853200,280,6
1575853500,280,6
1575853800,280,6
1575855000,289,2
1575855300,289,2
1575855600,289,2
1575856200,289,2
1575856500,276,1
1575858600,302,1
1575860100,302,1
1575860400,302,1
1575860700,302,1
1575861900,287,5
1575862200,302,1
1575862500,287,5
1575863700,285,6
1575867600,276,1
1575869700,276,1
1575886500,309,9
1575888000,309,9
1575889500,309,2
1575890100,276,1
1575890700,309,2
1575891300,276,1
1575891600,276,1
1575891900,276,1
1575892200,276,1
1575895800,278,8
1575896100,278,4
1575896400,278,8
1575896700,278,4
1575897000,278,12
1575900300,287,8
1575900900,290,8
1575901200,287,8
1575901500,290,8
1575902100,297,13
1575902400,290,8
1575902700,299,15
1575903000,297,13
1575903300,299,15
1575904500,305,9
1575911100,276,14
1575912000,276,15
1575912300,276,14
1575912900,276,3
1575915000,276,3
1575915600,276,3
1575915900,276,3
1575916800,276,3
1575921000,294,4
1575921300,294,4
1575921600,294,4
1575922200,294,4
1575922500,294,4
1575922800,294,4
1575924900,294,5
1575925500,294,5
1575925800,294,5
1575926100,294,5
1575926400,294,5
1575926700,294,5
1575932400,280,1
1575933300,280,1
1575933900,280,2
1575934200,280,2
1575934500,280,2
1575934800,280,2
1575935400,280,2
1575943200,250,1
1575944400,250,1
1575944700,250,1
1575945000,250,1
1575945300,250,1
1575945600,250,1
1575946500,325,4
1575947400,325,4
1575947700,325,4
1575948000,325,4
1575948300,325,4
1575950700,250,2
1575951600,250,2
1575952500,250,2
1575952800,250,2
1575953400,250,2
1575953700,304,3
1575955500,304,3
1575955800,304,3
1575956100,304,3
1575956400,304,3
1575957000,304,3
1575957600,237,1
1575961200,309,1
1575963300,309,1
1575972900,280,1
1575985800,304,3
1575987300,306,10
1575987600,306,13
1575988800,306,10
1575989100,306,13
1575989700,309,12
1575990300,309,8
1575990600,309,12
1575990900,309,12
1575991500,309,9
1575996300,308,3
1575996600,300,9
1575996900,308,11
1575998100,302,22
1575999900,301,19
1576000500,302,22
1576000800,301,19
1576001400,294,9
1576002000,294,9
1576007100,306,6
1576008000,306,6
1576008900,306,6
1576010100,306,6
1576010400,306,6
1576010700,309,1
1576011000,306,6
1576011300,309,1
1576011600,309,1
1576012500,309,1
1576013100,309,1
1576013400,309,1
1576013700,309,1
1576018800,285,20
1576020000,285,20
1576020300,285,20
1576020600,283,18
1576033500,281,1
1576035300,302,2
1576072800,309,7
1576073100,309,7
1576073700,309,7
1576074000,309,7
1576074600,309,7
1576075800,309,13
1576076100,309,13
1576076400,309,13
1576083600,309,4
1576097700,280,372
1576098300,280,372
1576101000,311,8
1576101600,280,375
1576101900,311,8
1576133700,326,6
1576134600,326,16
1576134900,326,6
1576136100,326,16
1576136400,323,21
1576137300,323,20
1576138800,311,8
1576156800,311,1
1576157400,311,1
1576158000,311,1
1576163100,311,68
1576164300,311,95
1576168800,322,26
1576176000,322,6
1576176900,316,12
1576177500,322,6
1576177800,316,12
1576180200,311,6
1576180800,311,6
1576183500,315,2
1576184100,315,2
1576184700,315,7
1576188300,315,1
1576190400,311,2
1576191600,311,2
1576191900,311,2
1576192200,311,2
1576192500,311,2
1576193700,311,2
1576199700,315,2
1576222500,280,1
1576222800,280,1
1576223100,280,1
1576225500,281,26
1576226100,281,26
1576227900,281,26
1576254000,400,14
1576255200,332,1
1576255500,332,1
1576255800,332,1
1576256100,332,1
1576256400,332,1
1576256700,332,1
1576257900,332,1
1576269300,298,6
1576270500,302,5
1576271100,298,6
1576271400,302,5
1576272000,302,5
1576273500,332,1
1576273800,332,1
1576274400,332,1
1576274700,332,1
1576275600,332,1
1576275900,332,1
1576276800,332,1
1576331400,317,3
1576333200,317,3
1576335300,317,10
1576336800,317,20
1576339200,282,477
1576340400,281,464
1576342200,280,1
1576347900,317,55
1576349700,317,55
1576351500,310,2
1576353300,283,19
