timestamp,avg,qty
1575042000,4850,1
1575099600,1531,1
1575133800,4850,1
1575198000,4000,1
1575235800,2506,7
1575237300,2257,6
1575248100,1531,1
1575262800,4000,1
1575414000,3000,1
1575419400,583,1
1575446700,1,123
1575499500,899,1
1575505500,3000,1
1575509100,899,1
1575513600,353,1
1575519600,500,1
1575538200,950,1
1575691200,570,1
1575909600,542,1
1575918900,561,100
1575923100,570,1
1576010700,542,1
1576033500,600,1
1576092000,542,1
1576182300,455,1
1576222500,2,1
1576227600,455,1
1576289700,200,1
1576299300,552,120
1576302900,585,1
1576364400,850,2
1576408200,1,404
1576415400,850,6
1576528200,556,1
1576542900,850,1
1576562700,478,1
1576573500,850,1
1576629900,1,1
1576631700,833,51
1576633800,850,50
1576634100,833,51
1576634400,850,50
1576785600,583,1
1576793100,431,1
1576794600,1145,2
1576796400,1860,2
1576835100,410,1
1576878600,1459,1
1576889400,500,1
1576898700,583,1
1576907700,1860,1
1576947900,4000,1
1577023200,850,1
1577030100,583,1
1577088300,850,1
1577143500,1,15
1577200500,549,1
1577251500,456,2
1577262300,505,1
1577286300,850,100
1577357400,587,1
1577382600,531,1
1577397000,542,100
1577445000,587,1
1577487000,850,1
1577488500,704,2
1577491500,558,1
1577565000,850,1
1577598900,587,1
1577670300,850,4
1577700000,560,1
1577735700,850,400
1577760600,691,2
1577762400,532,1
1577768100,850,1
1577915700,589,1
1577921100,850,1
1577941200,560,1
1577973000,1000,3
1577982300,3400,5
1577982600,3500,6
1577982900,3400,5
1577983200,3500,6
1577983800,4000,5
1578012000,18994,1
1578084600,481,1
1578110400,50000,1
1578126900,929,11
1578156300,601,3
1578192600,543,2
1578212700,571,2
1578231300,516,1
1578440400,500,5
1578466500,750,1
1578550800,1500,1
1578582300,17999,1
1578591900,1500,1
1578603000,10000,1
1578659700,1800,1
1578730200,610,1
1578783900,850,1
1578787800,552,1
1578793200,850,1
1578813600,581,1
1578855000,525,1
1578860700,452,1
1578866100,581,14
1578868200,799,74
1578870000,850,60
1578871800,475,1
1578877200,850,1
1578880800,581,1
1578884700,560,4
1578909000,500,1
1578954600,571,1
1578986100,516,1
1578987900,529,2
1578989700,543,1
1578999000,601,1
1579021800,571,1
1579034400,850,100
1579105200,500,1
1579203900,491,1
1579212900,1,10
1579248000,500,200
1579367100,571,1
1579391100,601,1
1579458000,850,1
1579631100,552,1
1579641900,850,1
1579777500,5829,1
1579784700,9899,1
1579803300,18996,1
1579812300,1000,1
1579823100,850,1
1579900500,593,1
1580003100,850,2
1580084100,622,1
1580093400,850,2
1580132100,378,92
1580148300,850,2
1580199600,593,1
1580242800,18996,1
1580289600,9997,1
1580316600,5000,1
1580325600,515,1
1580347200,850,10
1580359800,599,1
1580367000,515,200
1580421300,361,1
1580433900,490,4
1580490000,515,1
1580515500,850,1
1580587200,849,1
1580621700,850,1
1580700000,5000,1
1580711100,1,1
1580724000,13000,1
1580746500,3000,3
1580772000,2000,5
1580781000,759,90
1580795700,441,1
1580838300,300,1
1580872800,1999,1
1580894700,1256,2
1580896500,513,1
1580901900,1999,2
1580923500,488,1
1580928900,464,1
1580968800,2000,1
1580974500,254,1
1581003900,2000,1
1581096300,1,458
1581134400,1980,1
1581179100,540,1
1581186600,2000,1
1581215700,559,1
1581228300,588,1
1581305400,481,1
1581350100,588,1
1581443700,3000,1
1581452700,5000,2
1581525600,1,369
1581612900,600,70
1581618300,399,1
1581652800,591,1
1581669300,3000,1
1581689700,483,1
1581723300,3000,1
1581732900,483,1
1581763800,396,1
1581803400,1710,1
1581809100,591,1
1581882600,550,1
1581891300,500,1
1581914700,2000,1
1581935400,530,1
1581956100,1000,1
1581970800,562,1
1581978000,520,3
1581985200,562,50
1581990600,2000,1
1582022400,1000,2
1582023300,1,1
1582034400,800,1
1582078800,2000,1
1582113300,546,1
1582136100,470,1
1582147800,1,7
1582177200,540,1
1582263600,1000,1
1582298400,1,2
1582316700,2000,1
1582359300,574,163
1582390500,546,1
1582391700,1273,2
1582392000,546,1
1582392300,1273,2
1582393500,2000,1
1582393800,1273,2
1582394100,2000,1
1582396200,546,1
1582417500,574,1
1582439100,285,1
1582452300,573,100
1582524900,1000,1
1582536900,328,2
1582569600,468,1
1582593600,2500,1
1582635300,445,2
1582708800,1,1
1582718400,2500,1
1582770600,519,210
1582853400,1918,1
1582969500,2500,1
1583003100,957,5
1583048700,2500,1
1583101500,847,7
1583103300,572,6
1583105100,2500,1
1583135700,1548,1
1583165100,2500,1
1583179800,750,1
1583189100,163,4
1583205600,141,1
1583210400,562,1
1583249100,1380,1
1583260800,2000,1
1583342700,3500,2
1583347500,5000,1
1583358300,1027,1
1583387100,729,3
1583462400,604,1
1583516100,406,2
1583598600,347,2
1583600400,289,1
1583622300,521,1
1583657700,490,1
1583677500,521,100
1583685000,549,1
1583697300,538,1
1583708400,849,1
1583730300,538,1
1583781900,799,1
1583794500,849,1
1583876100,502,1
1583918700,538,400
1583938800,512,3
1583976900,5000,1
1584147900,2500,1
1584169800,555,1
1584193500,1750,2
1584197400,2500,1
1584244800,454,1
1584266700,522,188
1584277500,528,1
1584347400,477,1
1584414900,555,1
1584457200,539,1
1584469800,1131,1
1584480900,2500,1
1584534000,539,1
1584588600,2500,2
1584618000,488,2
1584638100,2500,1
1584642000,464,1
1584660000,685,1
1584676800,1250,1
1584705900,2500,1
1584742200,542,1
1584762600,421,1
1584780900,490,1
1584804900,515,1
1584830100,295,2
1584831900,246,3
1584834000,150,1
1584872400,156,1
1584899700,219,2
1584925200,50,10
1584929100,134,2
1584941700,490,2
1585017000,233,1
1585018800,383,2
1585020600,534,1
1585022700,318,2
1585026600,518,2
1585043100,542,1
1585074600,689,3
1585094400,50,238
1585098300,469,1
1585112700,493,1
1585116300,95,1
1585127100,689,5
1585143900,837,1
1585180500,1000,1
1585263600,1229,214
1585265400,1268,183
1585294800,850,1
1585410900,571,1
1585456200,800,1
1585469100,4000,1
1585474500,533,1
1585501800,850,1
1585530900,615,1
1585549200,1000,1
1585611900,3000,2
1585621200,4000,1
1585645200,559,1
1585667400,850,20
1585709400,541,1
1585751700,850,1
1585779000,541,1
1585793700,825,1
1585815600,540,1
1585826700,850,1
1585879500,541,1
1585892400,450,3
1585917000,514,1
1585938900,850,1
1585940700,682,2
1585949700,850,1
1586002800,466,9
1586026800,850,1
1586030100,738,6
1586031900,181,1
1586037300,515,1
1586051700,443,8
1586053500,442,9
1586066100,443,1
1586089800,515,1
1586115300,487,11
1586118900,515,1
1586153400,485,1
1586164200,461,1
1586188200,513,4
1586190000,519,5
1586191800,542,1
1586193600,510,1
1586268300,536,1
1586274000,800,1
1586275800,828,841
1586281200,525,1
1586303100,3000,1
1586358600,605,1
1586407500,484,1
1586409300,517,12
1586411100,520,11
1586425800,534,1
1586436600,605,1
1586445900,535,100
1586449500,605,1
1586465700,850,1
1586481900,559,1
1586491200,850,1
1586552100,826,2
1586555700,850,1
1586573700,571,1
1586606100,518,1
1586620500,850,1
1586622300,684,2
1586624100,518,1
1586655000,850,1
1586689800,5000,3
1586722500,4999,3
1586794200,1245,145
1586797800,1342,7
1586806800,4999,1
1586865000,4400,1
1586895900,3498,1
1586939400,2000,1
1586970300,1750,2
1586994000,2996,1
1587080400,2995,1
1587084000,2490,1
1587089400,1997,1
1587109500,789,1
1587167700,1990,1
1587178500,1500,1
1587211200,900,1
1587218400,620,1
1587233100,900,1
1587274800,1499,1
1587329100,1200,1
1587363600,997,1
1587387600,996,1
1587420300,635,1
1587449100,604,1
1587460200,700,1
