timestamp,avg,qty
1574976900,29,54
1574980200,30,30
1575056700,27,26
1575060600,28,24
1575062100,29,614
1575062400,30,610
1575079200,99,400
1575153300,53,30
1575153600,99,10
1575153900,43,50
1575154200,53,30
1575155100,43,50
1575155700,30,40
1575177300,99,10
1575208800,64,20
1575209100,76,30
1575209400,30,10
1575209700,64,20
1575210000,30,10
1575215100,29,10
1575218700,30,10
1575219300,29,10
1575219600,30,10
1575252000,31,109
1575255600,99,10
1575292500,32,5
1575358800,99,10
1575386400,35,7
1575388200,38,9
1575390000,50,2
1575415500,99,10
1575420900,62,20
1575423000,25,10
1575423600,62,20
1575424500,25,10
1575432300,99,10
1575437700,19,10
1575450000,18,55
1575452100,31,65
1575453600,66,20
1575461700,12,10
1575507600,18,10
1575544500,99,100
1575546300,80,130
1575548400,19,40
1575549300,26,10
1575549600,19,40
1575549900,26,10
1575555000,16,40
1575560700,30,20
1575566100,16,10
1575567300,17,30
1575569100,18,20
1575569400,17,30
1575569700,18,20
1575574200,16,10
1575584100,30,10
1575590700,18,100
1575596400,17,10
1575598800,30,10
1575623700,29,203
1575625500,20,17
1575625800,29,217
1575626400,20,17
1575654600,30,10
1575675900,17,10
1575687300,18,10
1575692700,19,10
1575702000,30,10
1575709500,24,30
1575713100,28,130
1575717000,30,10
1575725700,28,100
1575726300,26,110
1575726600,28,100
1575726900,26,110
1575727200,28,100
1575727500,26,110
1575729300,9,10
1575729600,26,110
1575730500,9,10
1575731100,19,10
1575757500,29,418
1575760800,24,20
1575761100,30,10
1575761400,24,20
1575761700,30,10
1575781200,16,10
1575789900,18,10
1575801300,15,10
1575808800,30,10
1575810900,28,30
1575811800,30,20
1575812100,28,30
1575812400,27,20
1575814200,24,10
1575814500,27,20
1575814800,24,10
1575816300,17,30
1575829500,15,10
1575831600,16,20
1575832500,17,10
1575842100,16,10
1575847200,14,10
1575851400,13,10
1575861900,17,10
1575893400,12,10
1575909600,25,10
1575918900,30,40
1575932400,13,10
1575941700,17,200
1575944400,16,10
1575944700,17,200
1575945000,16,10
1575948300,17,10
1575953700,30,100
1575972900,10,10
1575987600,29,295
1575990900,30,280
1575996300,13,10
1576002600,12,10
1576003500,28,305
1576003800,12,10
1576004400,29,405
1576004700,28,305
1576005000,29,405
1576007100,30,385
1576007400,29,395
1576008300,30,385
1576012500,14,20
1576016700,12,10
1576017000,15,10
1576020000,30,30
1576020300,15,10
1576020600,30,30
1576033500,35,315
1576044300,19,6
1576046100,20,16
1576047900,25,26
1576048200,31,14
1576050000,35,10
1576054200,33,9
1576056000,34,26
1576057200,35,17
1576072200,23,10
1576075800,35,10
1576076100,23,10
1576076400,35,10
1576078800,20,295
1576079100,19,285
1576079400,20,295
1576080000,19,295
1576094700,23,285
1576098300,18,10
1576102200,19,36
1576102500,18,10
1576102800,19,36
1576126500,18,10
1576135500,19,10
1576139100,18,10
1576139400,19,10
1576140000,18,10
1576164300,35,100
1576167000,32,120
1576167300,35,100
1576167600,32,120
1576168200,19,20
1576207200,10,10
1576209600,14,20
1576210800,16,20
1576211400,17,133
1576212000,16,20
1576212300,17,133
1576213500,21,133
1576215000,22,123
1576215600,80,10
1576215900,22,123
1576216200,80,10
1576218900,17,20
1576229700,18,20
1576251300,80,10
1576255500,57,20
1576260300,80,10
1576263300,47,20
1576263600,80,10
1576263900,47,20
1576264500,34,20
1576266600,58,9
1576266900,34,20
1576267200,58,9
1576281000,80,10
1576326000,13,20
1576340400,15,10
1576344300,14,30
1576347900,15,153
1576349700,19,212
1576351500,34,90
1576353300,23,218
1576355400,21,187
1576359000,43,10
1576369800,16,10
1576375500,31,10
1576377000,24,20
1576378800,18,10
1576382700,19,10
1576386000,16,30
1576386300,15,20
1576386600,16,30
1576386900,15,20
1576387500,16,30
1576399200,18,10
1576411800,19,10
1576443000,20,10
1576445100,21,10
1576445700,20,20
1576446300,21,10
1576446600,20,20
1576453800,80,10
1576461300,75,10
1576464600,80,9
1576472100,16,10
1576477200,80,100
1576497600,9,4
1576499400,12,8
1576501200,30,14
1576503000,36,10
1576504800,33,10
1576508700,13,10
1576537200,18,10
1576539000,34,20
1576541100,30,30
1576541700,36,20
1576542000,30,30
1576542300,36,20
1576542900,22,10
1576544700,99,20
1576550100,26,10
1576556100,19,119
1576562700,12,10
1576570800,16,10
1576573500,15,30
1576573800,16,20
1576574100,15,30
1576586400,18,10
