timestamp,avg,qty
1578840600,250,2
1579481700,50,1
1579483500,50,1
1579893300,150,1
1583178000,160,1
1583178300,160,2
1583178600,160,1
1583179500,160,2
1583180400,160,1
1583181000,160,2
1583181600,160,1
1584906900,249,182
1585375800,227,1
1585441800,226,1
1585489200,304,1
1585865100,245,6
1586412900,251,1
1586740500,227,1
1587960300,225,1
1588227900,202,2
1588886400,217,15
1589213700,233,48
1589215500,233,48
1589622000,205,100
1589660100,205,8
1590013800,205,1
1591066800,199,4
1591968600,150,40
1594047900,249,5
1595820300,191,1
1596148500,205,2
1596150300,352,5
1596152100,450,3
1596366900,243,1
1599420300,250,1
1599422100,250,1
1599501900,252,6
1599503700,252,6
1599504000,252,6
1599804300,195,3
1600506600,198,1
1601137200,195,173
1601139000,195,173
1601415600,223,2
1601561100,197,1
1601701800,241,200
1605613200,200,9
1605757200,200,1
1606096200,200,1
1610410800,311,1
