timestamp,avg,qty
1575055200,52,7
1575077100,75,1
1575223200,75,77
1575237600,40,5
1575525000,144,54
1575576300,136,9
1575847200,109,2
1575891600,43,2
1575935400,35,5
1575993000,35,4
1576035300,52,1
1576037100,52,1
1576044300,35,1
1576082100,74,1
1576083600,74,4
1576085400,74,4
1576100100,25,8
1576253700,14,3
1576255200,15,2
1576380600,8,1
1576453800,8,2
1576628700,10,1
1576705800,8,3
1576719300,8,1
1577320800,20,1
1577618700,15,33
1577806500,15,55
1577899200,23,1
1577943300,27,13
1577989800,99,6
1578000900,99,10
1578021300,99,2
1578077400,99,1
1578090000,99,1
1578156300,30,6
1578174000,98,135
1578181500,99,110
1578285900,30,3
1578327300,28,2
1578470100,30,46
1578537600,30,17
1578676500,30,5
1578873600,69,1
1579004700,30,76
1579160400,30,1
1579300200,30,5
1579358100,34,3
1579359900,36,4
1579361700,42,1
1579387500,64,76
1579389300,64,76
1579459800,30,6
1579461600,30,6
1579474500,450,1
1579476300,450,1
1579478100,27,2
1579536600,31,3
1579538400,31,5
1579540200,31,2
1579564200,1,5
1579756800,22,1
1579810500,28,11
1579826700,28,1
1579836000,547,25
1579839600,100,10
1579841400,62,22
1579843200,30,18
1579904400,24,1
1579915200,1000,1
1579917000,1000,1
1579918800,30,19
1579968300,610,3
1579970100,755,6
1579972200,900,6
1579999500,25,97
1580058900,500,1
1580091600,12,16
1580153700,32,8
1580171700,297,265
1580178000,266,2
1580179800,32,1
1580212200,500,1
1580214000,500,1
1580244600,26,11
1580374200,12,5
1580387100,12,2
1580390700,200,4
1580392500,200,1
1580394300,12,3
1580423100,27,1
1580426700,27,7
1580508000,36,10
1580680200,19,4
1580885700,100,2
1581202800,23,154
1581274800,52,50
1581391500,25,9
1581713100,31,1
1581714900,31,1
1581733800,62,20
1581879300,30,21
1582121100,22,2
1582165500,95,14
1582178400,31,2
1582300500,40,13
1582364100,40,2
1582366200,30,25
1582366500,30,25
1582366800,30,25
1582367700,30,25
1582368300,30,25
1582368600,30,25
1582406400,19,21
1582561500,31,2
1582757400,51,6
1583178300,30,10
1583179800,30,10
1583180400,30,10
1583181000,30,10
1583181600,30,10
1583256600,35,1
1583438700,48,2
1583553000,25,1
1583900700,35,5
1584079800,30,5
1584197400,48,1
1584305100,35,2
1584625500,31,1
1584885300,31,63
1584998400,31,4
1585000200,31,4
1585153200,32,1
1585155000,32,1
1585167600,12,1
1585169400,12,1
1585178700,22,11
1585205700,28,2
1585361100,28,2
1585418100,31,8
1585428900,28,4
1585441800,12,3
1585509000,12,4
1585516200,1,2
1585523400,10,1
1585619100,12,2
1585672800,12,13
1585742400,18,2
1585744500,11,10
1585790100,10,1
1585868700,5,10
1585872300,4,5
1586008200,24,11
1586062500,18,8
1586097300,39,33
1586117100,47,47
1586177100,200,4
1586337900,200,3
1586427600,100,4
1586637000,100,13
1586646000,32,115
1586738700,89,7
1586803200,60,7
1586812200,8,119
1586888700,36,17
1586892300,4,35
1586894100,4,24
1586952000,22,4
1586981100,22,2
1587003300,10,8
1587084000,4,1
1587254700,2,9
1587260100,2,7
1587341700,20,1
1587480300,22,3
1587590400,9,7
1587592500,9,7
1587770100,22,1
1587777300,12,3
1587855900,22,7
1587857700,22,7
1587870600,25,11
1587933000,17,3
1588027800,12,4
1588102500,24,7
1588120500,12,1
1588138800,22,6
1588224300,1,49
1588289700,18,2
1588300500,23,1
1588358700,6,1
1588368000,22,1
1588389600,25,4
1588426200,15,1
1588458900,9,2
1588528500,22,1
1588546500,6,11
1588632300,6,18
1588638000,6,11
1588707900,6,5
1588766400,24,1
1588819200,19,3
1589048100,106,1
1589053500,106,5
1589144700,90,6
1589146500,30,1
1589150100,106,1
1589151900,106,1
1589201100,100,3
1589342400,106,5
1589344200,106,5
1589574900,32,4
1589580300,66,13
1589750700,106,35
1590060900,20,7
1590090000,1,337
1590173400,2,28
1590184200,2,4
1590197100,15,1
1590372600,2,3
1590547500,1,10
1590613500,2,15
1590701100,30,1
1590879900,80,3
1591591800,27,2
1591899600,30,238
1591925100,32,4
1592001300,21,18
1592281500,26,1
1592283300,26,3
1592285100,27,4
1592774400,30,1
1593029400,32,19
1593381300,70,21
1593438000,65,15
1594033500,10,1
1594373700,25,1
1594389600,22,3
1594706700,24,1
1595459700,23,1
1595593200,2,22
1595861100,36,4
1595862900,36,4
1597037400,15,1
1597512300,20,3
1598238600,25,1
1598318700,2,25
1598546100,13,1
1598547900,13,1
1598582400,14,104
1598845500,32,3
1598900400,14,4
1599058200,32,9
1599157500,32,1
1599780900,12,1
1600041600,40,1
1600297200,15,9
1600821300,24,12
1602081900,30,1
1602095400,30,1
1602097200,34,7
1602284100,46,9
1602521700,17,1
1602572100,10,83
1603329900,2,1
1603662600,35,2
1603664400,35,1
1603986900,27,1
1604365500,11,1
1604435700,11,21
1604537400,2,1
1604985300,12,2
1605426900,2,1
1609624800,35,1
1610045700,19,1
1612462500,15,3
1612472100,17,1
