timestamp,avg,qty
1575043500,3250,2
1575055200,3844,2
1575068100,3000,1
1575069900,3000,1
1575071700,3015,6
1575075300,2000,2
1575153300,3399,6
1575153900,3471,7
1575154200,3399,6
1575155100,3471,7
1575155700,3471,7
1575156900,3454,2
1575157200,3471,7
1575157500,3357,2
1575184800,1955,10
1575234000,3675,24
1575234300,3612,16
1575235200,3675,24
1575237300,3800,14
1575290100,3000,1
1575315000,4000,2
1575315300,4000,2
1575315600,4000,2
1575315900,4000,2
1575329700,3444,1
1575331200,4083,4
1575333300,4083,4
1575333900,4083,4
1575338700,3590,6
1575373800,4000,1
1575395400,4000,8
1575415500,3462,3
1575417600,3444,2
1575418200,3444,2
1575418500,3444,2
1575418800,3444,2
1575419100,3444,2
1575579600,3443,3
1575598200,4000,1
1575601500,3444,3
1575602400,3444,4
1575625200,3443,1
1575627000,3443,1
1575750000,3444,1
1575781800,3445,1
1575816900,3347,2
1575819900,3250,1
1575820500,3250,1
1575821400,3250,1
1575838200,3446,1
1575953700,3566,4
1576001700,3445,1
1576002600,3445,1
1576002900,3445,1
1576003200,3445,1
1576003500,3445,1
1576003800,3445,1
1576004700,3445,1
1576005000,3445,1
1576005900,3445,1
1576035300,2000,2
1576067400,751,14
1576068300,692,24
1576068600,751,14
1576068900,692,24
1576069200,699,24
1576069500,692,24
1576070100,699,24
1576070700,584,31
1576071300,694,30
1576071600,584,31
1576072200,681,29
1576072500,584,31
1576072800,555,37
1576073100,681,29
1576073700,595,27
1576074000,555,37
1576074600,595,27
1576075500,545,23
1576075800,364,28
1576076100,545,23
1576076400,624,21
1576076700,364,28
1576077300,504,27
1576077900,624,21
1576078200,504,27
1576078800,731,31
1576079100,833,39
1576079400,731,31
1576080000,1028,44
1576081800,1249,51
1576082100,1390,53
1576082700,1249,51
1576083000,1390,53
1576085400,1609,50
1576085700,1428,49
1576086300,1609,50
1576086600,1428,49
1576086900,1314,47
1576087200,1428,49
1576087500,1314,47
1576088400,1069,41
1576088700,996,44
1576089300,1048,35
1576089900,996,44
1576090200,1048,35
1576090500,1036,45
1576090800,1048,35
1576091100,1036,45
1576092000,1282,44
1576093200,1345,40
1576094700,1455,30
1576095600,1371,35
1576095900,1444,31
1576096500,1379,32
1576097100,1444,31
1576097400,1379,32
1576097700,1426,33
1576098000,1379,32
1576098300,1327,40
1576098900,1426,33
1576099200,1327,40
1576099800,1489,43
1576100100,1654,55
1576100400,1489,43
1576100700,1654,55
1576101000,1502,66
1576101600,1654,55
1576101900,1502,66
1576102800,1414,65
1576103400,1567,58
1576103700,1448,67
1576104300,1414,65
1576104600,1489,66
1576104900,1448,67
1576105200,1489,66
1576108200,1368,53
1576109100,1657,56
1576110600,1680,61
1576111200,1633,58
1576112400,1564,44
1576112700,1528,52
1576114800,1623,43
1576115400,1582,45
1576115700,1623,43
1576116000,1582,45
1576116300,1623,43
1576116600,1582,45
1576117200,1525,40
1576117500,1467,49
1576118100,1525,40
1576118400,1478,46
1576119000,1469,45
1576119300,1478,46
1576119900,1469,45
1576120800,1296,25
1576122900,1484,24
1576124700,1732,20
1576126500,1557,14
1576128300,1553,13
1576130100,1907,17
1576131900,2007,29
1576133700,2054,22
1576134600,2158,18
1576134900,2054,22
1576135500,2203,14
1576136100,2158,18
1576136400,2203,14
1576137600,2297,10
1576138200,1995,10
1576138500,2297,10
1576138800,2504,4
1576144500,2589,4
1576145700,2357,8
1576147500,2357,17
1576147800,2383,10
1576148400,2357,17
1576148700,2323,19
1576149900,2330,21
1576150800,2270,23
1576151100,2330,21
1576151400,2270,23
1576151700,2068,18
1576156200,1954,46
1576158000,2182,28
1576159800,2388,35
1576161300,2177,42
1576163100,2174,38
1576165200,2131,36
1576168800,2084,33
1576171200,2174,47
1576171800,2167,45
1576172400,2234,31
1576172700,2167,45
