timestamp,avg,qty
1574979000,56,16
1574979600,55,44
1574979900,56,16
1574980800,55,19
1574981100,56,20
1574981700,55,19
1574992800,85,1
1575029100,54,196
1575038100,55,164
1575052800,97,375
1575056700,56,1
1575129900,125,5
1575136800,110,100
1575144600,56,23
1575155700,93,20
1575159300,56,1
1575249000,125,3
1575377100,56,20
1575384600,54,1833
1575400800,125,1
1575419400,56,2
1575430200,57,2
1575525000,4999,1
1575532800,52,1
1575555300,448,1
1575560700,302,3
1575589500,55,1
1575600000,59,1
1575655800,448,10
1575680100,57,1
1575705900,448,1
1575764700,269,1
1575823800,61,1
1575845700,58,10
1575849600,54,1598
1575904500,58,1
1575906600,57,2
1575908100,56,1
1575915000,55,128
1575928200,4999,1
1575932100,1000,8
1575965400,400,1
1575998100,306,3
1576059900,63,1
1576085700,41,1
1576086900,38,2
1576087200,41,1
1576087500,38,2
1576089300,36,1
1576089900,38,2
1576090200,36,1
1576114800,41,1
1576178700,39,225
1576180200,38,125
1576197900,29,1
1576257300,41,1
1576360800,10,1
1576375500,37,125
1576603200,41,1
1576794000,36,1
1576812900,1000,1
1576931400,4999,1
1576933200,627,71
1576935000,537,124
1576936800,501,54
1576945800,448,125
1576969800,1000,1
1577021400,43,1
1577076000,36,50
1577130900,47,1
1577173800,1000,1
1577395200,800,1
1577413500,490,1
1577472300,400,1
1577508300,800,3
1577556900,1000,27
1577568600,37,1
1577694900,35,1
1577701800,37,1
1577718300,34,3
1577766600,14,1
1577843100,36,11
1577845500,37,10
1577845800,36,11
1577846100,37,10
1577846400,36,11
1577846700,37,10
1577889900,30,1
1577932200,14,1
1577974800,23,3
1577986200,20,1
1577999100,8,1
1578006600,34,10
1578019500,26,1
1578032400,21,1
1578060900,37,1
1578079200,15,1
1578093900,35,1
1578110400,28,20
1578137700,31,1
1578151800,6,1
1578188700,29,1
1578194700,33,1
1578199800,35,11
1578200400,36,10
1578201000,35,11
1578201300,36,10
1578201600,35,11
1578201900,36,10
1578205800,33,2
1578229200,159,1
1578333300,4999,1
1578367800,250,1
1578373200,385,10
1578411000,1000,10
1578413100,938,11
1578414900,320,1
1578541200,4999,1
1578543900,1449,6
1578544500,4999,1
1578544800,740,5
1578545100,1449,6
1578545700,740,5
1578717000,4999,1
1578796800,84,2
1578798900,1055,3
1578800700,2999,1
1578809700,46,1
1578851400,30,1
1578857100,25,1
1578886500,46,2
1578961800,40,1
1579001100,46,125
1579067400,33,1
1579149300,46,1
1579318800,40,1
1579335600,45,50
1579350600,46,1
1579368900,42,1
1579387500,31,1
1579394700,46,1
1579450800,1000,1
1579511700,4999,1
1579547700,34,5
1579551300,40,28
1579573200,41,1
1579636500,40,1
1579723500,800,1
1579752900,90,10
1579756800,40,1
1579764000,1000,1
1579823100,111,1
1579836000,320,1
1579896900,42,6
1580040300,1000,1
1580053200,3495,1
1580078700,46,1
1580144700,48,40
1580237400,37,1
1580239200,45,32
1580242800,31,1
1580250000,48,10
1580338200,41,1
1580340000,44,2
1580341800,45,3
1580343600,44,3
1580345400,45,2
1580349000,47,1
1580352600,48,1
1580406900,1000,1
1580415900,2000,13
1580421300,1950,2
1580441100,1800,10
1580450100,1000,2
1580451900,547,21
1580453700,500,68
1580460900,1000,1
1580473500,999,2
1580488200,998,1
1580495400,500,14
1580548500,223,1
1580598000,600,1
1580618100,336,2
1580619900,73,1
1580643600,600,1
1580680200,500,1
1580802900,440,1
1580814300,500,1
1580834700,55,1
1580887500,500,1
1580925300,100,10
1581025500,54,1
1581031200,49,30
1581053100,52,1
1581072000,58,8
1581081300,57,72
1581083400,56,1
1581087000,58,60
1581088800,60,126
1581090600,63,66
1581105300,55,1
1581112500,400,1
1581123600,55,1
1581232200,450,1
1581289200,54,1
1581296400,55,1
1581310800,33,1
1581312600,39,2
1581314400,46,1
1581467100,38,1
1581472500,15,48
1581474300,20,58
1581476100,46,10
1581477900,15,1
1581509100,49,1
1581538200,40,3
1581561600,42,1
1581573300,46,1
1581673200,55,1
1581682200,31,1
1581691500,46,37
1581695100,24,1
1581709500,40,1
1581718500,41,1
1581772200,47,1
1581777900,52,3
1581779700,53,4
1581780000,55,3
1581780900,53,4
1581781200,55,3
1581785400,47,4
1581837900,4999,1
1581875700,100,20
1581880500,4999,1
1581926400,1000,1
1581948600,613,30
1581950400,600,29
1581954000,900,1
1582011000,449,10
1582061700,1000,5
1582135800,1043,93
1582137900,1000,92
1582138200,1043,93
1582138800,1000,92
1582167900,600,1
1582193100,450,10
1582233900,46,4
1582293900,500,1
1582343400,300,1
1582377600,500,10
1582391700,485,3
1582403100,500,2
1582465500,56,1
1582503900,4999,1
1582517700,1500,1
1582600500,500,1
1582667100,115,10
1582676400,506,62
1582678200,577,63
1582680000,4999,1
1582738800,1000,10
1582749900,227,1
1582760400,65,13
1582826700,1000,1
1582855200,4999,1
1582972200,69,10
1582989900,30,1
1583019600,69,1
1583025000,70,101
1583028600,64,2
1583030400,66,3
1583032200,67,2
1583035800,63,1
1583037600,69,31
1583041200,66,63
1583043000,67,71
1583045100,69,8
1583081400,3000,10
1583105100,957,1
1583135700,69,375
1583238600,974,1
1583249100,106,4
1583271300,302,1
1583328600,106,1
1583429400,1000,1
1583517900,999,5
1583530500,580,1
1583662800,145,1
1583708400,81,1
1583719200,950,1
1583801700,77,1
1583858100,900,2
1583895000,77,1
1583909400,85,1
1584102000,850,1
1584206400,1900,1
1584215700,500,1
1584217500,296,2
1584275700,500,1
1584306900,71,1
1584309000,76,2
1584334500,65,1
1584343800,85,1
1584358800,87,5
1584377100,83,2
1584427500,79,1
1584473400,250,1
1584480900,64,1
1584493500,70,1
1584552300,78,1
1584566700,74,2
1584585000,82,1
1584586800,496,121
1584588600,500,120
1584590400,75,1
1584634500,65,1
1584638100,66,1
1584738600,500,3
1584764400,77,10
1584775200,76,42
1584804900,81,1
1584812100,97,125
1584843000,72,1
1584919800,500,1
1584930900,77,1
1584943500,322,2
1584961800,500,1
1585030200,60,1
1585032000,68,6
1585034100,69,5
1585071000,500,1
1585072800,468,13
1585074600,465,12
1585083600,80,10
1585090800,500,5
1585103700,200,1
1585138200,482,50
1585145700,500,1
1585176900,1486,1
1585178700,884,2
1585180500,282,1
1585260000,55,42
1585267200,250,1
1585290900,994,1
1585335300,66,1
1585346400,90,1
1585364700,994,1
1585405200,86,1
1585443600,83,1
1585459800,994,5
1585510800,120,1
1585532700,62,1
1585536300,120,1
1585593600,83,1
1585613700,78,100
1585689300,56,1
1585742400,500,1
1585757100,61,1
1585766400,48,1
1585770000,67,1
1585791900,70,1
1585797300,500,1
1585841400,299,1
1585859400,500,1
1586111700,400,1
1586122500,105,1
1586135400,400,1
1586160600,500,2
1586193600,400,1
1586208300,500,1
1586211900,470,1
1586224500,465,100
1586261100,317,2
1586301300,97,1
1586322000,98,5
1586330700,250,1
1586334300,111,10
1586362200,100,1
1586400300,250,1
1586458500,95,1
1586483700,169,6
1586494500,250,1
1586502900,93,1
1586504700,97,2
1586506500,102,1
1586508300,250,10
1586570100,120,1
1586589900,918,1
1586613300,400,1
1586651400,110,10
1586669700,1000,1
1586733300,103,1
1586763300,98,1
1586792400,102,32
1586808600,999,1
1586877900,96,1
1586959200,250,1
1587078600,90,11
1587098400,200,1
1587102300,147,2
1587104100,95,1
1587131400,250,1
1587151200,95,1
1587182100,500,1
1587224100,224,1
1587243900,99,10
1587251100,83,1
1587298500,129,20
1587341700,95,1
1587356400,178,12
1587394800,500,1
1587443700,155,1
1587445500,165,2
1587447300,175,1
1587473100,488,22
1587480300,500,10
1587493200,121,1
1587500400,96,1
1587518400,92,1
1587533700,101,74
1587555900,500,1
1587590400,79,1
1587599700,95,1
1587627300,500,4
1587638400,95,2
1587640500,230,3
1587658800,95,5
1587669600,500,1
1587693300,74,20
1587751800,97,2
1587784800,93,5
1587865200,999,1
1587876000,400,1
1587894600,1000,1
1587911100,91,1
1587938400,83,1
1587945600,95,1
1587949200,78,2
1587951000,61,1
1587954600,58,20
1587960300,95,10
1587986100,500,1
1588002300,96,52
1588004100,104,83
1588005900,118,48
1588020300,95,2
1588044000,91,1
1588056900,400,1
1588097100,208,1
1588113300,92,1
1588153500,96,3
1588222500,67,1
1588251600,40,1
1588259100,69,1
1588340700,125,1
1588346100,250,1
1588387800,115,10
1588462500,83,1
1588471800,250,10
1588482600,64,1
1588626900,87,1
1588645500,500,2
1588662000,79,1
1588718700,69,1
1588751700,64,52
1588770000,56,1
1588777500,73,1
1588786500,83,1
1588809900,64,1
1588873500,500,1
1588980900,498,20
1589008200,400,1
1589035500,80,1
1589084700,92,1
1589206500,91,1
1589233800,77,10
1589264400,81,1
1589316900,58,1
1589318700,54,2
1589320500,50,1
1589358600,400,1
1589393400,52,1
1589424300,400,1
1589496900,500,1
1589517000,54,10
1589602200,104,5
1589650800,73,2
1589670900,80,1
1589709000,449,1
1589727300,300,1
1589775900,78,1
1589837700,400,1
1589848800,87,1
1589977500,249,1
1589999400,223,1
1590015600,250,1
1590033900,78,1
1590050100,250,1
1590088200,86,1
1590095700,90,1
1590106500,86,1
1590117300,94,1
1590247800,80,125
1590251400,43,1
1590273300,75,1
1590320100,86,1
1590332700,75,1
1590398100,82,1
1590484200,80,1
1590529500,115,2
1590600600,150,1
1590615300,100,1
1590640800,150,1
1590648000,89,1
1590688500,150,1
1590743100,250,1
1590771000,208,1
1590805500,250,1
1590825300,194,1
1590863400,250,1
1590906900,228,1
1590972000,250,1
1591026600,203,1
1591086600,250,1
1591167300,240,1
1591172700,245,2
1591174500,250,1
1591402200,100,1
1591456800,130,1
1591604700,98,11
1591710300,250,1
1591737300,117,1
1591815900,250,1
1591928700,132,1
1591948500,1000,4
1591997700,129,1
1592106600,162,2
1592159700,900,1
1592190600,79,1
1592196300,76,1
1592283300,250,1
1592357700,129,1
1592368800,988,5
1592394300,133,10
1592403300,127,1
1592539800,143,56
1592545200,170,69
1592570700,254,40
1592579700,127,125
1592766900,121,3
1592768700,109,1
1592783400,91,1
1592788800,111,5
1592885400,107,125
1592887200,111,225
1592889000,115,100
1592963700,119,1
1592969100,96,20
1593002100,104,1
1593213600,29,1
1593392400,80,11
1593394200,81,12
1593394800,88,1
1593395100,81,12
1593395400,88,1
1593398100,90,2
1593399600,83,2
1593401400,76,1
1593459900,82,92
1593490800,88,1
1593558300,92,1
1593563700,76,2
1593570600,96,2
1593574500,92,1
1593578100,150,1
1593665100,89,1
1593672600,81,10
1593703500,988,2
1593843900,76,12
1593891300,80,1
1593900300,78,10
1593996600,988,1
1594014900,961,26
1594033500,988,5
1594177500,92,10
1594278900,988,1
1594293600,744,2
1594313400,91,1
1594342500,76,1
1594533900,85,100
1594559400,77,1
1594566900,93,1
1594701300,76,1
1594735800,985,1
1594820700,300,1
1594957800,93,1
1595155800,300,6
1595192100,499,4
1595255700,450,1
1595369700,185,1
1595439900,116,1
1595636100,398,125
1595639700,376,9
1595652300,342,1
1595827500,109,1
1596036900,398,10
1596057900,109,10
1596063300,113,15
1596068700,213,5
1596074100,109,1
1596092400,104,1
1596139200,213,1
1596148500,107,1
1596152100,112,1
1596161100,107,1
1596196200,112,6
1596232200,111,100
1596354000,109,10
1596385200,360,1
1596460200,398,1
1596563400,249,1
1596621900,214,1
1596625500,108,1
1596804300,499,1
1596834000,48,1
1596854100,39,1
1596891900,99,1
1597044600,499,1
1597347900,199,1
1597381500,120,1
1597423500,499,1
1597427100,109,1
1597541100,499,1
1597633800,117,1
1597699800,119,1
1597791600,218,1
1597853100,122,1
1598025600,499,1
1598138400,119,1
1598187000,499,1
1598582400,141,1
1598602200,499,1
1598609400,476,2
1598611500,454,1
1598631000,499,1
1598659500,131,1
1598666700,138,10
1598672100,499,10
1598708400,138,1
1598723700,160,1
1598776500,152,1
1598891400,125,1
1598976600,135,10
1599038100,149,1
1599039900,147,3
1599041700,146,2
1599183900,127,1
1599247200,128,5
1599288300,500,1
1599291900,632,2
1599315300,128,1
1599331800,109,1
1599333600,121,126
1599355200,125,1
1599366000,119,2
1599373200,16,3
1599414900,125,1
1599454500,109,1
1599531000,114,1
1599545400,95,1
1599550800,104,2
1599559500,119,50
1599577200,109,1
1599586200,111,1
1599588000,110,41
1599591600,106,2
1599615900,88,11
1599617700,89,12
1599619500,106,1
1599621300,111,11
1599649800,499,2
1599690000,113,1
1599693600,499,5
1599769800,157,81
1599801900,499,1
1599881400,119,1
1599993300,103,1
1600016400,499,1
1600018200,428,2
1600020000,358,1
1600052400,499,1
1600271700,118,100
1600304400,120,1
1600318800,123,3
1600378500,120,125
1600391100,499,1
1600392900,126,116
1600394700,122,115
1600400100,123,10
1600441800,164,9
1600443600,499,1
1600447500,136,29
1600449300,126,101
1600451400,123,72
1600556100,499,1
1600626600,249,3
1600806000,124,1
1600839300,132,10
1600898400,300,1
1600956600,238,3
1600958400,207,2
1600959600,115,1
1601050200,129,1
1601053800,162,2
1601062800,107,10
1601068200,129,1
1601262300,115,1
1601273100,127,10
1601321700,120,1
1601331300,83,1
1601460600,116,7
1601502000,106,1
1601550300,300,1
1601586900,100,10
1601660100,117,4
1601694600,107,1
1601696400,113,3
1601698200,109,3
1601700000,92,3
1601701800,94,4
1601703600,98,3
1601735100,103,2
1601778300,108,1
1601783700,98,1
1601841000,105,1
1601842800,92,2
1601844300,79,1
1601850300,100,1
1601888400,105,1
1602033300,81,5
1602049500,95,30
1602105000,79,1
1602213600,72,1
1602368400,85,1
1602447000,90,1
1602496200,87,1
1602536100,79,1
1602561300,92,1
1602564900,83,1
1602566700,90,6
1602568500,92,5
1602617400,87,1
1602627600,83,1
1602629400,89,11
1602631200,81,20
1602633000,71,10
1602767700,79,1
1602769500,81,2
1602771300,83,1
1602818700,92,1
1602874800,93,1
1602883800,88,1
1602963300,86,1
1603112700,499,1
1603149600,441,10
1603151700,383,5
1603256100,300,1
1603436700,499,1
1603511400,1,1
1603513200,20,2
1603515000,40,1
1603559700,499,1
1603591200,300,5
1603675200,106,1
1603691700,235,1
1603722900,300,1
1603935300,250,1
1603968900,102,1
1604002800,250,2
1604025000,102,1
1604163600,300,1
1604388000,111,1
1604393400,300,5
1604532000,112,1
1604578500,92,5
1604610300,107,10
1604637900,350,1
1604681700,113,1
1604809800,350,1
1604898300,111,1
1604946000,137,105
1604948400,136,110
1604949900,115,5
1605094500,141,1
1605114600,350,1
1605161400,116,1
1605172800,119,2
1605174000,122,1
1605192300,350,1
1605359700,121,1
1605392400,111,1
1605576900,116,10
1605613200,350,100
1605711600,116,1
1605726300,350,1
1605936000,123,1
1606010700,120,1
1606048200,341,4
1606129800,350,125
1606273500,133,1
1606303800,300,1
1606366500,130,5
1606410000,350,1
1606449900,134,10
1606501500,292,3
1606501800,350,1
1606502400,292,3
1606504500,264,2
1606599300,122,1
1606657500,136,1
1606721100,300,1
1606768200,138,100
1606800900,135,1
1606843800,129,1
1606952100,162,1
1607136600,126,1
1607142000,120,1
1607309400,250,1
1607320200,126,11
1607327400,250,1
1607334900,245,1
1607351400,225,1
1607373300,179,10
1607418900,245,2
1607421000,208,3
1607422800,134,1
1607442600,225,1
1607468100,181,2
1607477100,225,1
1607502900,245,1
1607636100,148,5
1607654100,255,1
1607661300,225,3
1607704800,350,6
1607732100,204,1
1607733900,211,41
1607822700,350,1
1607989500,157,4
1607993400,163,89
1608096600,350,5
1608154500,175,1
1608167400,152,5
1608174600,175,2
1608232800,350,6
1608380700,144,1
1608584700,192,1
1608621000,165,1
1608784200,120,1
1608786000,123,2
1608787800,126,1
1608916500,135,1
1609000800,137,20
1609087800,119,1
1609193100,121,1
1609427400,133,1
1609650300,91,1
1609776900,202,1
1609782300,102,30
1609865100,110,1
1609892100,83,1
1610000400,59,1
1610163900,140,125
1610176500,75,1
1610409000,81,1
1610571900,74,1
1610861700,79,1
1610892900,83,2
1610907300,200,1
1610933400,72,1
1611006900,69,10
1611115500,499,1
1611136500,239,1
1611148800,499,1
1611168300,77,2
1611345600,250,1
1611425100,499,1
1611589200,450,1
1611718200,105,1
1611773100,300,1
1612019100,104,1
1612064700,250,125
1612106400,126,1
1612487700,90,100
1612512900,109,1
1612524600,39,1
1612806900,199,1
1612938300,200,1
1613087100,97,1
1613173500,200,1
1613178900,100,1
1613180700,102,2
1613182200,105,1
1613198400,110,1
