timestamp,avg,qty
1574973000,2034550,3
1574973300,2041211,3
1574973600,2034550,3
1574974200,2041211,3
1574974800,2041515,4
1574976900,2039091,6
1574977200,2040434,7
1574977500,2039091,6
1574978100,2040434,7
1574978400,2043601,7
1574979000,2043923,9
1574979600,2043601,7
1574979900,2043923,9
1574980200,2045533,7
1574980800,2045177,6
1574981100,2045533,7
1574981700,2045177,6
1574982600,2043444,8
1574982900,2044616,7
1574983200,2043444,8
1574983500,2031188,18
1574984400,2031469,19
1574984700,2031188,18
1574985000,2031469,19
1574985300,2031078,18
1574985600,2031469,19
1574986200,2028937,15
1574986500,2031078,18
1574987100,2046704,5
1574987700,2028937,15
1574988000,2055000,2
1574988300,2046704,5
1574988900,2055000,2
1574989500,2049624,2
1574991000,2043779,2
1574991600,2049624,2
1574991900,2043779,2
1574992800,2043310,1
1574994300,2070276,3
1574996400,2068422,8
1574997900,2066126,7
1575000000,2060890,5
1575001500,2059219,5
1575003600,2086393,5
1575005100,2088464,6
1575007200,2072266,3
1575012000,2109994,1
1575014100,2093329,3
1575015900,2086714,4
1575018000,2088431,2
1575019800,2082024,3
1575023400,2080036,2
1575023700,2085000,1
1575029700,2084500,1
1575030600,2084499,2
1575030900,2074170,5
1575031500,2084499,2
1575032100,2074170,5
1575032700,2071587,4
1575034500,2061411,8
1575036000,2054118,10
1575038100,2090175,4
1575038400,2076900,6
1575038700,2090175,4
1575039600,2124666,3
1575042000,2124000,3
1575043500,2122105,5
1575045300,2116382,4
1575045600,2122105,5
1575045900,2115905,5
1575046500,2116382,4
1575046800,2115905,5
1575047700,2112806,3
1575049200,2108310,4
1575051000,2106506,6
1575051900,2102702,6
1575052800,2106506,6
1575053100,2094393,5
1575053400,2096369,6
1575053700,2094393,5
1575054000,2096369,6
1575054600,2094393,5
1575055200,2077837,4
1575056700,2056174,2
1575058500,2057558,3
1575060600,2048735,5
1575062400,2041666,6
1575062700,2038999,6
1575063300,2041666,6
1575063600,2038999,6
1575064200,2038958,5
1575064500,2038948,4
1575065100,2038958,5
1575065400,2038948,4
1575065700,2038958,5
1575066000,2038896,2
1575067800,2038795,1
1575068100,2029301,2
1575069900,2023172,5
1575071700,2014942,2
1575072300,2019086,3
1575073200,2014942,2
1575073500,2023575,1
1575073800,2022567,3
1575074400,2023575,1
1575075300,2021665,6
1575077100,2020727,4
1575079200,2020265,6
1575081000,2005848,28
1575081600,2003407,24
1575081900,2005848,28
1575082500,2003407,24
1575082800,2005497,33
1575083700,2005427,34
1575084000,2005497,33
1575084600,2011756,14
