timestamp,avg,qty
1574973000,174,1084
1574974800,175,1844
1574976900,174,4412
1574977200,174,3677
1574977500,174,4412
1574978100,174,3677
1574980200,176,2590
1574980800,177,2033
1574981100,176,2590
1574981700,177,2033
1574982600,174,6111
1574982900,175,4887
1574983200,174,6111
1574986200,174,7397
1574986500,174,9642
1574987700,174,7397
1574988000,174,6290
1574989500,178,10023
1574990400,178,9828
1574991000,178,10091
1574991600,178,9828
1574991900,178,10091
1574996400,175,4529
1575003600,172,623
1575005100,174,14566
1575010800,171,673
1575012000,170,333
1575018000,170,200
1575021600,174,1018
1575023700,170,382
1575027300,175,9
1575029100,175,8
1575032700,175,3331
1575033600,175,3360
1575034200,175,3331
1575034500,177,2490
1575036300,170,116
1575036600,171,144
1575037200,170,116
1575037500,171,144
1575038100,170,7927
1575039600,170,12844
1575042000,171,5234
1575043500,172,663
1575045600,173,1538
1575046500,173,385
1575046800,173,1538
1575047700,173,1192
1575051000,172,7685
1575055200,175,5216
1575056700,175,5194
1575058500,172,5698
1575060600,172,6705
1575062400,172,1778
1575062700,171,2260
1575063300,172,1778
1575063600,171,2260
1575066000,170,4888
1575067800,170,14992
1575069900,170,10753
1575070500,171,649
1575070800,170,10753
1575071400,171,649
1575073500,173,2180
1575073800,173,2181
1575074400,173,2180
1575075300,172,6226
1575077100,173,7043
1575086700,176,1115
1575088500,172,1568
1575090300,172,1853
1575093900,173,415
1575097500,171,485
1575099600,170,437
1575101400,173,778
1575103800,174,372
1575104100,175,777
1575104700,174,372
1575105900,173,398
1575106500,172,149
1575106800,173,398
1575107400,172,149
1575108600,172,1149
1575108900,172,1716
1575110400,172,2302
1575110700,172,1667
1575111300,173,1312
1575114300,176,2699
1575114600,175,3250
1575114900,176,2689
1575115800,175,2443
1575116100,176,2689
1575116400,175,2443
1575117300,172,509
1575118500,173,619
1575118800,172,835
1575119100,173,619
1575123000,173,3974
1575123600,172,615
1575123900,173,3974
1575125700,173,14844
1575129600,175,107
1575129900,175,107
1575139500,173,2134
1575143100,173,8386
1575143400,173,8231
1575143700,173,8386
1575147900,172,1306
1575151800,175,13572
1575153300,175,17290
1575153600,175,12613
1575153900,175,16792
1575156900,170,2771
1575157200,172,6690
1575157500,170,2771
1575162900,175,3588
1575165900,176,711
1575166200,175,3518
1575166500,180,20
1575170100,173,554
1575170400,171,1391
1575171600,173,554
1575171900,174,2457
1575175500,174,1202
1575179400,173,8934
1575181200,175,19340
1575183000,176,11114
1575183300,176,11078
1575184500,176,11114
1575184800,176,298
1575186600,171,238
1575189000,170,176
1575189600,171,202
1575189900,170,176
1575190200,170,117
1575190500,170,176
1575190800,170,117
1575191400,170,117
1575192000,170,117
1575192300,170,117
1575192900,171,91
1575193500,170,117
1575194100,171,91
1575198000,173,15138
1575199500,173,15607
1575204900,170,12004
1575207000,170,1212
1575207300,170,1182
1575207600,170,1212
1575210600,174,1241
1575210900,174,1241
1575211200,174,1241
1575211800,174,1343
1575212100,174,1241
1575212400,174,1343
1575215100,176,2298
1575215700,176,859
1575216000,177,3664
1575218700,176,9182
1575225900,173,199
1575228900,176,203
1575229200,175,400
1575229800,176,203
1575235800,174,13380
1575237300,174,14456
1575238800,174,6354
1575239100,174,14076
1575239400,174,6354
1575239700,174,6354
1575240300,174,6354
1575240600,175,6819
1575242700,173,6443
1575244800,175,17406
1575246300,177,12606
1575248100,175,8344
1575250200,175,8996
1575253800,174,18898
1575262800,174,2838
1575263100,174,2587
1575263400,174,2838
1575264000,174,2587
1575264300,174,2838
1575264600,173,5679
1575266400,173,4874
1575268200,174,902
1575270300,175,2987
1575273600,171,1829
1575275400,170,1361
1575277200,171,1282
1575279000,171,1294
1575281100,172,1000
1575282600,172,98
1575285300,171,432
1575285600,171,483
1575286200,171,3652
1575288000,171,4227
1575288300,171,3652
1575288600,171,4227
1575288900,171,4227
1575289500,171,4227
1575292500,179,2151
1575297600,174,2535
