timestamp,avg,qty
1575117300,40122,1
1575147900,41000,2
1575159300,40122,1
1575199800,40122,1
1575224400,39374,3
1575290100,45206,1
1575292500,45206,1
1575317100,40476,3
1575319200,40212,1
1575320700,40212,1
1575428100,38500,1
1575514200,41294,2
1575525000,42000,1
1575536400,40000,1
1575571800,38500,1
1575598800,39000,1
1575607800,40500,1
1575609300,40500,1
1575609600,40500,1
1575609900,40500,1
1575770400,40251,1
1575771000,40251,1
1575771900,40251,1
1575772200,40251,1
1575772800,40251,1
1575773400,40251,1
1575777000,40175,2
1575788100,40251,1
1575825600,40175,1
1575827700,40175,1
1575832500,40251,1
1575996300,40785,1
1576002600,39000,1
1576008000,40785,1
1576082100,39000,1
1576153800,41000,1
1576183500,41000,1
1576185900,41000,1
1576186200,41000,1
1576186800,41000,1
1576187400,41000,1
1576222500,39000,1
1576260900,40345,1
1576261200,40345,1
1576261800,40345,1
1576284600,39000,1
1576347900,40345,1
1576348500,40345,1
1576382700,40018,1
1576424700,40240,1
1576450200,37518,2
1576459200,40140,1
1576537200,40168,1
1576547700,40345,1
1576617300,39590,2
1576642200,40168,1
1576680900,39000,1
1576712100,38200,1
1576718400,38200,1
1576724700,40133,3
1576741500,38314,1
1576891200,36515,2
1576933200,36501,1
1576951500,39000,1
1576989900,41561,1
1576992300,41561,1
1576992600,41561,1
1576993200,41561,1
1577086500,39000,1
1577121000,39700,1
1577121300,39700,2
1577121600,39700,1
1577130900,38292,4
1577151000,38234,1
1577162700,38000,1
1577223900,39000,1
1577302500,38000,1
1577335200,39448,3
1577391900,41000,1
1577393400,41000,1
1577499000,38601,5
1577548200,38500,1
1577548800,38875,3
1577550900,39062,2
1577551500,39062,2
1577583900,39519,1
1577596500,39519,2
1577665200,38931,2
1577672100,38166,3
1577673900,38000,1
1577740800,38596,1
1577766600,38500,1
1577811900,39463,2
1577878800,39500,1
1577908200,39473,2
1577928300,39778,1
1577980200,39500,1
1577981700,39500,1
1577997300,40000,1
1578084600,43650,2
1578086700,43625,4
1578088500,43600,3
1578159300,40431,1
1578161700,40431,1
1578162600,40431,1
1578245100,39000,1
1578247500,38500,1
1578248100,38500,1
1578248400,38500,1
1578251700,40900,1
1578255600,39000,2
1578262800,38500,1
1578373200,39000,2
1578423900,38001,1
1578427800,40936,1
1578444300,39000,1
1578453600,39000,3
1578503100,39983,4
1578519600,41500,2
1578576300,39000,1
1578585900,41000,1
1578604800,40800,2
1578619800,40800,1
1578621600,40800,1
1578773100,39324,1
1578774900,40151,2
1578811800,39000,1
1578849600,38465,2
1578888300,38152,2
1578930600,40319,1
1578960000,39078,2
1579001100,40080,1
1579052700,38000,1
1579058400,40080,1
1579060200,40080,1
1579094100,40000,1
1579121700,39000,1
1579136700,39000,1
1579138500,39000,1
