timestamp,avg,qty
1574973000,38000,23
1574974800,39412,57
1574976900,38890,87
1574977200,38926,79
1574977500,38890,87
1574978100,38926,79
1574978400,37891,95
1574980200,37888,66
1574980800,37887,27
1574981100,37888,66
1574981700,37887,27
1574982600,37900,1
1574988000,37926,71
1574988300,37900,70
1574988900,37926,71
1574989500,39783,1
1574990400,40777,2
1574991000,38139,27
1574991600,40777,2
1574991900,38139,27
1574992800,38199,29
1574994300,39000,4
1575000000,38000,2
1575005100,38007,13
1575007200,38003,62
1575010800,38100,1
1575018000,38185,1
1575025200,38184,21
1575029100,37818,30
1575030600,37867,100
1575032700,37871,141
1575033600,37855,71
1575034200,37871,141
1575034500,37855,99
1575038100,37850,72
1575039600,37846,52
1575042000,37847,12
1575045300,37880,33
1575047700,37862,78
1575049200,37849,71
1575051000,37858,3
1575052800,37844,73
1575056700,37878,52
1575058500,37852,194
1575060600,37855,215
1575062100,37844,145
1575062400,37886,116
1575062700,37888,70
1575063300,37886,116
1575063600,37888,70
1575064200,37887,72
1575066000,37864,3
1575067800,37873,4
1575068100,37901,4
1575071700,37900,1
1575075300,37887,192
1575079200,37907,4
1575081000,37997,83
1575082800,37998,82
1575084600,38000,1
1575086700,37906,88
1575088500,38065,95
1575090300,39802,10
1575092100,38854,20
1575092400,37907,10
1575092700,38854,20
1575093300,37907,10
1575093600,38854,20
1575093900,37907,10
1575095700,37903,71
1575097500,37901,51
1575099600,37821,11
1575102000,37822,81
1575103800,37821,137
1575104100,37822,71
1575104700,37821,137
1575105900,37820,71
1575108600,37844,1
1575109800,37823,1
1575117600,37820,3
1575120900,37800,73
1575122400,37821,142
1575122700,37800,70
1575123000,37821,144
1575125100,37841,74
1575125700,37840,79
1575126300,37819,7
1575126900,37820,5
1575127200,37819,7
1575127800,37820,5
1575128400,37814,7
1575129600,37801,2
1575130500,37820,4
1575132000,37840,142
1575136800,37800,1
1575137700,37841,92
1575138000,37800,1
1575138600,37841,92
1575139800,37840,95
1575140400,37841,92
1575140700,37832,174
1575141000,37840,95
1575141300,37823,84
1575141900,37832,174
1575142200,37823,84
1575143100,37604,92
1575143400,37823,84
1575143700,37604,92
1575144600,36042,36
1575144900,35992,35
1575145200,36042,36
1575146100,35992,35
1575146700,36405,31
1575147300,35992,35
1575147900,37823,10
1575149700,37796,48
1575150000,37823,10
1575150300,37796,48
1575150600,37792,77
1575150900,37796,48
1575151200,37792,77
1575151800,37793,78
1575153300,37827,3
1575153600,37793,78
1575153900,37831,2
1575154200,37827,3
1575155100,37831,2
1575155700,37843,6
1575157500,37829,145
1575157800,37843,75
1575158100,37829,145
1575158400,37843,75
1575158700,37829,145
1575160800,37815,71
1575162900,37800,75
1575165000,37804,52
1575165600,37800,75
1575165900,37816,13
1575166200,37804,52
1575166500,37817,12
1575166800,37816,13
1575167100,37817,12
1575167400,37816,13
1575167700,37817,12
1575168300,37823,7
1575170100,37837,7
1575171900,37820,81
1575172800,37821,80
1575173100,37820,81
1575173700,37801,124
1575175500,37775,120
1575179400,37900,1
1575181200,37853,14
1575183000,37850,13
1575184800,37703,70
1575186600,37701,141
1575189000,37700,71
1575191400,37692,2
1575192300,37695,66
1575194700,37800,137
1575195300,37830,107
1575196500,37897,71
1575201300,37775,70
1575206100,37887,2
1575206400,37775,1
1575206700,37887,2
1575207000,37816,12
1575207300,37887,2
1575207600,37816,12
1575208800,37823,70
1575209400,37825,58
1575209700,37823,70
1575210000,37825,58
1575211800,37813,1
1575212100,37825,58
1575212400,37813,1
1575214500,37829,3
1575214800,37813,1
1575215100,37781,19
1575215700,37829,3
1575216000,37775,159
1575216600,37781,19
1575216900,37775,158
1575218700,37774,197
1575219300,37775,158
1575219600,37774,197
1575219900,37772,57
1575221400,37775,1
1575224400,37760,1
1575224700,37775,1
1575225000,37760,1
1575225900,37798,20
1575228000,37826,77
1575228300,37798,20
1575228600,37826,77
1575228900,37830,156
1575229200,37826,77
1575229800,37830,156
1575230100,37823,207
1575230700,37825,237
1575232200,37811,100
1575232800,37821,179
1575233400,37837,66
1575234000,37833,106
1575234300,37837,66
1575235200,37833,106
1575235800,37832,86
1575239700,37814,51
1575242700,37799,87
1575243600,37779,36
1575243900,37799,87
1575244200,37779,36
1575244800,37777,34
1575248100,37811,280
1575250200,37812,287
1575250500,37804,218
1575252000,37828,8
1575252900,37836,7
1575255600,37819,2
1575257400,37801,46
1575261000,37790,4
