timestamp,avg,qty
1590807300,1600000,1
1590841500,1661149,3
1590843600,1661149,3
1590865200,1690007,2
1590867000,1692509,4
1590868800,1692509,4
1590872700,1689841,1
1590874500,1689841,1
1590876300,1610000,1
1590878100,1609686,2
1590879900,1639671,2
1590881700,1642985,2
1590883500,1632400,13
1590885300,1631820,10
1590887100,1609382,1
1590919800,1698666,1
1590921600,1698616,9
1590923400,1695039,19
1590925200,1686661,24
1590927000,1679684,18
1590928800,1678389,4
1590932400,1679524,15
1590937800,1645000,1
1590946800,1652008,1
1590948600,1685502,2
1590950400,1685502,2
1591002900,1663726,6
1591004700,1666223,13
1591006800,1663610,10
1591008600,1661840,7
1591012200,1645596,37
1591034100,1575065,2
1591035900,1575065,2
1591041300,1556558,1
1591043100,1556558,1
1591048500,1570992,5
1591050300,1570992,5
1591052100,1515002,24
1591053900,1515002,24
1591055700,1581635,7
1591057500,1574181,8
1591059300,1522000,1
1591077600,1526030,5
1591079400,1526030,10
1591084800,1535002,1
1591092300,1535818,9
1591094100,1535818,9
1591099500,1562091,12
1591101300,1557480,14
1591103100,1532800,3
1591104900,1538777,1
1591106700,1527005,11
1591108500,1527005,11
1591117800,1530002,1
1591119600,1530002,1
1591126800,1532618,1
1591128600,1532618,1
1591129500,1481814,2
1591130100,1532618,1
1591130400,1431011,1
1591132200,1431011,1
1591134000,1435080,1
1591135800,1435080,1
1591141200,1454090,1
1591145700,1455988,1
1591147500,1479999,1
1591149300,1420189,4
1591151100,1400253,3
1591219800,1251004,1
1591221600,1251004,1
1591232700,1275000,8
1591261800,1212076,1
1591263600,1212076,1
1591282200,1267138,8
1591284000,1212106,1
1591287600,1213100,1
1591289400,1213100,1
1591303800,1150191,1
1591307400,1200000,1
1591312800,1141310,9
1591314600,1141310,9
1591316400,1154000,1
1591318200,1154000,1
1591369500,1257071,2
1591371300,1257071,2
1591373100,1384187,2
1591374900,1384187,2
1591389600,1325169,1
1591400400,1260859,21
1591402200,1260859,21
1591437000,1388140,4
1591438800,1339473,10
1591440600,1307029,6
1591442400,1324507,9
1591444200,1324507,9
1591446000,1325889,13
1591455000,1275025,2
1591456800,1295001,4
1591458600,1314978,2
1591460400,1275021,4
1591462200,1275021,4
1591467600,1227434,1
1591469400,1259138,3
1591471200,1274990,2
1591476900,1292014,1
1591478700,1292014,1
1591485900,1277001,8
1591487700,1277001,10
1591491300,1280003,1
1591498500,1330555,12
1591500300,1330555,12
1591515000,1330001,2
1591517100,1330001,3
1591518900,1330002,1
1591533600,1301111,3
1591539000,1311003,4
1591540800,1311003,4
1591550100,1315000,4
1591557300,1322199,14
1591559100,1332730,12
1591560900,1349000,3
1591562700,1322589,20
1591564500,1322657,24
1591566300,1325156,8
1591568100,1321875,6
1591569900,1311003,2
1591571700,1301500,4
1591573500,1301500,4
1591580700,1296914,5
1591582800,1296914,5
1591606500,1310000,9
1591610400,1261011,32
1591612200,1261011,32
1591632300,1284963,2
1591634100,1284963,4
1591635900,1206498,6
1591637700,1167265,4
1591644900,1220605,11
1591646700,1219814,12
1591648500,1211116,1
1591652100,1221557,1
1591653900,1221557,1
1591662900,1215000,1
1591664700,1215000,1
1591684800,1230754,4
1591686600,1230754,4
1591692000,1240005,1
1591708500,1222003,1
1591710300,1222500,5
1591712100,1223750,6
1591726500,1180015,1
1591728300,1180838,6
1591730100,1181003,5
1591737300,1186762,7
1591749900,1186137,1
1591752000,1186137,1
1591776000,1206861,1
1591803300,1190000,1
1591810500,1190000,1
1591812300,1190000,1
1591815900,1171001,1
1591817700,1171001,1
1591830600,1219000,1
1591832400,1193196,21
1591834200,1187675,33
1591836000,1178014,12
1591859700,1208000,1
1591861500,1208000,1
1591868700,1231001,1
1591870800,1231001,1
1591879800,1230288,7
1591881600,1230006,1
1591883400,1230006,1
1591894200,1264997,7
1591896000,1261759,21
1591897800,1261418,19
1591916100,1380268,33
1591919700,1363459,8
1591946700,1380001,9
1591954200,1309500,10
1591957800,1394998,2
1591959600,1411002,2
1591961400,1485895,19
1591963200,1494062,16
1591968600,1529000,1
1591970700,1529000,1
1591985100,1319001,3
1591988700,1363887,4
1591990500,1363887,4
1591995900,1338001,3
1591997700,1338001,3
1592006700,1339876,10
1592086800,1350011,8
1592088600,1350011,8
1592110200,1420000,1
1592114100,1418868,40
1592117700,1412027,4
1592128500,1460363,3
1592134200,1435002,2
1592148600,1462101,3
1592181600,1649101,1
1592183400,1649101,1
1592201700,1673144,9
1592207100,1675958,7
1592241600,1613101,1
1592243400,1613551,2
1592245200,1614001,1
1592263500,1631102,1
1592325000,1761101,9
1592334300,1605679,3
1592336100,1605679,3
1592350500,1607000,1
1592352300,1607000,1
1592357700,1631314,4
1592383200,1685960,8
1592396100,1616216,1
1592405100,1627804,5
1592428800,1530508,4
1592434200,1569000,1
1592436000,1569000,1
1592512500,1546005,2
1592526900,1551500,4
1592547000,1551650,4
1592581500,1350678,4
1592583300,1350678,4
1592605200,1455126,4
1592621400,1456601,1
1592623200,1456601,1
1592630400,1571064,1
1592632200,1571064,1
1592635800,1518127,8
1592637600,1518127,8
1592644800,1496002,5
1592648700,1480002,7
1592686800,1457560,9
1592688600,1467846,13
1592690400,1466693,20
1592692200,1465175,22
1592694000,1469200,10
1592717400,1466190,2
1592765100,1402623,12
1592776200,1456969,21
1592778000,1464941,17
1592779800,1453000,3
1592798100,1431126,8
1592838300,1474440,5
1592840100,1465550,6
1592841900,1421100,1
1592847300,1398999,1
1592849100,1393142,5
1592850900,1391678,4
1592858100,1385580,8
1592860200,1390380,18
1592862000,1394988,14
1592863800,1396901,17
1592865600,1396890,22
1592867400,1396877,7
1592876400,1375191,5
1592929200,1369997,3
1592931000,1356538,8
1592932800,1348463,5
1592934600,1330000,1
1592936400,1318959,4
1592938200,1315279,3
1592940000,1323935,6
1592945700,1357244,8
1592947500,1357164,18
1592949300,1354877,14
1592951100,1357345,4
1592952900,1327001,4
1592960100,1327102,4
1592969100,1388335,1
1593027600,1325899,5
1593029400,1325899,5
1593031200,1291450,5
1593038400,1346998,3
1593040200,1346998,3
1593047700,1305001,1
1593056700,1303685,19
1593091500,1279000,1
1593099000,1285000,2
1593104400,1251000,2
1593106200,1251000,2
1593189900,1227000,2
1593204300,1224000,2
1593219300,1305619,1
1593221100,1305619,1
1593244800,1258799,2
1593275700,1225799,4
1593277500,1225799,4
1593310200,1220000,1
1593410400,1130300,1
1593443400,1133108,4
1593459900,1117820,4
1593572700,1055000,1
1593574500,1055000,1
1593576300,865000,1
1593578100,865000,1
1593612300,1081970,1
1593621600,1027872,1
1593625200,1071840,2
1593632400,1124993,2
1593634200,1124993,2
1593661500,1048750,8
1593705300,1075905,4
1593714300,1124760,1
1593720000,1151121,1
1593721800,1131684,4
1593723600,1125205,3
1593738000,1182673,3
1593739800,1182673,3
1593750600,1235999,3
1593754200,1235999,1
1593756300,1155000,1
1593774900,1124760,1
1593776700,1124760,1
1593789300,1165960,4
1593794700,1184009,5
1593796500,1184009,5
1593800100,1181006,1
1593801900,1181006,1
1593807300,1207995,3
1593809400,1207965,9
1593811200,1207950,6
1593813000,1206999,6
1593814800,1206999,10
1593822000,1172502,4
1593823800,1172502,4
1593869400,1166000,3
1593884100,1135010,4
1593891300,1159000,3
1593893100,1159000,3
1593905700,1121000,5
1593907500,1121000,5
1593909300,1126106,4
1593920400,1110983,9
1593969600,1055006,2
1593975000,1101666,12
1593976800,1101666,12
1593982200,1127218,1
1593989400,1101858,18
1594009500,1096752,4
1594020600,1133970,3
1594037100,1045010,1
1594038900,1045010,1
1594046100,1049186,6
1594065900,1088649,23
1594068000,1081232,14
1594069800,1080449,2
1594071600,1153511,16
1594073400,1151070,17
1594075200,1151280,8
1594077000,1156880,3
1594080600,1112006,1
1594082400,1112006,1
1594097100,1125000,4
1594152000,1169101,1
1594157400,1175000,1
1594159200,1175000,1
1594221000,1200001,4
1594238700,1200010,1
1594240500,1214721,5
1594242300,1265709,37
1594244100,1275869,41
1594245900,1294125,8
1594247700,1215003,1
1594249500,1215003,1
1594253100,1255545,24
1594254900,1255545,24
1594317000,1376999,1
1594318800,1376999,1
1594324200,1328999,3
1594326000,1328999,3
1594362600,1284616,4
1594364400,1284616,8
1594366200,1284616,4
1594375200,1180006,4
1594395000,1204720,4
1594396800,1204720,4
1594479600,1091015,4
1594481400,1091015,4
1594485000,1151648,4
1594486800,1151648,4
1594545000,1143003,2
1594555800,1118103,2
1594586700,1100004,1
1594588500,1130069,10
1594590600,1133000,26
1594596000,1104000,12
1594601400,1100000,1
1594603200,1100000,1
1594606800,1092005,2
1594608600,1092005,2
1594675800,1041799,4
1594677600,1041799,4
1594713900,1051006,1
1594748400,1150000,9
1594752000,1127456,1
1594755600,1127450,1
1594766400,1155198,1
1594770000,1155199,1
1594779000,1127999,2
1594780800,1127999,2
1594786200,1100002,1
1594802400,1141352,8
1594811400,1144301,4
1594813500,1144301,4
1594833300,1131505,4
1594849500,1131503,1
1594851300,1131503,1
1594862100,1131007,4
1594979700,1347001,1
1594981500,1347001,1
1595001300,1301924,5
1595003100,1301924,5
1595015700,1226012,1
1595017500,1226012,1
1595032800,1260000,14
1595034600,1260000,14
1595040300,1249999,8
1595042100,1249999,25
1595043900,1249999,17
1595045700,1249999,1
1595051100,1229999,3
1595103600,1219999,1
1595105400,1210934,5
1595107200,1208668,4
1595109000,1222872,1
1595110800,1222872,1
1595128800,1210000,4
1595130600,1210000,4
1595157900,1188545,1
1595184900,1199000,1
1595186700,1194667,6
1595188500,1193801,5
1595190300,1176392,3
1595192100,1176392,3
1595202900,1177018,1
1595204700,1177018,1
1595235600,1177020,1
1595259300,1163000,1
1595264700,1220044,2
1595286600,1134496,4
1595288400,1134496,4
1595326500,1161757,8
1595328300,1161757,8
1595335500,1161001,4
1595353500,1185000,6
1595355300,1175000,1
1595358900,1175000,5
1595375100,1176605,8
1595377200,1176605,8
1595432700,1161401,8
1595454300,1142470,5
1595456100,1153342,14
1595457900,1128439,22
1595477700,1160000,5
1595492400,1125056,24
1595510400,1152005,4
1595512200,1152005,4
1595536800,1112019,1
1595538600,1143212,5
1595540400,1151011,4
1595603400,1127155,6
1595604300,1127155,6
1595605200,1137667,2
1595659500,1116003,2
1595667000,1127111,1
1595672700,1145899,5
1595679900,1140990,2
1595681700,1140973,3
1595683500,1134725,2
1595685300,1137245,2
1595687100,1145980,1
1595719800,1101799,4
1595723400,1146999,4
1595725200,1146999,4
1595728800,1117385,4
1595730600,1117385,4
1595770500,1180854,4
1595772300,1165809,10
1595774100,1169069,15
1595777700,1164464,2
1595785800,1143620,5
1595787600,1143733,5
1595789400,1157450,2
1595791200,1170899,1
1595793000,1170899,13
1595796600,1105005,4
1595798400,1123864,9
1595800200,1138951,5
1595809500,1105005,1
1595811300,1105005,1
1595814900,1111001,8
1595818500,1134252,9
1595820300,1134882,5
1595831100,1143435,2
1595862900,1140000,5
1595866500,1111254,8
1595870100,1111000,1
1595871600,1111000,1
1595872500,1111000,1
1595873700,1108053,2
1595875500,1116543,10
1595876700,1113639,20
1595877600,1113202,23
1595878500,1112498,30
1595879400,1110289,25
1595893200,1119506,2
1595895000,1133010,4
1595896800,1133010,8
1595918400,1100586,8
1595978100,1120003,4
1595983500,1115006,4
1595987400,1117007,2
1596040500,1110044,9
1596042300,1110099,4
1596044100,1087688,9
1596045900,1088776,17
1596047700,1090001,8
1596052800,1090000,1
1596054300,1079714,7
1596059700,1062998,2
1596081300,1072502,4
1596135600,1077000,2
1596152100,1035804,1
1596237600,1134000,1
1596301500,1234296,4
1596306900,1300000,2
1596308700,1300000,2
1596335700,1300000,4
1596337500,1300000,4
1596348600,1250000,20
1596352200,1250000,11
1596375900,1375001,4
1596414000,1257000,4
1596432000,1272121,16
1596445200,1315049,4
1596480000,1277000,1
1596481800,1277000,1
1596485400,1422559,5
1596487200,1426530,13
1596489000,1388424,18
1596490800,1377675,14
1596492600,1430465,17
1596494400,1430000,16
1596496200,1430000,3
1596514500,1371793,4
1596516300,1358904,8
1596556200,1373000,8
1596558000,1373000,4
1596559800,1340000,1
1596561600,1340000,2
1596563400,1340000,2
1596612300,1302788,1
1596643800,1346912,7
1596645600,1346912,7
1596656400,1300000,6
1596687300,1284780,46
1596689100,1284559,47
1596712500,1203000,4
1596750900,1255878,7
1596761700,1282805,1
1596804300,1301002,1
1596811500,1305202,12
1597013700,1445576,7
1597015500,1445576,7
1597053900,1415003,1
1597091400,1468379,5
1597095000,1451001,1
1597096800,1460665,21
1597098600,1461149,20
1597275000,1480000,1
1597278600,1475007,1
1597345800,1493349,10
1597347900,1494699,3
1597376100,1488972,1
1597377900,1488972,1
1597487100,1488000,1
1597582800,1492695,1
1597584600,1492695,1
