timestamp,avg,qty
1574980200,9563,11
1574996400,9652,15
1575045300,9370,3
1575051000,9110,20
1575077100,9401,6
1575079200,9401,3
1575081000,9401,5
1575082800,9401,25
1575083700,9401,28
1575084000,9401,25
1575084600,9401,28
1575090300,9401,6
1575092100,9401,14
1575093900,9401,12
1575097500,9401,2
1575099600,9401,3
1575099900,9401,3
1575100200,9401,3
1575100500,9401,3
1575101400,9401,1
1575113700,9420,11
1575135900,9404,12
1575139500,9275,20
1575140700,9150,9
1575141000,9275,20
1575141300,9150,8
1575146100,9155,23
1575147900,9156,25
1575150600,9185,14
1575150900,9184,13
1575151200,9185,14
1575164700,9183,8
1575179400,9281,15
1575187500,9281,8
1575204900,9282,3
1575223200,9334,5
1575272100,9300,4
1575290100,9373,5
1575312300,9301,1
1575315000,9316,12
1575315300,9316,12
1575315600,9316,12
1575319200,9301,5
1575328200,9285,7
1575342600,9251,13
1575350100,9400,7
1575357300,9474,5
1575417600,9294,13
1575435900,9369,15
1575440400,9250,21
1575441000,9267,8
1575444000,9284,4
1575444300,9295,3
1575465300,9250,7
1575470400,9250,4
1575477600,9351,9
1575527400,9403,12
1575549300,9403,5
1575585900,9403,12
1575589500,9403,25
1575590700,9403,16
1575645600,9250,10
1575662400,9252,2
1575664500,9250,1
1575664800,9250,1
1575665100,9250,15
1575666000,9250,15
1575666300,9250,15
1575666900,9313,17
1575667200,9250,15
1575667500,9313,17
1575667800,9321,18
1575668100,9313,17
1575668400,9321,18
1575669000,9463,6
1575670800,9263,16
1575672300,9256,24
1575672600,9250,16
1575672900,9256,24
1575674400,9277,11
1575678000,9264,21
1575680100,9268,16
1575681900,9250,5
1575691200,9380,26
1575738900,9263,12
1575764700,9260,2
1575838200,9252,27
1575855000,9257,14
1575860100,9251,34
1575862800,9277,2
1575863100,9305,1
1575863700,9250,27
1575865800,9253,42
1575866100,9254,41
1575866400,9253,42
1575866700,9254,41
1575867300,9253,42
1575904500,9251,17
1575953700,9258,42
1575965400,9257,11
1575998100,9251,9
1576005900,9261,9
1576098300,9326,2
1576210800,9260,5
1576227900,9261,10
1576326000,9311,61
1576346100,9432,9
1576366200,9450,6
1576369800,9466,4
1576370400,9475,2
1576371000,9466,4
1576371600,9466,4
1576399200,9250,15
1576404600,9250,6
1576415400,9250,3
1576424700,9250,3
1576453800,9355,22
1576493700,9259,1
1576495800,9259,1
1576510800,9250,20
1576524600,9250,23
1576533600,9362,6
1576544700,9250,29
1576563300,9313,10
1576602600,9300,29
1576608000,9250,3
1576642200,9253,26
1576647900,9296,8
1576695900,9264,4
1576699200,9488,18
1576699500,9465,20
1576699800,9488,18
1576701000,9256,216
1576703700,9254,216
1576704000,9255,218
1576704600,9254,216
1576719300,9287,3
1576732200,9299,24
1576739100,9393,7
1576782300,9285,44
1576783800,9310,29
1576785600,9327,22
1576794000,9250,2
1576845900,9266,5
1576922100,9250,8
1576933500,9250,19
1576986300,9307,3
1577017500,9606,29
1577068800,9633,3
1577079300,9304,13
1577100000,9250,10
1577104800,9250,2
1577188800,9200,1
1577247900,9282,16
1577342400,9390,14
1577349900,9388,6
1577391900,9381,8
1577422800,9661,19
1577519100,9438,84
1577541600,9438,1
1577554500,9200,12
1577569200,9369,26
1577596500,9544,25
1577618700,9218,11
1577637000,9295,12
1577659800,9500,1
1577726100,9225,7
1577740800,9200,29
1577743800,9226,33
1577744400,9202,32
1577744700,9226,33
1577745300,9202,32
1577746200,9202,32
1577746500,9202,32
1577747100,9202,32
1577748600,9207,4
1577749800,9216,2
1577751000,9216,2
1577751300,9216,2
1577751600,9216,3
1577751900,9216,6
1577753400,9216,4
1577770500,9460,20
1577778600,9223,99
1577786100,9289,30
1577806500,9235,8
1577897400,9207,8
1577908200,9183,12
1577960100,9161,17
1577973000,9231,11
1578097500,9418,6
1578115200,9428,6
1578171000,9420,3
1578257400,9300,1
1578259200,9306,6
1578259500,9337,3
1578260100,9306,6
1578262800,9326,8
1578371400,9200,4
1578402300,9250,4
1578407700,9255,2
1578422100,9250,5
1578423900,9278,10
1578426000,9290,27
1578426300,9290,27
1578427200,9290,27
1578429600,9387,17
1578436800,9290,4
1578455400,10376,23
1578459000,10138,20
1578510300,9272,5
1578519600,9412,14
1578590100,9222,9
1578599400,9500,16
1578618000,9510,6
1578659700,9250,12
1578661500,9250,11
1578663300,9251,1
1578667200,9250,37
1578669000,9334,10
1578676500,9250,5
1578785700,9400,15
1578802500,9250,13
1578825000,9370,1
1578840600,9250,14
1578842400,9291,18
1578844200,9400,16
1578846000,9387,12
1578847800,9250,1
1578849600,9272,6
1578851400,9341,6
1578884700,9400,21
1578941700,9381,25
1579010400,9400,11
1579065600,9400,5
1579169700,9250,4
1579200300,9250,14
1579207500,9255,19
1579225800,9265,38
1579244400,9301,40
1579250100,9347,12
1579283700,9331,5
1579296600,9291,17
1579298400,9317,5
1579300200,9321,3
1579314900,9301,17
1579341300,9316,8
1579343100,9379,13
1579344900,9400,9
1579389300,9311,10
1579445100,9315,5
1579458000,9323,16
1579465200,9315,8
1579496700,9319,2
1579532400,9315,19
1579586100,9350,58
1579636500,9360,31
1579650900,9360,17
1579678500,9396,1
1579716300,9350,37
1579723500,9350,4
1579736400,9350,10
1579740000,9350,5
1579752900,9351,4
1579792200,9353,2
1579843200,9356,2
1579874700,9274,17
1579878600,9405,37
1579929600,9394,21
1579955700,9277,10
1579993800,9376,12
1580003100,9430,9
1580036700,9339,39
1580055000,9356,41
1580067900,9403,98
1580069700,9418,89
1580071500,9356,1
1580086200,9340,8
1580192400,9470,5
1580233800,9310,18
1580318400,9441,20
1580403300,9255,1
1580410500,9255,2
1580419500,9334,32
1580423100,9415,8
1580435700,9370,3
1580437500,9344,8
1580439300,9305,11
1580469900,9415,9
1580513700,9450,4
1580519100,9492,2
1580550300,9300,4
1580576100,9255,10
1580596200,9300,10
1580608800,9300,3
1580614500,9390,36
1580687400,9290,1
1580751900,9250,10
1580788200,9296,2
1580802900,9250,1
1580912700,9863,1
1581027600,9552,7
1581098100,9369,17
1581105300,9369,8
1581110700,9369,24
1581120000,9451,14
1581130800,9600,4
1581158700,9251,4
1581180900,9251,4
1581195600,9383,4
1581199200,9256,48
1581202800,9386,32
1581243300,9253,1
1581254700,9253,8
1581256500,9253,5
1581263700,9271,6
1581271200,9315,35
1581273000,9262,190
1581274800,9251,164
1581296400,9361,1
1581305400,9361,21
1581364500,9361,4
1581384300,9273,6
1581441900,9379,2
1581522000,9351,2
1581523800,9351,2
1581525600,9351,4
1581529200,9351,26
1581541800,9280,10
1581558000,9301,12
1581571500,9250,3
1581579000,9250,5
1581582900,9274,15
1581584700,9297,15
1581647400,9400,5
1581718500,9401,19
1581781500,9402,4
1581810600,9369,11
1581888300,9382,10
1581904500,9255,30
1581920400,9251,14
1581963600,9270,21
1581979800,9500,5
