timestamp,avg,qty
1575455700,1533,1105
1575544500,1610,1
1575759000,2024,8
1575816300,2500,1
1575834900,1750,2
1575867600,1513,1
1575900300,1513,1
1575933900,1500,64
1575975300,1500,1353
1576253700,1450,201
1576262100,1450,399
1576273500,1449,727
1576275600,1449,827
1576275900,1449,827
1576276800,1449,827
1576335300,1358,12
1576351500,1250,2
1576356900,1463,773
1576359000,1463,773
1576359300,1463,773
1576359600,1463,773
1576359900,1463,773
1576360500,1463,773
1576443000,1500,343
1576444800,1498,353
1576445100,1498,353
1576445700,1498,353
1576446300,1498,353
1576714500,1476,67
1576714800,1476,67
1576715100,1476,67
1576715400,1476,67
1576802100,1476,2
1576853100,1700,1
1577154900,1551,100
1577260500,1795,1
1577318700,1795,1
1577386200,2000,4
1577386500,2000,4
1577386800,2000,4
1577388000,2000,4
1577388300,2000,4
1577402700,1998,103
1577403300,1998,123
1577403600,1998,103
1577574000,2051,1
1577580300,3665,141
1577582400,3665,141
1577584200,3665,141
1577659200,3000,23
1577891700,1856,1
1577911800,1859,667
1578090000,2101,929
1578177900,2500,4
1578231300,2150,986
1578257400,2100,15
1578284100,2250,1
1578316200,2095,1
1578371400,2100,22
1578494100,2051,1
1578512400,2322,954
1578591900,2050,16
1578625500,1900,575
1578627300,1857,1
1578629100,2033,99
1578645900,1996,1
1578661500,1811,836
1578795000,2097,771
1578832800,2090,2
1578849600,1998,1247
1578855000,2095,1
1578857100,1998,2
1578858900,1901,1
1578932400,1950,3
1578965400,2342,27
1579001100,2646,1
1579098000,1980,572
1579192800,2497,322
1579549500,2055,402
1579587900,2056,1
1579806900,2375,1
1579886100,2237,1002
1579933200,2375,1
1580003100,2375,1
1580073300,2320,1049
1580142900,2435,2
1580148300,2306,2115
1580206800,2630,1
1580228400,2305,655
1580253600,2173,10
1580262600,2281,1
1580329200,2174,20
1580377800,2251,1
1580441100,2303,61
1580541000,2360,937
1580557800,2304,2
1580559600,2360,1
1580603400,2249,96
1580605200,2240,118
1580607000,2239,1025
1580608800,2240,1163
1580614500,2240,323
1580616300,2240,135
1580707500,2502,10
1580733900,2300,23
1580742900,2400,206
1580832900,2500,5
1580836500,2500,328
1580918100,2520,90
1580970900,2312,23
1580985600,2251,1
1581005700,2401,362
1581025500,2250,1004
1581058500,2249,25
1581256500,1951,1
1581258300,1951,1
1581260100,2200,652
1581261900,2200,652
1581274800,1951,1
1581278400,2059,1
1581292800,1970,1
1581294600,1970,1
1581327600,2000,4
1581378900,1675,2
1581616500,2000,263
1581687600,2000,571
1581720600,1754,2132
1581759300,1800,3031
1581765600,1909,1
1581775800,1798,26
1581795900,1800,962
1581959700,2400,1
1581974400,2300,2
1582034700,2250,1343
1582316700,2165,1772
1582364700,2081,1
1582590900,1800,11
1582850700,1722,461
1583003100,1999,432
1583016000,2000,22
1583026800,2023,366
1583028600,2000,258
1583030400,2000,881
1583069100,2047,4
1583074200,2026,15
1583083200,2040,7
1583092500,2000,1
1583200500,1999,926
1583253000,2000,204
1583256900,2019,1
1583257200,2019,38
1583257500,2019,1
1583332800,2000,855
1583353800,2119,1
1583638800,2285,290
1583811900,2223,455
1583883300,2177,1
1583885100,2177,1
1583895000,2369,51
1583957100,2200,5
1583975100,2597,46
1583984100,2250,31
1584195600,2165,1
1584493500,2149,113
1584654600,2083,1529
1584680400,2138,1
1584803100,2150,13
1584852300,1914,2
1584885300,2119,25
1585039500,1800,1
1585065300,2011,246
1585118100,2100,1182
1585147500,2150,10
1585175100,1907,21
1585180500,2002,1
1585281900,1800,10
1585322700,2096,769
1585331700,2088,825
1585361100,2100,20
1585362900,2100,20
1585449000,2085,14
1585507200,2088,290
1585554900,1800,1
1585623000,2050,627
1585696500,1744,1
1585700100,1888,1
1585701900,1887,97
1585707600,1835,12
1585839600,1575,1
1585845000,1600,3
1585865100,1900,30
1585868700,1900,1
1585955100,1575,1
1586104500,1497,64
1586191800,1575,431
1586197200,1600,23
1586521200,1745,1
1586598900,1701,1
1586700600,1749,109
1586702400,1932,419
1586704200,1997,852
1586706300,2000,537
1586718900,1701,1
1586817600,2369,160
1586819400,2445,102
1586863200,1800,101
1587076800,2000,1
1587156600,1938,812
1587254700,2005,477
1587305700,2135,1
1587369300,2001,1
1587520800,2100,183
1587577800,2016,1
1587579600,2016,1
1587629100,2016,1
1587751800,1704,483
1587753600,1704,483
1587876000,1992,32
1587894600,2000,311
1587912900,1893,46
1587920100,1976,41
1587993300,1976,67
1587995100,1976,1
1587996900,1976,1
1588002300,1901,3
1588065900,1980,1400
1588067700,1979,2900
1588069500,1978,1500
1588209900,1996,8
1588356900,1601,1
1588404300,1700,9
1588438800,1600,1
1588464300,1988,2
1588686000,1754,6
1588777500,1750,1
1588802700,1840,10
1588893600,1850,930
1589081100,1750,1
1589122800,1750,101
1589132100,1750,1
1589141100,1850,608
1589315100,1874,5604
1589334900,1750,25
1589509800,1842,2
1589522400,1580,1
1589524200,1580,1
1589732700,1826,4
1589748900,1577,1
1589766900,1800,17
1589931900,1739,1999
1590088200,1400,25
1590099300,1600,1
1590264000,1600,23
1590276900,1535,24
1590332700,1001,1237
1590334500,1001,1237
1590345600,836,2025
1590347400,1010,2619
1590349200,1600,600
1590360000,1100,1494
1590441600,1599,847
1590456000,1600,113
1590511500,1538,1
1590533100,1535,1
1590936000,1450,964
1590992100,1653,1
1591055700,1255,10
1591174500,1500,1
1591205400,1255,1
1591258200,1670,1
1591407600,1441,1
1591493100,1230,342
1591634100,1500,3
1591757400,1500,2001
1591825200,1500,1
1591830600,1500,1996
1592006700,1344,8
1592076000,1480,732
1592150400,1400,32
1592152500,1300,1
1592154300,1300,1
1592165100,1400,271
1592166900,1400,2
1592314200,1400,100
1592621400,500,1
1592626800,1300,1
1592634000,1300,1
1593091500,1000,1
1593166200,1001,1
1593177000,1179,1
1593381300,1294,26
1593383100,1300,26
1593525600,1290,911
1593529200,1269,3
1594038900,1500,1
1594058700,1500,23
1594107900,2500,1
1594172100,2096,1
1594228200,1600,1821
1594300800,1586,101
1594311600,1711,1
1594342500,2000,1
1594703100,1527,2
1595326500,1405,21
1595603400,1100,10
1595979900,1495,1336
1595998200,1460,1
1596132000,1537,8
1596133800,1537,8
1596474600,1502,1
1597271400,208,14
1597479900,1391,8
1597657200,1471,2
1597919100,1460,1
1597962900,1460,2
1597964700,1460,3
1598152800,1457,1
1598197200,1457,190
1598573100,1455,10
1598578800,1455,1
1598827500,1242,1
1598853000,750,2
1598881200,1242,1
1598881800,1242,1
1598882400,1242,1
1599196500,1350,100
1599758700,35,1
1600513800,1373,1
1600630200,1200,1
1601240700,1700,1
1601289600,1539,1
1601467800,1401,45
1601912100,1505,400
1602519900,2901,3
1602536100,3000,19
1602537900,3293,871
1602539700,3300,852
1602613800,3755,2
1602615000,3755,2
1602615900,3760,1
1602672000,3756,1
1602673800,3778,2
1602675600,3800,1
1602693600,3800,1
1602727500,3003,1
1602813000,2350,1
1602858300,3200,1
1602860100,3113,3
1602861900,3069,2
1602865500,2800,1
1602867300,2800,1
1602871200,3385,49
1602873000,3300,8
1602898200,2841,1
1602914700,2851,2
1603003200,3012,979
1603125300,3100,1
1603151700,2450,1
1603232700,3000,163
1603310700,2605,1
1603331700,2469,1
1603344600,2400,1
1603422300,2365,1
1603529700,2251,14
1603902000,2031,2
1603906500,1900,1
1604187300,2135,10
1604214300,2135,4
1604463600,2005,1
1604555700,1830,1
1604561400,1830,10
1605080700,1605,1
1605359700,1755,1
1605593700,1755,1
1605878100,1780,1
1606322700,1755,1
1606581000,1701,1
1606750800,1770,1
1606752000,1770,1
1606851600,2000,1
1606937700,1711,102
1607055300,1001,1
1607056500,1001,1
1607056800,1001,1
1607057400,1001,1
1607058300,1300,2
1607058600,1001,1
1607059200,1600,2
1607059800,1300,2
1607060100,1600,2
1607060400,1600,2
1607061000,1600,2
1607062200,1600,1
1607062500,1600,2
1607062800,1600,1
1607118000,1752,1
1607501100,1761,1
1607708400,1777,60
1607911500,1752,1
1607938800,1865,1
1607940600,1865,1
1608053100,1752,1
1608160200,1816,11
1608250200,1579,1
1608251700,1579,1
1608570300,1822,886
1608963600,1617,100
1609074900,1508,1
1609514100,1443,1
1609689900,1603,6
1610522400,1600,1
1611328500,2061,1
1611633300,1870,2
1611745800,1767,1
1611747000,1767,1
1611748800,2301,2
1611750600,2760,1001
1611752700,2571,544
1611754500,2304,2
1611756600,1659,1
1611774900,1922,2
1611790200,1954,134
1611791400,1954,134
1611793500,2018,46
1611869100,2050,1
1611871200,2050,1
1612190100,2152,93
1612207500,2100,50
1612209300,2100,526
1612213800,2100,475
1612215300,2100,1
1612275300,2002,187
1612275900,2002,225
1612284300,1751,1
1612285800,1751,1
1612286100,1751,1
1612288200,1751,1
1612288500,1751,2
1612288800,1751,1
1612289400,1751,1
1612290000,1751,1
1612290300,1751,1
1612293600,1755,1002
1612293900,1755,2
1612294200,1755,1002
1612300800,1756,1
1612302600,1756,1
1612305000,1756,1
1612370100,2022,1
1612480800,1680,1
1612516200,1850,1
1612516800,1850,1
1612517400,1850,1
1612517700,1850,1
1612518900,1850,1
1612519800,1850,1
1612560900,1900,1
1612628700,1987,189
1612646700,1887,5
1612648500,1887,5
1612704000,2001,40
1612705800,2001,41
1612706100,2001,41
