timestamp,avg,qty
1575095700,92,4388
1575462900,100,100
1575768300,22,10
1575803700,40,1000
1576639200,25,9110
1576765800,20,7093
1576769100,21,831
1576800300,19,1000
1576869600,16,1
1576964400,24,10
1576984500,21,1265
1576988100,28,5681
1576989900,29,5598
1577001000,22,28
1577033700,32,1
1577081100,28,10
1577458800,26,100
1577792100,23,1
1577810100,40,1000
1577828400,21,10
1577891700,23,656
1577895600,26,50
1577924700,25,563
1578000900,22,1
1578063000,23,2959
1578095400,22,100
1578128700,26,1
1578181500,40,60
1578181800,36,90
1578182100,40,60
1578182400,36,90
1578182700,40,60
1578183300,36,90
1578185700,29,30
1578268500,28,10
1578273900,29,810
1578274800,30,776
1578282300,35,100
1578416700,50,8
1578475500,30,80
1578806100,25,29
1578821100,24,113
1578899400,22,1913
1578918300,42,2
1578963600,40,2000
1579056300,20,143
1579121700,40,1100
1579134900,23,52
1579136700,20,6643
1579140300,21,1
1579380000,20,5000
1579576800,40,1010
1579602900,25,86
1579716300,30,1883
1579803300,16,1
1579931400,30,274
1580056800,17,1
1580113500,21,906
1580117400,22,26
1580185200,17,5000
1580244600,24,10
1580372400,18,1
1580428500,20,9966
1580444700,22,5000
1580542800,24,2194
1580544600,26,1947
1580621700,18,2110
1580623500,20,6360
1580625300,21,4250
1580647500,19,4663
1580651100,22,435
1580869200,18,500
1580872800,17,306
1580874600,18,353
1580883900,17,466
1580887500,18,731
1580965200,17,2000
1581016500,18,7100
1581029400,16,1
1581479700,24,5136
1581788700,25,1
1581801600,24,7000
1581869700,16,414
1581870300,28,6440
1581870900,16,414
1581871500,28,6440
1581873900,19,387
1581889500,15,676
1581997800,14,100
1582089000,13,50
1582439100,40,1334
1582441200,41,1420
1582443000,54,86
1582588200,38,100
1582729500,39,1
1582833900,15,1000
1582860600,12,1
1582906800,14,10
1583185500,15,1
1583262600,11,2
1583421900,12,883
1583444100,16,1900
1583717400,40,100
1583817600,15,100
1584081600,39,8602
1584231900,27,100
1584294300,19,1
1584299700,17,26
1584303300,19,3823
1584318000,20,10
1584398700,18,540
1584411300,17,100
1584479100,39,4056
1584777300,32,1
1585165800,37,1
1585173000,34,1
1585512600,25,1
1585628400,24,1000
1585766400,23,30
1585870500,21,2810
