timestamp,avg,qty
1574979000,3819,2
1574979600,4825,1
1574979900,3819,2
1574980800,2813,1
1574981100,3819,2
1574981700,2813,1
1575068100,9797,1
1575088500,6673,1
1575106500,6670,20
1575162900,5700,1
1575270300,4935,10
1575331800,4950,20
1575372000,4949,100
1575408000,4933,4
1575414000,4950,1
1575428100,4940,3
1575444600,4939,2
1575474600,4706,10
1575529200,4939,10
1575702000,4953,4
1575759000,3000,1
1575777300,4953,1000
1575830700,4000,1
1575904500,4699,3
1575909000,3000,1
1575941700,2641,32
1575942000,3000,2
1575942300,2641,32
1575999900,3999,1
1576031700,3295,1
1576139100,3500,20
1576255200,2189,1
1576532100,5650,1
1576537200,4479,10
1576613700,5650,4
1576696500,5402,30
1576809300,5650,10
1576945800,4250,10
1576982700,5650,1
1577037900,4393,5
1577113500,4180,1
1577311500,6173,1
1577342400,6172,1
1577375400,5791,2
1577377500,5411,1
1577377800,5791,2
1577378400,5411,1
1577378700,5791,2
1577386200,5154,20
1577389800,3999,1
1577666700,3333,30
1577811900,4419,10
1577833800,3790,1
1577937600,4074,10
1578053700,4451,1
1578117900,4149,1
1578162300,2998,1
1578170400,4074,1
1578177000,4999,1
1578332700,4299,10
1578375000,4055,10
1578593700,4413,5
1578618000,3287,1
1578758400,4458,8
1578793200,4400,10
1578926400,4998,1
1578948900,4774,100
1578954600,4996,1
1578971100,4995,1
1579023600,4107,1
1579047300,4989,1
1579103400,4980,1
1579202100,4311,20
1579227600,4950,1
1579314900,4939,10
1579335600,4930,1
1579394700,4929,10
1579428300,4928,1
1579458000,4613,2
1579515300,6173,1
1579616100,4197,1
1579654500,4100,10
1579770000,3769,1
1579781100,4038,111
1579790400,3482,5
1580082300,6449,10
1580128500,4160,1
1580223000,4715,11
1580233800,4587,2
1580235600,5056,3
1580237400,5995,1
1580262600,5988,10
1580273400,5987,10
1580287800,4114,1
1580325600,3764,50
1580428500,4400,1
1580524500,4335,70
1580603400,4242,2
1580660100,4260,10
1580691000,4250,1
1580722200,4151,100
1580751900,4254,1
1580764800,3805,11
1580790000,4213,10
1580814300,3615,1
1580817900,4195,31
1580819700,4215,30
1580832900,4242,100
1580836500,4266,1
1580874600,3264,1
1581103500,7550,1
1581192000,6162,1
1581197400,5012,100
1581199200,5003,101
1581201000,4125,1
1581226500,3917,2
1581232200,3915,40
1581364500,4330,20
1581459900,3864,5
1581470700,5990,5
1581485100,6000,1
1581660000,2707,32
1581667200,6163,1
1581689700,4483,5
1581843300,4333,2
1581908100,4293,10
1581966900,4300,2
1582032000,4200,1
1582049100,4055,1
1582085100,4000,1
1582122600,3300,1
1582130400,4055,1
1582237500,3847,2
1582289700,4198,1
1582340700,4200,1
1582362000,3316,1
1582408500,3883,10
1582430100,3673,1
1582500600,4200,1
1582585800,3673,1
1582632900,5968,10
1582659600,5800,1
1582665300,5969,10
1582855200,3113,1
1582873500,5000,10
1583010600,5968,1
1583158200,5790,3
1583290500,5968,1
1583381700,5965,1
1583418300,5964,1
1583544900,5797,1
1583595300,3925,3
1583651400,5794,1
1583653800,5616,1
1583654700,5794,1
1583655000,5616,1
1583691900,5793,1
1583826900,5787,10
1583898900,5589,114
1583900700,5787,100
1583949900,4182,1
1583978700,4233,1
1583980500,4127,2
1583982300,4022,1
1584059700,5788,1
1584221100,5968,15
1584290400,4575,3
1584332700,4358,1
1584405900,5559,3
1584435000,5968,1
1584462600,5950,10
1584608700,4390,1
1584625500,5968,4
1584667500,4387,1
1584718800,5968,1
1584877800,5965,5
1584903300,5968,100
1584980400,4021,1
1585061700,5899,1
1585292700,5885,1
1585311600,5893,1
1585350000,5800,1
1585374000,4928,2
1585412700,4026,1
1585469100,5799,5
1585489200,4460,1
1585494600,5531,25
1585498200,5799,10
1585505400,5272,9
1585507200,5245,19
1585509000,5221,10
1585563900,5683,5
1585571400,5221,176
1585580700,5683,2
1585608300,5222,249
1585613700,5221,61
1585650900,5683,1
1585744500,5647,1
1585757100,5639,1
1585779000,5073,11
1585872300,5071,1
1585874100,3090,105
1585877700,3071,4
1585926000,4351,1
1585929600,3732,20
1585931400,3797,30
1585933200,3928,10
1585958700,5399,1
1585960800,3076,457
1585962600,3071,456
1585999200,5053,1
1586013600,3253,11
1586030100,5070,10
1586058900,5399,1
1586135400,3081,492
1586137200,3076,491
1586153400,5398,4
1586228100,5399,1
1586297700,5176,1
1586301300,5399,10
1586376900,5395,1
1586412900,5399,1
1586622300,5007,2
1586640600,5399,1
1586669700,5398,1
1586709900,5399,3
1586812200,4298,2
