timestamp,avg,qty
1574973000,4740000,1
1574973300,4779656,5
1574973600,4740000,1
1574974200,4779656,5
1574974800,4805547,10
1574975400,4805636,12
1574976900,4805636,12
1574977200,4808521,8
1574977500,4805636,12
1574978100,4808521,8
1574978400,4816274,3
1574979000,4806755,6
1574979600,4816274,3
1574979900,4806755,6
1574980800,4799177,4
1574981100,4799177,4
1574981700,4799177,4
1574982600,4801711,4
1574982900,4801831,6
1574983200,4801711,4
1574983500,4783078,5
1574984400,4783078,5
1574984700,4783078,5
1574985000,4783078,5
1574985300,4767036,3
1574985600,4783078,5
1574986200,4763555,2
1574986500,4767036,3
1574987100,4793013,5
1574987700,4763555,2
1574988000,4790354,6
1574988300,4793013,5
1574988900,4790354,6
1574989500,4781757,9
1574990400,4783325,8
1574991000,4769173,4
1574991600,4783325,8
1574991900,4769173,4
1574992800,4756165,4
1574994300,4765071,8
1574996400,4762561,12
1574997900,4754420,8
1575000000,4758706,3
1575001500,4762528,3
1575003600,4775452,4
1575005100,4784134,5
1575007200,4807215,4
1575008700,4824376,4
1575010800,4831252,2
1575012000,4843652,4
1575014100,4843652,4
1575015900,4832608,2
1575018000,4832608,2
1575019800,4732000,1
1575021600,4733593,6
1575023700,4733911,5
1575026100,4744333,1
1575027000,4744333,1
1575029100,4744333,2
1575039900,4750441,2
1575040200,4750441,2
1575040500,4750441,2
1575040800,4750441,2
1575041100,4750441,2
1575041400,4750441,2
1575041700,4750441,2
1575042000,4752351,9
1575042600,4752078,7
1575042900,4752351,9
1575043500,4752735,10
1575043800,4752759,11
1575044100,4752735,10
1575044400,4752759,11
1575045000,4752735,10
1575045300,4726014,5
1575045600,4752759,11
1575045900,4707819,3
1575046500,4726014,5
1575046800,4707819,3
1575047700,4620000,1
1575049200,4699249,1
1575051000,4707457,4
1575052800,4722766,6
1575055200,4729564,6
1575056700,4728283,8
1575058500,4815170,23
1575060600,4847500,36
1575062100,4848285,35
1575062400,4849091,22
1575062700,4855321,19
1575063300,4849091,22
1575063600,4855321,19
1575064200,4872936,14
1575066000,4872556,9
1575067800,4868301,10
1575068100,4845024,7
1575069900,4848615,9
1575070500,4853259,9
1575070800,4848615,9
1575071400,4853259,9
1575071700,4864035,13
1575073500,4866157,17
1575073800,4865804,16
1575074400,4866157,17
1575075300,4859731,9
1575077100,4844865,2
1575079200,4863795,4
1575081000,4855524,7
1575082800,4853413,5
1575083700,4856574,3
1575084000,4853413,5
1575084600,4858351,4
1575086700,4853179,8
1575088500,4859012,8
1575090300,4860095,6
1575092100,4855331,9
1575092400,4854203,8
1575092700,4855331,9
1575093300,4854203,8
1575093600,4855331,9
1575093900,4861627,13
1575094200,4862090,14
1575095100,4861627,13
1575095700,4866746,8
1575097500,4830000,1
1575099600,4864269,6
1575101400,4864270,6
1575102000,4855853,5
1575102900,4853955,5
1575105300,4858263,7
1575105900,4862971,6
1575106500,4852266,4
1575106800,4862971,6
1575107400,4852266,4
1575108600,4841902,3
1575108900,4842345,3
1575109800,4846921,4
1575111300,4848890,3
1575111600,4844171,4
1575112200,4848890,3
1575112500,4841623,4
1575112800,4848890,3
1575113100,4841623,4
1575113700,4849570,5
1575114300,4852039,5
1575114600,4849570,5
1575114900,4851311,9
1575115800,4853546,11
1575116100,4851311,9
1575116400,4853546,11
1575117300,4850000,10
1575117600,4858258,9
1575117900,4850000,10
1575118500,4883402,8
1575118800,4858258,9
1575119100,4883402,8
1575120300,4891716,7
1575122400,4873333,3
1575123000,4900000,6
1575123600,4873333,3
1575123900,4900000,6
1575125100,4900500,12
1575125700,4903285,14
1575126300,4912300,20
1575126900,4915440,25
1575127200,4912300,20
1575127800,4915440,25
1575128400,4918425,25
1575129600,4917625,25
1575129900,4912025,25
1575130500,4914636,23
1575132000,4912850,20
1575132300,4913526,19
1575132900,4912850,20
1575133200,4913526,19
1575133800,4924000,9
1575134400,4901188,5
1575135000,4904204,4
1575135300,4901188,5
1575135600,4904204,4
1575135900,4913096,8
1575136200,4904204,4
1575136800,4913331,10
1575137700,4916047,8
1575138000,4913331,10
1575138600,4916047,8
1575139500,4919095,9
1575139800,4919123,10
1575140400,4919095,9
1575140700,4919875,9
1575141000,4919123,10
1575141300,4916200,9
1575141900,4919875,9
1575142200,4916200,9
1575142500,4919594,11
1575143100,4916908,16
1575143400,4919594,11
1575143700,4916908,16
1575144600,4916134,15
1575146100,4919583,12
1575146400,4918800,15
1575146700,4919375,8
1575147900,4920000,4
1575150600,4881396,4
1575151800,4882058,7
1575153300,4882849,4
1575153600,4882058,7
1575153900,4882849,4
1575154200,4882849,4
1575155100,4882849,4
1575155700,4882991,2
1575156900,4890016,4
1575157200,4882991,2
1575157500,4890016,4
1575157800,4890016,4
1575158100,4890016,4
1575158400,4890016,4
1575158700,4890016,4
1575159300,4889843,21
1575160800,4889447,18
1575161400,4889447,18
1575161700,4889447,18
1575162000,4889447,18
1575162900,4835835,1
1575163200,4865960,3
1575164100,4835835,1
1575164700,4870204,3
1575165000,4887389,2
1575165600,4870204,3
1575165900,4887389,2
1575166200,4887389,2
1575166500,4875868,3
1575166800,4887389,2
1575167100,4875868,3
1575167400,4887389,2
1575167700,4875868,3
1575168300,4863799,3
1575168600,4855699,2
1575168900,4863799,3
1575170100,4867857,3
1575171900,4874898,7
1575172800,4874898,7
1575173100,4874898,7
1575173700,4868049,10
1575175500,4869943,13
1575176100,4873774,21
1575176700,4869943,13
1575177300,4876296,22
1575179400,4869374,6
1575181200,4868175,3
1575183000,4872201,7
1575183300,4872872,6
1575184500,4872201,7
1575184800,4875011,6
1575186600,4883059,4
1575189000,4869237,8
1575189600,4869237,8
1575189900,4869237,8
1575190200,4850117,4
1575190500,4869237,8
1575190800,4850117,4
1575192300,4842346,3
1575192900,4842346,3
1575193500,4842346,3
1575194100,4842346,3
1575194700,4848972,8
1575196500,4855663,7
1575203700,4674717,2
1575204000,4751414,6
1575204300,4674717,2
1575204900,4752792,7
1575205200,4751414,6
1575205800,4752792,7
1575206100,4777542,8
1575206400,4752792,7
1575206700,4777542,8
1575207000,4801742,12
1575207300,4777542,8
1575207600,4801742,12
1575208800,4812951,9
1575209100,4807762,10
1575209400,4807255,9
1575209700,4812951,9
1575210000,4807255,9
1575211800,4769844,3
1575212100,4785060,5
1575212400,4769844,3
1575213300,4781914,13
1575214500,4786806,16
1575214800,4781914,13
1575215100,4785818,17
1575215700,4786806,16
1575216000,4787683,13
1575216600,4785818,17
1575216900,4779600,5
1575217200,4787683,13
1575217800,4779600,5
1575218700,4780000,1
1575219300,4784500,4
1575219600,4780000,1
1575219900,4781913,4
1575220500,4782550,3
1575222300,4784271,7
1575222900,4783483,5
1575223200,4786849,5
1575223800,4784271,7
1575224100,4786849,5
1575224400,4798597,8
1575224700,4786849,5
1575225000,4798597,8
1575225900,4814979,14
1575227100,4816804,22
1575228000,4816159,21
1575228300,4816804,22
1575228600,4816159,21
1575228900,4817090,26
1575229200,4816159,21
1575229800,4817090,26
1575230100,4816270,27
1575230700,4814912,19
1575232200,4810294,23
1575232800,4814084,20
1575233400,4808183,14
1575234000,4806502,12
1575234300,4808183,14
1575235200,4806502,12
1575235800,4804348,3
1575237300,4808831,2
1575238800,4823770,14
1575239100,4808644,3
1575239400,4823770,14
1575239700,4826260,12
1575240300,4823770,14
1575240600,4825082,15
1575242100,4826283,14
1575242700,4825219,5
1575243600,4826016,6
1575243900,4825219,5
1575244200,4826016,6
1575244800,4833009,8
1575246300,4830786,11
1575248100,4826788,13
1575250200,4827747,27
1575250500,4827788,26
1575252000,4828525,20
1575253800,4771666,3
1575255600,4781250,4
1575257400,4810000,1
1575259200,4849438,12
1575261000,4848417,15
1575261600,4848417,15
1575262500,4848417,15
1575262800,4842275,13
1575263100,4841325,11
1575263400,4842275,13
1575264000,4841325,11
1575264300,4842275,13
1575264600,4842631,15
1575266400,4840323,9
1575268200,4800004,1
1575270300,4800705,2
1575272100,4826575,17
1575272700,4822941,21
1575273000,4826575,17
1575273300,4822941,21
1575273600,4822005,22
1575275400,4803752,5
1575277500,4813322,2
1575279000,4813322,4
1575281100,4831332,9
1575281700,4836478,7
1575282000,4831332,9
1575282300,4836478,7
1575282600,4840337,6
1575287700,4813112,2
1575291900,4760952,21
1575294600,4760000,4
1575294900,4760000,15
1575295500,4760000,4
1575295800,4760000,4
1575296100,4760000,4
1575297000,4760000,4
1575298800,4286129,2
1575300300,4286129,2
1575302100,4700000,1
1575303300,4677498,2
1575303900,4679724,4
1575304200,4677498,2
1575304500,4679724,4
1575306300,4672966,3
1575306600,4681950,2
1575307800,4705782,2
1575308100,4704334,3
1575308400,4705782,2
1575309000,4704334,3
1575309300,4705782,2
1575309600,4705733,4
1575311400,4720779,4
1575311700,4706824,5
1575312000,4720779,4
1575312300,4720779,4
1575312600,4720779,4
1575313200,4724395,3
1575315000,4800955,3
1575315300,4731622,3
1575315600,4800955,3
1575315900,4800955,3
1575317100,4785716,4
1575320400,4756715,3
1575320700,4746376,2
1575321000,4758690,6
1575321300,4756715,3
1575321600,4758690,6
1575321900,4756715,3
1575322200,4758690,6
1575322800,4753217,11
1575324600,4743469,13
1575324900,4744392,13
1575325500,4743469,13
1575325800,4736388,17
1575326100,4743469,13
1575326400,4736388,17
1575327900,4733476,18
1575328200,4729172,15
1575328500,4733476,18
1575329100,4729172,15
1575329400,4709439,9
1575329700,4729172,15
1575330000,4709439,9
1575331200,4711772,5
1575331800,4712714,7
1575332100,4711772,5
1575332400,4712714,7
1575333300,4716161,4
1575333600,4716161,4
1575333900,4716161,4
1575334500,4716161,4
1575334800,4680911,4
1575335400,4669836,3
1575335700,4680911,4
1575336300,4669836,3
1575336900,4674400,5
1575338700,4693833,6
1575339600,4693833,6
1575339900,4693833,6
1575340200,4693833,6
1575340500,4691163,6
1575342600,4692830,6
1575343500,4696196,5
1575343800,4692830,6
1575344100,4696387,4
1575344400,4696387,4
1575344700,4696387,4
1575345300,4696387,4
1575346200,4697721,6
1575346800,4697213,5
1575347100,4697721,6
1575347400,4697213,5
1575347700,4690207,5
1575348900,4690207,5
1575349200,4690207,5
1575349500,4690207,5
1575350100,4687165,6
1575350700,4689035,7
1575351000,4687165,6
1575351600,4693183,4
1575352200,4693183,4
1575352800,4693183,4
1575353100,4686728,3
1575354900,4690155,5
1575355500,4683462,6
1575355800,4690155,5
1575356100,4683462,6
1575357300,4682841,11
1575358800,4682026,10
1575360900,4662502,2
1575361800,4662502,2
1575362400,4672333,3
1575364200,4683228,5
1575364500,4679774,6
1575364800,4683228,5
1575366000,4678088,9
1575368100,4673229,5
1575373800,4671602,1
1575379200,4717990,1
1575382800,4691538,3
1575384600,4693653,4
1575386400,4702083,6
1575388200,4702500,5
1575390000,4697045,5
1575393600,4681223,9
1575395400,4690401,13
1575397500,4703229,8
1575399000,4704717,7
1575400800,4707307,10
1575402600,4709984,15
1575404700,4710013,14
1575406200,4716882,13
1575406500,4718983,10
1575406800,4716882,13
1575407100,4718983,10
1575407700,4716882,13
1575408000,4723399,10
1575410400,4724071,9
1575411900,4729408,12
1575414000,4731490,9
1575414600,4733341,10
1575414900,4731490,9
1575415200,4733341,10
1575415500,4731499,9
1575416100,4722682,5
1575416700,4731499,9
1575417300,4722682,5
1575417600,4712714,6
1575418200,4712714,6
1575418500,4712714,6
1575418800,4712714,6
1575419100,4712714,6
1575419400,4698626,3
1575420300,4698626,3
1575420900,4691342,2
1575421800,4691342,2
1575422700,4682682,1
1575423000,4688208,3
1575423600,4682682,1
1575424500,4688208,3
1575424800,4691511,9
1575425100,4695450,8
1575425400,4691511,9
1575425700,4695450,8
1575426000,4691511,9
1575426600,4692997,23
1575427200,4692817,22
1575428100,4691247,21
1575430200,4684308,6
1575430800,4684308,6
1575431100,4684308,6
1575431700,4679185,3
1575432000,4684308,6
1575432300,4679185,3
1575433500,4704729,12
1575434700,4704729,12
1575435000,4704729,12
1575435300,4704729,12
1575437700,4688197,6
1575439200,4693079,5
1575441000,4701761,3
1575442800,4705978,4
1575444000,4708599,3
1575444300,4705978,4
1575444600,4708599,3
1575445800,4708599,3
1575446100,4708599,3
1575446400,4708599,3
1575446700,4699080,3
1575447300,4699080,3
1575447900,4699080,3
1575448500,4701942,6
1575453600,4709902,5
1575455700,4710629,4
1575458100,4728587,4
1575458700,4728587,4
1575459600,4723172,2
1575470700,4730000,2
1575472500,4731001,3
1575473400,4730000,2
1575473700,4745388,4
1575474000,4731001,3
1575474300,4745388,4
1575474600,4742877,5
1575474900,4745388,4
1575475500,4741186,6
1575475800,4742877,5
1575476100,4741186,6
1575477300,4742822,5
1575477600,4732731,1
1575477900,4732731,1
1575478500,4732731,1
1575478800,4732731,1
1575479700,4739087,5
1575480300,4736001,3
1575480900,4739087,5
1575481500,4739529,6
1575481800,4759764,12
1575482400,4739529,6
1575482700,4759764,12
1575483300,4764660,10
1575483900,4761078,10
1575484200,4764660,10
1575484500,4752755,8
1575484800,4761078,10
1575485400,4731512,6
1575485700,4752755,8
1575486300,4731512,6
1575486600,4731251,7
1575486900,4731512,6
1575487200,4733428,5
1575488100,4746827,5
1575488400,4733428,5
1575488700,4746827,5
1575489900,4745530,4
1575490800,4749073,14
1575492000,4741802,15
1575493200,4743466,17
1575493500,4741802,15
1575493800,4744813,12
1575494100,4743466,17
1575494400,4744813,12
1575495000,4736861,11
1575496200,4741528,8
1575496800,4743084,10
1575497400,4741528,8
1575498000,4753316,4
1575498300,4734829,5
1575499200,4753316,4
1575499500,4755963,3
1575500100,4759802,2
1575500400,4755963,3
1575500700,4759802,2
1575501000,4752822,2
1575501300,4759802,2
1575501900,4752822,2
1575502200,4753256,5
1575502500,4752822,2
1575502800,4753256,5
1575504300,4747095,17
1575504600,4747264,17
1575505200,4747095,17
1575505500,4745256,16
1575507000,4744509,12
1575507600,4746089,8
1575508200,4744920,8
1575508800,4746089,8
1575509100,4739358,13
1575509400,4744920,8
1575510000,4739358,13
1575514200,4729302,3
1575514800,4731949,2
1575515100,4729302,3
1575515400,4731949,2
1575517800,4731677,2
1575518100,4731949,2
1575518400,4731677,2
1575518700,4733100,1
1575520200,4733100,1
1575522000,4782398,2
1575522900,4782398,2
1575524400,4782398,2
1575525000,4782398,2
1575526500,4814342,4
1575527400,4814342,4
1575528000,4814342,4
1575528300,4814342,4
1575529200,4815845,3
1575529500,4814342,4
1575529800,4815845,3
1575531900,4828495,5
1575532800,4815144,8
1575534600,4820381,14
1575535500,4823970,13
1575536100,4820381,14
1575536400,4831965,11
1575537300,4814524,5
1575537600,4831965,11
1575537900,4814524,5
1575538200,4808905,4
1575538800,4814524,5
1575539100,4808905,4
1575539400,4803333,3
1575540000,4808905,4
1575540300,4803333,3
1575542100,4803333,3
1575542700,4797500,4
1575544500,4812573,4
1575544800,4812573,4
1575548400,4818400,5
1575548700,4819358,5
1575549000,4818400,5
1575549300,4817197,4
1575552600,4820000,1
1575556500,4820000,1
1575561600,4873962,4
1575563400,4855933,5
1575564000,4873962,4
1575564300,4861506,5
1575564600,4855933,5
1575564900,4861506,5
1575566100,4855551,5
1575567300,4850669,3
1575567900,4847659,2
1575568500,4850669,3
1575568800,4847659,2
1575569100,4867850,2
1575569400,4847659,2
1575569700,4900000,1
1575570000,4867850,2
1575570300,4900000,1
1575570600,4900000,2
1575570900,4900000,1
1575571500,4900000,2
1575571800,4909518,4
1575574200,4916978,12
1575576000,4918208,15
1575576300,4920474,16
1575576600,4918208,15
1575576900,4920474,16
1575577800,4921299,19
1575578400,4920979,17
1575578700,4919622,14
1575579300,4920979,17
1575579600,4926822,9
1575579900,4919622,14
1575580200,4926822,9
1575580800,4929328,11
1575581700,4932964,11
1575583200,4925991,11
1575583500,4932727,11
1575584100,4927523,13
1575584400,4925991,11
1575585000,4927523,13
1575585900,4925440,15
1575586500,4924780,15
1575587100,4925475,12
1575588900,4924724,8
1575589500,4940000,4
1575590100,4940000,4
1575590400,4940000,4
1575590700,4929818,6
1575591300,4924438,8
1575593100,4919130,6
1575593700,4923479,10
1575594000,4919130,6
1575594300,4919176,5
1575594900,4919820,4
1575595200,4919176,5
1575595500,4919820,4
1575595800,4919176,5
1575596100,4919820,4
1575596400,4923496,2
1575598200,4926230,5
1575598800,4927482,6
1575600000,4930225,7
1575600600,4934141,8
1575601200,4930225,7
1575601500,4934965,9
1575602100,4934141,8
1575602400,4936066,8
1575603300,4937452,5
1575604800,4932626,3
1575605100,4937452,5
1575605400,4932626,3
1575606300,4955358,8
1575607200,4948698,11
1575607800,4948698,11
1575608100,4948698,11
1575608400,4948698,11
1575608700,4948698,11
1575609000,4948698,11
1575609300,4939808,10
1575609600,4948698,11
1575609900,4939808,10
1575610200,4922603,7
1575611100,4916353,4
1575611400,4922603,7
1575611700,4916353,4
1575612600,4922103,2
1575614400,4926357,3
1575615000,4926357,3
1575615600,4926357,3
1575617100,4926357,3
1575618300,4900000,1
1575618600,4926357,3
1575618900,4900000,1
1575619500,4917333,3
1575621900,4926000,2
1575623100,4926000,2
1575623700,4926609,1
1575625200,4926609,1
1575625500,4926609,1
1575625800,4926609,1
1575626400,4926609,1
1575627000,4926609,1
1575627300,4934521,2
1575627600,4926609,1
1575628200,4934521,2
1575628500,4937011,4
1575628800,4934521,2
1575629100,4937011,4
1575629400,4937011,4
1575629700,4937011,4
1575630000,4937011,4
1575630900,4966480,26
1575631200,4961449,19
1575631800,4966480,26
1575632700,4970000,15
1575633900,4969000,2
1575634200,4970000,15
1575634500,4969000,2
1575634800,4969000,4
1575635100,4969000,2
1575635400,4969000,5
1575638700,4964500,17
1575639300,4966327,26
1575639600,4964500,17
1575639900,4966327,26
1575640500,4965525,20
1575641100,4962094,16
1575642000,4948500,2
1575644100,4923660,10
1575645000,4923178,9
1575646500,4924273,11
1575646800,4924097,10
1575647100,4924273,11
1575648600,4929204,2
1575649200,4933626,2
1575649500,4929204,2
1575649800,4933626,2
1575650100,4942750,2
1575650400,4933626,2
1575650700,4942750,2
1575651300,4942750,2
1575651600,4942750,2
1575651900,4949167,3
1575652800,4954178,4
1575653400,4949167,3
1575653700,4954178,4
1575654600,4957476,3
1575655500,4957476,3
1575655800,4959748,4
1575656100,4957476,3
1575656400,4964715,4
1575656700,4959748,4
1575657000,4964715,4
1575657300,4959748,4
1575657600,4964715,4
1575657900,4964715,4
1575658200,4964715,4
1575659400,5296447,2
1575659700,5056898,5
1575660000,5204298,3
1575661800,5079088,3
1575663600,5030000,3
1575664500,5035000,2
1575664800,5030000,3
1575665100,5094316,2
1575665400,5035000,2
1575665700,5094316,2
1575666900,5142559,6
1575667800,5146420,13
1575668100,5142559,6
1575668400,5146420,13
1575669300,5112775,18
1575669600,5112775,18
1575670200,5112775,18
1575670800,5103499,16
1575671400,5060025,5
1575672300,5083128,4
1575672600,5060025,5
1575672900,5083128,4
1575674400,5094585,6
1575674700,5096996,8
1575675300,5094585,6
1575675900,5102122,9
1575676200,5096996,8
1575676500,5102122,9
1575676800,5106370,6
1575677100,5102122,9
1575677700,5106370,6
1575678000,5106370,6
1575678300,5109563,2
1575679200,5106370,6
1575679800,5109563,2
1575680100,5157228,8
1575680400,5111960,4
1575680700,5157228,8
1575681300,5111960,4
1575681600,5157228,8
1575681900,5161980,9
1575682200,5168478,8
1575683700,5184231,2
1575685800,5166833,6
1575687300,5179389,12
1575687600,5179389,12
1575688200,5179389,12
1575688500,5179389,12
1575688800,5179389,12
1575689100,5178424,11
1575689700,5170014,9
1575690000,5178424,11
1575690900,5170014,9
1575691200,5130127,5
1575691500,5118972,4
1575692700,5140605,6
1575694500,5155871,5
1575696300,5137205,3
1575697200,5137205,3
1575697800,5137205,3
1575698100,5137205,3
1575698400,5110000,1
1575700200,5154197,8
1575700800,5154302,9
1575701400,5154197,8
1575701700,5154302,9
1575702000,5153559,6
1575703800,5160578,2
1575705900,5139803,4
1575707700,5151356,4
1575708000,5140047,3
1575708900,5151356,4
1575709500,5152571,6
1575711000,5151469,7
1575711600,5150857,6
1575712200,5151469,7
1575712500,5150857,6
1575713100,5150000,3
1575715200,5138631,7
1575717000,5136635,5
1575718500,5134590,4
1575720300,5132500,4
1575720600,5132785,11
1575720900,5134063,10
1575721200,5132785,11
1575722100,5130053,12
1575722400,5130966,11
1575723000,5130053,12
1575723600,5130966,11
1575724500,5120731,5
1575725400,5120609,6
1575725700,5121827,2
1575726300,5121827,2
1575726600,5121827,2
1575726900,5121827,2
1575727200,5121827,2
1575727500,5109695,4
1575728400,5107759,5
1575728700,5109695,4
1575729300,5107759,5
1575729600,5107759,5
1575729900,5107759,5
1575731100,5098879,3
1575731700,5098313,2
1575732300,5098879,3
1575732900,5098237,6
1575733500,5098631,7
1575733800,5098237,6
1575735000,5105110,12
1575736200,5104059,11
1575736500,5105110,12
1575736800,5104059,11
1575737100,5109646,7
1575737400,5105850,8
1575738600,5089760,3
1575738900,5092626,3
1575739500,5089760,3
1575739800,5092626,3
1575740400,5104509,7
1575740700,5104793,8
1575741000,5104509,7
1575741300,5104793,8
1575741900,5104509,7
1575742500,5112093,5
1575744300,5122319,5
1575746100,5150256,14
1575746700,5147244,16
1575747900,5153408,13
1575748200,5154476,12
1575749100,5153408,13
1575749400,5154476,12
1575750000,5162908,12
1575751200,5146898,10
1575751500,5178095,20
1575752400,5178095,20
1575752700,5178095,20
1575753000,5178095,20
1575753300,5191000,13
1575753900,5170505,4
1575754800,5191000,13
1575755100,5170864,3
1575757500,5169008,71
1575759000,5169156,85
1575760800,5167894,34
1575762900,5160868,22
1575763200,5160868,22
1575764100,5160868,22
1575764700,5144311,5
1575765600,5144311,5
1575765900,5144311,5
1575766500,5150506,10
1575767700,5145533,5
1575768000,5150506,10
1575768300,5144424,17
1575769200,5144733,18
1575770100,5142861,19
1575770400,5140283,13
1575770700,5142861,19
1575771000,5140283,13
1575771300,5142861,19
1575771900,5145258,14
1575772200,5144693,12
1575772800,5145258,14
1575773400,5144693,12
1575773700,5142560,12
1575774300,5142372,10
1575774900,5142560,12
1575775200,5142372,10
1575775500,5137287,6
1575775800,5142372,10
1575776100,5137287,6
1575777000,5137142,5
1575777300,5147424,3
1575777600,5137142,5
1575777900,5147424,3
1575778500,5138671,3
1575778800,5147424,3
1575779100,5138671,3
1575779400,5128001,7
1575779700,5138671,3
1575780000,5128001,7
1575781200,5126521,7
1575781500,5126521,7
1575781800,5125781,5
1575782700,5155298,3
1575783300,5125781,5
1575783600,5155298,3
1575784500,5189948,4
1575785100,5184581,5
1575786000,5185563,9
1575786600,5179606,12
1575786900,5185563,9
1575787800,5179606,12
1575788100,5173897,15
1575788700,5174724,14
1575789900,5149066,14
1575791100,5149066,14
1575791700,5149066,14
1575792000,5129897,8
1575793800,5130229,2
1575799500,5123000,1
1575807300,5039140,1
1575807600,5039140,1
1575807900,5039140,1
1575808500,5039140,1
1575808800,5048123,2
1575810600,5093583,7
1575810900,5106280,11
1575811800,5093583,7
1575812100,5106280,11
1575812400,5117704,17
1575813300,5123035,18
1575813900,5117704,17
1575814200,5129222,18
1575814500,5123035,18
1575814800,5128647,17
1575815100,5129222,18
1575815400,5128647,17
1575815700,5129222,18
1575816300,5113392,18
1575816900,5109711,24
1575817500,5113392,18
1575818100,5109711,24
1575818400,5092650,26
1575819000,5094168,23
1575819900,5092497,23
1575820200,5088227,15
1575820500,5092497,23
1575821100,5088227,15
1575821400,5092497,23
1575821700,5088227,15
1575822000,5104693,12
1575822600,5104693,12
1575823200,5104693,12
1575823500,5104693,12
1575823800,5097405,20
1575824100,5096277,13
1575824400,5097405,20
1575825600,5094974,21
1575825900,5099702,19
1575826200,5094974,21
1575826500,5099702,19
1575826800,5094974,21
