timestamp,avg,qty
1574975400,52,20
1574979000,51,20
1574979600,52,30
1574979900,51,20
1574982600,52,220
1574983500,53,200
1574985300,51,10
1574997900,53,1000
1575003600,51,1411
1575007200,52,1010
1575008700,53,1000
1575010800,51,1
1575014100,53,5
1575036300,52,3748
1575036600,53,2595
1575037200,52,3748
1575037500,53,2595
1575038100,52,3748
1575039600,51,1153
1575068100,52,2830
1575071700,53,10
1575072300,52,11
1575073200,53,10
1575073500,52,20
1575079200,53,10
1575081000,51,2010
1575088500,52,1200
1575092100,51,14827
1575112500,52,1000
1575112800,51,1001
1575113100,52,1000
1575117300,54,400
1575117600,53,460
1575117900,54,400
1575118500,51,5344
1575118800,53,460
1575119100,51,5344
1575122400,53,371
1575122700,51,5256
1575123000,54,250
1575123600,53,371
1575123900,54,250
1575125100,51,1
1575125700,52,2
1575128400,54,2001
1575133800,52,420
1575134400,51,620
1575139500,52,40
1575139800,51,20
1575140400,52,40
1575140700,51,20
1575144600,52,600
1575147900,53,10
1575149700,54,20
1575150000,53,10
1575150300,54,20
1575151800,56,10
1575153300,51,610
1575153600,56,10
1575153900,51,620
1575155700,52,1621
1575156000,51,620
1575156300,52,1621
1575156900,53,1011
1575157200,52,1621
1575157500,53,1001
1575162900,51,10
1575163200,53,801
1575164100,51,10
1575166500,56,5
1575166800,51,10
1575167100,56,5
1575167400,51,10
1575167700,56,5
1575170100,55,3011
1575171900,53,710
1575172800,54,11
1575173100,53,710
1575179400,52,1750
1575183000,56,1
1575184800,53,11
1575192300,51,600
1575199800,53,10
1575204900,54,700
1575205200,53,2600
1575205800,54,700
1575210600,52,10
1575211800,55,410
1575212100,52,10
1575212400,55,410
1575218700,53,20
1575219300,54,20
1575219600,53,20
1575221400,52,130
1575222300,50,186789
1575222900,52,130
1575223200,50,186790
1575225900,51,411
1575227100,52,1415
1575232200,56,10
1575235800,53,20
1575238800,55,20
1575239100,53,30
1575239400,55,20
1575242700,56,1900
1575249000,52,10035
1575252900,54,26
1575253800,55,6
1575257400,53,10
1575259200,54,40
1575261000,55,30
1575266400,53,10
1575273600,51,10
1575320400,53,40
1575320700,51,1020
1575321000,53,40
1575335400,50,14055
1575344100,54,111
1575350100,53,210
1575353100,54,410
1575354600,56,10
1575375600,53,2000
1575379200,56,10
1575381000,53,4010
1575386400,56,10
1575390000,55,1
1575395400,53,10
1575397500,55,701
1575400800,52,2315
1575408000,55,10
1575411900,54,1020
1575417600,53,520
1575422700,56,100
1575424800,54,185
1575426600,53,85
1575428100,54,20
1575430800,56,10
1575431100,54,30
1575431700,56,10
1575435900,54,10012
1575439200,56,10
1575442800,53,10
1575444600,57,5014
1575446700,58,5004
1575448800,56,1000
1575450000,55,1021
1575453600,56,1000
1575459600,57,1
1575479700,55,1019
1575483300,53,4130
1575490800,55,31
1575492000,54,241
1575496200,55,20
1575498000,54,2020
1575501000,53,230
1575501300,54,2000
1575501900,53,230
1575511800,52,13392
1575514800,53,1025
1575515100,52,1537
1575515400,53,787
1575516900,55,465
1575517800,54,1140
1575518100,55,465
1575518400,54,1140
1575519600,57,6011
1575519900,54,1011
1575520200,57,5001
1575522000,58,1733
1575522600,57,5001
1575522900,58,1733
1575540900,52,2
1575546600,56,7
1575548400,57,1007
1575551100,56,650
1575553200,54,950
1575553500,56,650
1575553800,54,950
1575555000,52,300
1575559200,51,25
1575559500,52,1065
1575559800,51,25
1575561600,54,10
1575561900,51,10
1575562200,54,10
1575566100,55,10
1575570600,52,120
1575570900,55,20
1575571500,52,120
1575572700,56,331
1575573000,52,121
1575573300,56,331
1575574200,58,1411
1575576300,59,1030
1575576600,58,1411
1575576900,59,1030
1575577800,57,1242
1575578400,53,212
1575578700,56,1596
1575579300,53,212
1575579600,56,1596
1575580800,57,1384
1575583200,52,110
1575587100,53,2151
1575593100,55,3000
1575597000,54,4323
1575598200,57,7271
1575601500,55,15
1575602100,57,5866
1575602400,55,10
1575603300,54,13000
1575607200,53,4703
1575607800,54,3303
1575608100,53,4703
1575608400,54,3303
1575608700,53,4703
1575609000,54,3303
1575613500,53,5001
1575619500,55,10
1575630900,53,204
1575635400,54,10
1575638700,55,305
1575640500,54,1510
1575642000,55,11530
1575648600,53,1
1575657600,54,1020
1575657900,53,5976
1575658200,54,1020
1575658500,53,2420
1575658800,54,1020
1575659400,53,2722
1575663600,54,500
1575665100,53,1400
1575665400,54,500
