timestamp,avg,qty
1574973000,1483062,1
1574973300,1494354,3
1574973600,1483062,1
1574974200,1494354,3
1574974800,1500000,3
1574977200,1483029,2
1574977500,1500000,3
1574978100,1483029,2
1574982600,1479420,3
1574982900,1480000,2
1574983200,1479420,3
1574983500,1478315,4
1574985300,1476631,2
1574985600,1478315,4
1574986200,1475000,1
1574986500,1476631,2
1574987100,1465918,1
1574987700,1475000,1
1574988000,1462224,2
1574988300,1465918,1
1574988900,1462224,2
1574989500,1465817,4
1574991000,1465784,3
1574991600,1465817,4
1574991900,1465784,3
1574994300,1480000,1
1574996400,1475000,2
1575000000,1456196,5
1575001500,1451380,7
1575003600,1452199,5
1575005100,1460773,3
1575007200,1458673,1
1575008700,1457509,2
1575010800,1456345,1
1575014100,1491531,2
1575015900,1493265,4
1575018000,1495000,2
1575019800,1500000,1
1575023700,1498746,2
1575025200,1495663,3
1575027300,1489498,1
1575036000,1486530,2
1575038100,1489998,1
1575038400,1486530,2
1575038700,1489998,1
1575039600,1487000,1
1575043500,1480000,1
1575045300,1475946,2
1575045600,1480000,1
1575045900,1475946,2
1575047700,1471892,1
1575051000,1480000,1
1575051900,1474000,2
1575052800,1480000,1
1575053100,1472000,3
1575055200,1468000,1
1575056700,1441878,3
1575058500,1430786,4
1575060600,1419903,4
1575062100,1426536,3
1575062400,1418608,1
1575064200,1440000,1
1575068100,1436000,1
1575069900,1433605,2
1575071700,1431211,1
1575073500,1399000,1
1575075300,1398571,5
1575077100,1397928,2
1575081600,1399000,1
1575082800,1384749,4
1575083700,1384339,5
1575084000,1384749,4
1575084600,1386523,8
1575086700,1380240,5
1575088500,1331712,1
1575099600,1329593,1
1575105300,1339998,2
1575106500,1359855,3
1575106800,1339998,2
1575107400,1359855,3
1575108900,1413457,10
1575109800,1414736,13
1575110400,1416000,12
1575110700,1414736,13
1575111300,1416000,12
1575112500,1419000,1
1575112800,1416000,12
1575113100,1419000,1
1575113700,1350000,1
1575133800,1369000,2
1575136800,1350000,1
1575137700,1346640,3
1575138000,1350000,1
1575138600,1346640,3
1575139500,1345980,4
1575140700,1344640,3
1575141000,1345980,4
1575141300,1344000,1
1575141900,1344640,3
1575142200,1344000,1
1575147900,1325687,3
1575148800,1319265,4
1575149100,1325687,3
1575149400,1319265,4
1575150600,1315212,5
1575150900,1319265,4
1575151200,1315212,5
1575151800,1299500,2
1575153300,1298461,2
1575153600,1299500,2
1575153900,1308838,3
1575154200,1298461,2
1575155100,1308838,3
1575155700,1309351,6
1575156900,1311980,7
1575157200,1309351,6
1575157500,1309045,6
1575157800,1311980,7
1575158100,1309045,6
1575158400,1311980,7
1575158700,1309045,6
1575159300,1309888,8
1575159600,1307729,7
1575159900,1309888,8
1575160800,1310502,8
1575162900,1309864,3
1575163200,1313648,4
1575164100,1309864,3
1575164700,1325681,10
1575165000,1328534,9
1575165600,1325681,10
1575165900,1328588,10
1575166200,1328534,9
1575166500,1328588,10
1575168300,1319022,3
1575168600,1328534,2
1575168900,1319022,3
1575170100,1310715,5
1575170400,1311144,4
1575171600,1310715,5
1575171900,1304974,8
1575172800,1304422,9
1575173100,1304974,8
1575173700,1302843,5
1575175500,1300203,3
1575176100,1300043,4
1575176700,1300203,3
1575177300,1300043,4
1575179400,1299310,3
1575181200,1305733,4
1575183000,1325000,1
1575189000,1263114,1
1575191400,1273742,3
1575192000,1263114,2
1575192300,1274653,3
1575192900,1280239,4
1575193500,1274653,3
1575194100,1280239,4
1575194700,1285948,3
1575195300,1297000,1
1575196500,1225009,7
1575199800,1230656,8
1575200100,1240069,3
1575201300,1270189,1
1575201600,1240069,3
1575202200,1270189,1
1575203700,1258902,1
1575204900,1292448,2
1575205200,1258902,1
1575205800,1292448,2
1575206100,1309221,4
1575206400,1292448,2
1575206700,1309221,4
1575207000,1318996,5
1575207300,1309221,4
1575207600,1318996,5
1575208800,1315397,5
1575209100,1317163,6
1575209400,1307997,2
1575209700,1315397,5
1575210000,1307997,2
1575210600,1308000,2
1575210900,1307997,2
1575211200,1308000,2
1575211800,1321106,9
1575212100,1308000,2
1575212400,1321106,9
1575213300,1321595,10
1575213600,1321106,9
1575213900,1321595,10
1575214500,1323106,9
1575214800,1321595,10
1575215100,1284750,6
1575215700,1323106,9
1575216000,1284750,6
1575216900,1283751,6
1575217200,1284750,6
1575217800,1283751,6
1575218700,1320000,1
1575219300,1283751,6
1575219600,1320000,1
1575221400,1324000,1
1575223200,1312000,2
1575223800,1324000,1
1575224100,1312000,2
1575224400,1306000,4
1575224700,1312000,2
1575225000,1306000,4
1575225900,1305006,5
1575227100,1305548,5
1575228000,1307493,5
1575228300,1305548,5
1575228600,1307493,5
1575228900,1305608,4
1575229200,1307493,5
1575229800,1305608,4
1575230700,1304784,5
1575232200,1303160,4
1575232800,1304528,5
1575233400,1296305,6
1575234000,1294726,5
1575234300,1296305,6
1575235200,1294726,5
1575235800,1288396,3
1575237300,1299999,2
1575237600,1309998,2
1575237900,1299999,2
1575238200,1309998,2
1575238500,1299999,2
