timestamp,avg,qty
1574973000,1321,3
1574973300,1289,18
1574973600,1321,3
1574974200,1289,18
1574975400,1286,22
1574976900,1284,20
1574977200,1351,4
1574977500,1284,20
1574978100,1351,4
1574978400,1328,6
1574979000,1287,9
1574979600,1328,6
1574979900,1287,9
1574980200,1272,9
1574980800,1264,8
1574981100,1272,9
1574981700,1264,8
1574982600,1257,2
1574982900,1245,6
1574983200,1257,2
1574983500,1360,7
1574984400,1376,12
1574984700,1360,7
1574985000,1376,12
1574985300,1381,11
1574985600,1376,12
1574986500,1381,11
1574987100,1395,7
1574987700,1376,12
1574988000,1340,3
1574988300,1395,7
1574988900,1340,3
1574989500,1319,6
1574990400,1271,8
1574991000,1220,18
1574991600,1271,8
1574991900,1220,18
1574992800,1186,50
1574994300,1175,50
1574996400,1215,53
1574997900,1253,46
1575000000,1361,8
1575001500,1261,7
1575003600,1268,8
1575005100,1235,3
1575007200,1193,7
1575010800,1241,8
1575012000,1301,10
1575014100,1363,10
1575015900,1444,6
1575018000,1392,6
1575019800,1366,4
1575021600,1381,3
1575023700,1318,3
1575025200,1255,1
1575026100,1352,2
1575026400,1255,1
1575027000,1352,2
1575027300,1450,3
1575029700,1407,3
1575030000,1450,3
1575030300,1407,3
1575030600,1340,2
1575032700,1360,3
1575034500,1318,5
1575036000,1309,9
1575036300,1314,10
1575036600,1309,9
1575037200,1314,10
1575037500,1309,9
1575038100,1331,10
1575039600,1344,5
1575039900,1340,4
1575040200,1344,5
1575040500,1340,4
1575040800,1344,5
1575041100,1340,4
1575041400,1344,5
1575041700,1340,4
1575042000,1334,3
1575043500,1344,5
1575043800,1328,6
1575044100,1344,5
1575044400,1328,6
1575045000,1344,5
1575045300,1334,6
1575045600,1328,6
1575045900,1334,6
1575047700,1360,3
1575049200,1356,13
1575051000,1352,13
1575051900,1338,15
1575052800,1352,13
1575053100,1319,7
1575053400,1312,7
1575053700,1319,7
1575054000,1312,7
1575054600,1319,7
1575055200,1328,10
1575056700,1351,9
1575058500,1350,7
1575060600,1355,6
1575062100,1357,4
1575062400,1347,3
1575062700,1322,4
1575063300,1347,3
1575063600,1322,4
1575064200,1381,5
1575064500,1409,5
1575065100,1381,5
1575065400,1409,5
1575065700,1381,5
1575066000,1450,6
1575068100,1344,28
1575069900,1326,43
1575071700,1319,31
1575075300,1293,6
1575077100,1249,6
1575079200,1185,3
1575081600,1205,6
1575081900,1185,4
1575082500,1205,6
1575082800,1254,19
1575084600,1283,19
1575086700,1318,6
1575088500,1309,8
1575090300,1312,23
1575092400,1305,23
1575092700,1312,24
1575093300,1305,23
1575093600,1312,24
1575093900,1310,13
1575094200,1320,11
1575095100,1310,13
1575095700,1370,9
1575097500,1412,8
1575099600,1433,8
1575099900,1431,7
1575100200,1433,8
1575100500,1431,7
1575101400,1424,5
1575102000,1450,1
1575105300,1342,3
1575105900,1328,4
1575106500,1380,7
1575106800,1328,4
1575107400,1380,7
1575108600,1348,7
1575109800,1340,5
1575110400,1266,3
1575110700,1340,5
1575111300,1288,1
1575111600,1266,3
1575112200,1288,1
1575112500,1450,1
1575112800,1288,1
1575113100,1450,1
1575114900,1413,2
1575115800,1376,1
1575116100,1413,2
1575116400,1376,1
1575117600,1413,2
1575117900,1376,1
1575118500,1450,1
1575118800,1413,2
1575119100,1450,1
1575120900,1366,4
1575121200,1338,3
1575122100,1366,4
1575122400,1394,6
1575122700,1338,3
1575123000,1353,7
1575123600,1394,6
1575123900,1353,7
1575125100,1357,7
1575126300,1383,13
1575126900,1420,15
1575127200,1383,13
1575127800,1420,15
1575128400,1405,16
1575129900,1362,7
1575130500,1296,4
1575132000,1222,318
1575133800,1225,324
1575134400,1226,327
1575135000,1325,13
1575135300,1226,327
1575135600,1325,13
1575135900,1349,11
1575136200,1325,13
1575136800,1322,8
1575137700,1353,7
1575138000,1322,8
1575138600,1353,7
1575139500,1373,8
1575139800,1362,7
1575140400,1373,8
1575140700,1417,6
1575141000,1362,7
1575141300,1398,10
1575141900,1417,6
1575142200,1398,10
1575142500,1414,10
1575143100,1420,12
1575143400,1414,10
1575143700,1420,12
1575144600,1425,13
1575144900,1255,81
1575145200,1425,13
1575146100,1254,83
1575146400,1255,81
1575146700,1250,82
1575147300,1254,83
1575147900,1251,85
1575148800,1353,12
1575149100,1251,85
1575149400,1353,12
1575149700,1357,10
1575150000,1353,12
1575150300,1357,10
1575150600,1364,14
1575150900,1357,10
1575151200,1364,14
1575151800,1381,11
1575153300,1368,6
1575153600,1381,11
1575153900,1365,7
1575154200,1368,6
1575155100,1365,7
1575155700,1337,10
1575156900,1328,6
1575157200,1337,10
1575157500,1323,5
1575157800,1328,6
1575158100,1323,5
1575158400,1328,6
1575158700,1323,5
1575159300,1288,2
1575159600,1305,3
1575159900,1288,2
1575160800,1266,3
1575162900,1320,17
1575163200,1322,16
1575164100,1320,17
1575164700,1324,19
1575165000,1329,26
1575165600,1324,19
1575165900,1313,15
1575166200,1329,26
1575166500,1315,14
1575166800,1313,15
1575167100,1315,14
1575167400,1313,15
1575167700,1315,14
1575168300,1285,6
1575168600,1312,13
1575168900,1285,6
1575170100,1329,7
1575170400,1304,3
1575171600,1329,7
1575171900,1331,11
1575173700,1332,14
1575175200,1329,8
1575175500,1327,9
1575176100,1324,7
1575176700,1327,9
1575177300,1313,9
1575179400,1303,10
1575181200,1323,7
1575183000,1445,3
1575189000,1319,5
1575189600,1340,6
1575189900,1319,5
1575190200,1314,6
1575190500,1319,5
1575190800,1314,6
1575192300,1366,3
1575194700,1392,3
1575195300,1418,6
1575196500,1445,5
1575199800,1444,6
1575200100,1443,11
1575208800,1445,3
1575209100,1444,6
1575209400,1445,3
1575214500,1444,5
1575214800,1445,4
1575215100,1415,5
1575215700,1444,5
1575216000,1388,9
1575216600,1415,5
1575216900,1370,9
1575217200,1388,9
1575217800,1370,9
1575218700,1401,12
1575219300,1349,7
1575219600,1401,12
1575219900,1425,8
1575220500,1413,9
1575221400,1379,11
1575222300,1316,9
