timestamp,avg,qty
1574973300,2178,36
1574973600,2206,34
1574974200,2178,36
1574974800,2182,30
1574975400,1710,6
1574976900,1802,5
1574977200,2069,14
1574977500,1802,5
1574978100,2069,14
1574978400,2089,15
1574979000,1904,117
1574979600,2089,15
1574979900,1904,117
1574980200,1902,148
1574980800,1939,167
1574981100,1902,148
1574981700,1939,167
1574982600,2053,91
1574982900,1960,192
1574983200,2053,91
1574983500,1784,491
1574984400,1755,459
1574984700,1784,491
1574985000,1755,459
1574985300,1737,446
1574985600,1755,459
1574986200,1737,449
1574986500,1737,446
1574987100,1768,23
1574987700,1737,449
1574988000,1769,22
1574988300,1768,23
1574988900,1769,22
1574989500,1760,16
1574990400,1714,7
1574991000,1741,12
1574991600,1714,7
1574991900,1741,12
1574992800,1993,51
1574994300,2007,47
1574996400,1703,53
1574997900,1735,73
1575000000,1820,25
1575001500,2023,2
1575003600,1809,24
1575005100,1905,35
1575007200,2036,17
1575008700,1839,9
1575010800,1733,5
1575012000,1816,4
1575014100,1811,20
1575015900,1800,17
1575018000,1726,1
1575019800,1880,4
1575021600,1893,5
1575023700,1836,2
1575029100,2165,64
1575032700,1810,1035
1575034500,1821,1075
1575036000,1963,361
1575036300,1965,352
1575036600,1963,361
1575037200,1965,352
1575037500,1963,361
1575038100,2173,132
1575038400,1944,321
1575038700,2173,132
1575039600,1726,3
1575042000,1832,19
1575042600,1832,19
1575042900,1832,19
1575043500,1825,33
1575043800,1819,21
1575044100,1825,33
1575044400,1819,21
1575045000,1825,33
1575045300,1800,33
1575045600,1819,21
1575045900,1800,34
1575047700,1803,24
1575049200,1891,111
1575051000,1895,131
1575055200,1879,128
1575056700,1880,140
1575058500,1851,43
1575060600,1809,47
1575062100,1804,45
1575062400,1809,84
1575064200,1839,221
1575064500,1839,221
1575065100,1839,221
1575065400,1839,221
1575065700,1839,221
1575066000,1764,45
1575067800,1775,51
1575068100,1811,85
1575069900,1820,64
1575070500,1767,25
1575070800,1820,64
1575071400,1767,25
1575071700,1780,24
1575072300,1775,25
1575073200,1780,24
1575073500,1795,12
1575073800,1717,13
1575074400,1795,12
1575075300,1657,8
1575077100,1818,125
1575079200,1829,248
1575081000,1829,136
1575081600,1828,122
1575081900,1829,136
1575082500,1828,122
1575082800,1739,13
1575083700,1830,11
1575084000,1739,13
1575084600,1908,13
1575086700,1838,46
1575088500,1885,129
1575090300,1889,118
1575092100,1712,10
1575093900,1712,10
1575094200,1714,10
1575095100,1712,10
1575095700,1843,10
1575097500,1831,9
1575099600,1715,4
1575101400,1913,1
1575102000,1822,5
1575102900,1817,12
1575105300,1827,115
1575105900,1826,114
1575106500,1824,108
1575106800,1826,114
1575107400,1824,108
1575108600,1825,107
1575108900,1738,8
1575109800,1751,4
1575110400,1751,4
1575110700,1751,4
1575111300,1760,3
1575111600,1751,4
1575112200,1760,3
1575112500,1780,3
1575112800,1760,3
1575113100,1780,3
1575113700,1812,12
1575114300,1809,18
1575114600,1812,12
1575114900,1802,21
1575115800,1795,21
1575116100,1802,21
1575116400,1795,21
1575117300,1752,23
1575117600,1734,18
1575117900,1752,23
1575118500,1728,17
1575120900,1806,12
1575121200,1813,11
1575122100,1806,12
1575122400,1816,11
1575122700,1813,11
1575123000,1811,12
1575125100,1767,4
1575125700,1817,12
1575126300,1947,29
1575126900,1959,36
1575127200,1947,29
1575127800,1959,36
1575129600,1931,38
1575129900,1837,22
1575130500,1736,42
1575132000,1734,39
1575132300,1733,41
1575132900,1734,39
1575133200,1733,41
1575133800,1739,39
1575134400,1742,32
1575135000,1734,28
1575135300,1742,32
1575135600,1734,28
1575135900,1731,41
1575136200,1734,28
1575136800,1727,25
1575137700,1711,148
1575138000,1727,25
1575138600,1711,148
1575139500,1719,179
1575139800,1722,226
1575140400,1719,179
1575140700,1721,254
1575141300,1733,134
1575141900,1721,254
1575142200,1733,134
1575142500,1864,228
1575143100,1921,168
1575143400,1864,228
1575143700,1921,168
1575144600,1957,147
1575144900,1960,158
1575145200,1957,147
1575146100,1973,253
1575146400,1960,158
1575146700,1968,252
1575147300,1973,253
1575147900,1980,240
1575148800,1977,174
1575149100,1980,240
1575149400,1977,174
1575149700,1818,17
1575150000,1977,174
1575150300,1818,17
1575150600,1715,8
1575150900,1818,17
1575151200,1715,8
1575151800,1950,57
1575153300,1972,109
1575153600,1955,81
1575153900,1975,108
1575154200,1972,109
1575155100,1975,108
1575155700,1844,64
1575156000,1896,82
