timestamp,avg,qty
1575571800,34,1000
1575680100,32,1000
1575768300,35,1
1575838200,34,9529
1575882300,33,1270
1575902100,39,490
1575915600,35,5000
1575922200,34,1000
1576030800,32,600
1576225500,37,5000
1576364400,33,1780
1576369800,36,6040
1576482900,71,2990
1576528200,34,3900
1577033700,500,1
1577135400,37,2880
1577253300,33,5000
1577337000,32,1
1577353500,30,70
1577429700,40,5490
1577595300,50,580
1577659800,48,6995
1577743800,30,10
1577751900,34,13000
1577757000,32,1000
1577768100,46,690
1577791800,36,2110
1577795400,42,370
1577811900,35,20
1577911800,33,1789
1577930100,34,1550
1578077400,33,2000
1578099300,35,410
1578464400,34,4000
1578509400,30,2000
1578512400,33,15000
1578525600,32,13000
1578548400,33,2000
1578580200,50,13000
1578585900,34,956
1578604800,60,8467
1578606900,58,9247
1578608700,34,890
1578698700,30,425
1578700500,31,640
1578702300,34,490
1578760200,37,1010
1578773100,66,3000
1578796800,34,5000
1578813600,37,14320
1579027200,25,2657
1579030800,10,10
1579043400,12,1170
1579109100,30,340
1579179600,66,1
1579211100,31,8611
1579309500,34,1300
1579380000,35,3000
1579391100,29,100
1579498500,57,4351
1579551300,33,2000
1579623600,36,2922
1579629300,34,1
1579640100,20,10170
1579669500,34,13000
1579803300,25,1100
1579891500,30,1861
1579924200,32,100
1580004900,16,300
1580017800,35,3827
1580060700,40,1420
1580241000,33,501
1580377800,58,7301
1580442900,30,530
1580482800,70,1
1580502600,30,1470
1580580000,10,31
1580587200,37,580
1580678400,34,1809
1580680200,36,2969
1580682000,39,2440
1580768400,27,7140
1580804700,32,1000
1580847300,29,901
1580854800,40,1
1580856600,36,11
1580919900,25,3381
1580923500,35,80
1581025500,34,399
1581112500,35,1
1581228300,31,10000
1581254700,32,60
1581301800,40,910
1581348300,35,25451
1581355500,29,10
1581360900,31,10000
1581364500,32,3000
1581384300,31,16373
1581447300,32,4290
1581449100,33,4760
1581450900,40,470
1581485100,34,4740
1581538200,30,110
1581921900,31,20
1582472700,33,4380
1582523400,32,4000
1582527600,33,8655
1582641000,31,1002
1582643100,37,2
1582643400,31,1002
1582644300,37,2
1582692900,33,3009
1582755900,30,10
1582767300,54,4960
1582833900,33,165
1582858800,96,12
1582902900,68,1
1582932900,35,990
1583101500,31,5529
1583438700,35,10843
1583449500,49,1000
1583460600,22,13000
1583517900,32,73212
1583535900,16,23629
1583608800,30,5000
1583651400,37,5831
1583699100,38,4739
1583865300,32,610
1584032400,38,10
1584041700,32,10
1584047100,14,1000
1584105600,32,11000
1584156900,33,59
1584305100,30,56
1584373500,35,2000
1584455400,37,391
1584543300,116,1
1584896100,33,1590
1584941700,30,4000
1585056000,25,10001
1585063500,27,3000
1585090800,30,3379
1585100100,31,360
1585101900,33,1650
1585103700,34,1290
1585193100,99,10
1585213200,33,680
1585305900,97,1
1585368300,35,10
1585374000,36,780
1585421700,34,20
1585427100,35,1141
1585430700,36,3070
1585507200,66,950
1585623000,39,2482
1585628400,34,7960
1585634100,65,100
1585635900,35,4950
1585771800,93,1000
1585797300,34,10
1585951500,28,1
1585958700,40,2000
1586001000,82,1001
1586019300,48,10000
1586022900,60,100
1586127900,36,4409
1586146200,75,999
1586149800,40,20
1586235600,80,1188
1586290200,83,2000
1586328900,67,400
1586330700,72,8400
1586332500,73,8000
1586472900,36,152
1586571900,66,10000
1586611500,65,13003
1586613300,54,3
1586673300,36,1
1586796000,40,130
1586797800,41,1941
1586843100,65,100
1586915700,66,2000
1586921100,59,1
1586939400,45,3000
1586979300,50,1
1587027300,39,1000
1587038400,38,26000
1587042300,49,5000
1587180300,38,5000
1587218400,40,1
1587263700,60,1000
1587398400,57,300
1587400200,46,13300
1587403800,36,36260
1587414900,38,13000
1587482400,44,10
1587555900,57,4000
1587653400,51,940
1587757500,50,13000
1587795600,48,1
1587868800,85,30
1587888900,39,2700
1587934800,31,2000
1587982500,34,50
1588000500,43,1
1588273500,60,100
1588277100,36,100
1588295100,50,6000
1588296900,49,6180
1588298700,45,751
1588402500,40,1022
1588406100,41,729
1588426200,44,2129
1588429800,45,2880
1588437000,41,1781
1588438800,42,2327
1588440600,43,1796
1588458900,41,4874
1588647300,46,3000
1588713300,38,13000
1588839000,33,1
1589004600,35,1000
1589073000,55,2001
1589112000,42,3614
1589126400,80,2000
1589150100,43,1
1589204700,54,3000
1589232000,43,5859
1589257200,41,2000
1589260800,42,3000
1589264400,43,1000
1589315100,35,1
1589458800,40,1
1589803200,70,500
1589854200,68,1000
1589922900,43,2000
1589931900,46,501
1589950200,44,1
1590055500,50,1200
1590072000,52,971
1590117300,46,1
1590540300,45,2200
1590633300,69,400
1590663000,45,1000
1590670200,47,1101
1590710100,45,1
1590732000,26,5542
1590733800,25,5714
1590735600,1,172
1590776400,66,1000
1590790800,45,190
1590836100,44,1000
1590921600,51,520
1590968400,67,6100
1591201800,44,10
1591214400,51,13000
1591232700,45,3970
1591418400,150,300
1591487700,70,2000
1591517100,75,1200
1591580700,349,1000
1591671900,59,400
1591827000,50,1
1591843200,63,1889
1591899600,51,13000
1591925100,50,4000
1592214300,48,13000
1592355900,56,2000
1592683200,40,3500
1592774400,48,500
1592843700,32,2000
1593126300,63,13000
1593215400,44,2000
1593485400,64,1000
1593511200,52,10
1593525600,45,1000
1593588600,35,2000
1593608700,39,3369
1594098900,40,2000
1594430400,29,5000
1594439700,30,100
1594565100,40,200
1594764600,34,300
1595326500,35,5345
1595655900,38,1001
1595870100,35,7000
1595875500,37,794
1595876700,50,1894
1595877600,52,2414
1595878500,60,6230
1596088500,38,230
1596559800,97,5010
1597107900,40,600
1597467000,29,13000
1597990200,20,10
1598121900,70,1000
1598409900,105,1000
1598885100,37,1100
1599092400,55,1
1599407700,40,240
1599939000,39,5000
1599949200,36,26000
1599952800,37,13000
1600150200,36,5000
1600680900,45,1
1600843200,39,100
1601086200,52,7600
1601215500,36,6000
1601247900,39,861
1601420700,32,1701
1601432400,39,3727
1601565300,58,1
1602311400,36,4072
1602507000,34,1000
1603017900,65,1000
1603420500,35,1201
1603961700,34,12654
1603967100,37,310
1604046900,40,13000
1604176500,37,2911
1604178300,39,9051
1604180100,40,8520
1604256300,41,9100
1604389800,36,6300
1604548500,37,1010
1604578500,39,13000
1604811600,35,1
1604822400,34,6000
1604831700,50,15
1605478200,35,40
1605571500,36,1000
1606092000,92,50
1606231800,46,1
1606344000,37,5000
1607143800,36,4100
1607280600,37,12919
1607282700,38,13000
1607283000,37,13009
1607284200,38,2591
1607295000,35,13000
1607305800,36,12500
1607329500,37,610
1607375100,1000,1
1607376300,127,11
1607439000,36,10301
1607442600,37,210
1607483700,35,1000
1607891700,30,1000
1607902500,42,11
1607904300,40,91
1607982300,36,1979
1608604500,34,6512
1608608400,38,21
1608737100,20,13000
1608750600,30,541
1608791400,34,158
1609074900,27,10
1609102200,15,2000
1609203900,88,1
1609347600,33,1000
1609652100,29,1000
1609729800,33,2610
1609815000,34,12
1609975200,32,3000
1610270100,30,3000
1610414400,86,2000
1610672700,35,12740
1610836200,86,5000
