timestamp,avg,qty
1575768300,34,10
1575838200,33,5000
1576030800,31,600
1576364400,36,190
1577033700,36,1
1577135400,37,370
1577353500,30,70
1577429700,36,810
1577595300,50,580
1577659800,37,520
1577751900,31,770
1577757000,31,1000
1577768100,42,270
1578796800,40,540
1579027200,33,4386
1579109100,30,330
1579179600,38,270
1579623600,16,3520
1579629300,18,311
1579669500,31,1040
1579891500,26,1861
1580017800,35,1110
1580241000,30,2190
1580482800,30,150
1580804700,27,1000
1580923500,34,1
1581254700,32,60
1581355500,37,360
1582858800,40,13
1584041700,30,10
1584156900,28,59
1584305100,32,540
1585101900,34,260
1585103700,34,260
1585421700,34,20
1585507200,35,10
1585797300,33,149
1585951500,5,1
1586127900,35,340
1587042300,41,4860
1587263700,37,1000
1587400200,46,1
1587403800,38,50
1587414900,39,18071
1587757500,36,13000
1587795600,46,1
1587888900,39,3224
1587934800,47,260
1588000500,43,1490
1588277100,27,370
1588402500,41,100
1588458900,41,4330
1588839000,56,400
1589004600,35,400
1589150100,41,1
1589257200,35,1850
1589260800,35,150
1589315100,27,1
1589950200,39,141
1590072000,46,971
1590776400,45,1510
1591201800,44,10
1591214400,44,2770
1591671900,48,400
1591827000,48,350
1591843200,50,160
1591925100,43,2750
1592355900,42,219
1594764600,34,50
1595326500,35,1196
1599952800,36,12300
1601565300,40,240
1603017900,42,1000
1603420500,36,530
1604578500,39,3030
1605478200,34,1110
1606231800,40,1
1607280600,35,10
1607283000,35,10
1607375100,40,1
1607376300,40,1
1607483700,32,10
1609074900,5,10
1609975200,28,3914
1610270100,33,2930
1612131900,22,170
1612133700,34,3170
1612286400,27,840
1613162400,33,680
