timestamp,avg,qty
1575077100,117,1000
1575108600,107,100
1575159300,117,264
1575213300,130,100
1575253800,120,100
1575268200,130,1
1575400800,123,200
1575448500,117,200
1575509100,163,2000
1575645000,117,58
1575744300,120,100
1575829500,163,200
1576002600,109,10
1576006200,115,1129
1576006500,109,10
1576006800,115,1129
1576007100,116,1229
1576007400,115,1129
1576008000,116,1229
1576010100,125,100
1576010400,116,1229
1576011000,125,100
1576095900,119,131
1576187100,100,100
1576246200,111,118
1576265700,106,100
1576318200,122,30
1576364400,117,331
1576382400,116,92
1576422000,111,300
1576430100,78,30
1576459200,75,10
1576475400,109,300
1576618800,111,200
1576627200,106,100
1576634400,94,362
1576683000,115,200
1576746300,99,100
1576770900,112,500
1576800300,84,636
1576853100,98,400
1576905900,106,71
1576962600,141,2000
1577061000,107,30
1577086500,106,100
1577131800,100,100
1577179200,141,100
1577200500,100,20
1577226000,105,13
1577255100,100,25
1577400900,95,100
1577404500,141,110
1577445000,105,1
1577521500,84,40
1577646300,107,50
1577733000,105,50
1577734500,103,210
1577737200,102,160
1577737500,98,60
1577738100,102,160
1577739300,139,1000
1577913900,138,1000
1577971200,87,20
1578015600,108,60
1578033000,138,20
1578102900,85,36
1578167100,138,100
1578246600,101,500
1578270300,104,1
1578278400,138,100
1578284100,95,30
1578292800,138,300
1578353100,89,60
1578354900,102,100
1578358500,112,1000
1578363900,102,5
1578367800,136,3001
1578371400,138,100
1578525600,115,200
1578543900,106,50
1578561000,92,40
1578603000,101,100
1578630900,110,400
1578732000,138,50
1578774900,95,100
1578851400,104,55
1578857100,106,1370
1578858900,107,1102
1578860700,104,68
1578965400,114,549
1578969300,100,75
1579016100,101,150
1579096200,103,200
1579127400,105,177
1579192800,110,1000
1579322400,151,3000
1579383600,135,50
1579426500,105,200
1579428300,120,230
1579500300,130,400
1579562400,135,100
1579636500,113,330
1579640100,133,1
1579721700,109,21
1579725300,112,200
1579760400,135,20
1579832400,104,100
1579891500,133,500
1579902300,119,189
1579972200,105,100
1579992000,135,50
1579997700,130,998
1580010600,103,60
1580062500,105,40
1580069700,142,200
1580071500,105,3212
1580073300,103,3114
1580082300,142,40
1580160900,111,200
1580190600,125,100
1580226600,110,297
1580228400,115,657
1580230200,119,703
1580284200,91,100
1580289600,90,200
1580367000,141,1088
1580405100,128,300
1580428500,135,200
1580522700,144,100
1580587200,130,200
1580660100,129,2000
1580669400,106,187
1580671200,109,300
1580673000,115,48
1580720400,144,100
1580751900,117,200
1580768400,105,100
1580781000,130,200
1580840100,105,47
1580843700,130,200
1580914500,220,300
1581029400,111,1
1581054900,109,88
1581064200,220,20
1581107100,111,160
1581127200,105,100
1581273000,111,1000
1581278400,93,1200
1581296400,102,1000
1581298200,103,1576
1581300000,106,576
1581301800,116,500
1581353700,150,51
1581400800,107,100
1581476100,130,1000
1581554400,105,100
1581625500,120,1000
1581632700,109,49
1581709500,130,50
1581809100,120,1000
