timestamp,avg,qty
1575159300,107,52
1575268200,120,1
1575509100,94,100
1575645000,117,58
1575829500,118,313
1576095900,104,60
1576422000,108,98
1576459200,57,60
1576475400,113,60
1576618800,108,96
1576683000,96,72
1576746300,50,100
1576770900,50,600
1577061000,107,38
1577086500,102,93
1577131800,95,100
1577255100,82,5
1577404500,103,177
1577521500,111,111
1577913900,106,1000
1578167100,102,21
1578246600,79,500
1578292800,99,95
1578363900,107,5
1578367800,107,427
1578543900,106,51
1578630900,79,97
1578857100,109,1350
1578858900,109,1180
1578860700,109,180
1578965400,90,43
1578969300,90,33
1579016100,95,160
1579096200,92,343
1579127400,105,79
1579721700,105,21
1579997700,103,100
1580010600,109,1133
1580062500,103,135
1580082300,109,116
1580160900,100,105
1580190600,100,80
1580587200,100,234
1580781000,110,58
1580843700,105,51
1581029400,100,17
1581107100,100,160
1581301800,116,500
1581554400,102,100
1581625500,110,60
1581915600,108,99
1582119000,108,27
1582408500,104,302
1582680000,155,1
1582827600,112,100
1582828500,112,100
1582879200,150,1
1583021400,147,1
1583106900,106,69
1583123400,108,100
1583472000,102,1
1583577000,111,166
1583858100,102,433
1583962500,102,41
1584244800,119,49
1584248400,109,102
1584250200,109,189
1584283200,101,1054
1584286800,119,60
1584288600,113,88
1584297900,102,99
1584402300,102,97
1584411300,102,100
1584473400,107,14
1584480900,107,60
1584546900,102,65
1584548700,101,100
1584550500,101,100
1584731400,104,30
1584846600,83,36
1584848400,83,36
1584906900,105,50
1585085400,50,1
1585087200,50,1
1585094400,107,530
1585096200,102,945
1585110900,91,34
1585112700,93,33
1585145700,112,52
1585171200,74,242
1585193100,94,48
1585220700,54,40
1585270800,48,213
1585344600,106,89
1585432500,107,1
1585534500,105,1
1585610100,129,2477
1585669200,93,189
1585874100,112,96
1585877700,104,71
1586169900,100,37
1586197200,50,991
1586210100,102,60
1586226300,56,254
1586239200,110,47
1586241000,170,147
1586281200,250,17
1586358600,111,160
1586514000,109,60
1586548500,100,48
1586552100,101,100
1586662200,100,100
1586722500,122,8
1586765100,600,16
1586772300,161,86
1586913900,454,26
1587003300,50,43
1587078600,102,212
1587093000,161,92
1587149400,99,181
1587240300,97,40
1587242100,109,65
1587252900,114,198
1587260100,90,52
1587403800,97,93
1587405600,135,144
1587407700,155,100
1587498600,112,30
1587500400,112,30
1588042200,1000,100
1588067700,154,1
1588369800,102,94
1588371600,102,115
1588373400,93,81
1588433400,112,512
1588437000,150,60
1588486500,108,264
1588514100,91,1095
1588632300,127,421
1588709700,99,73
1588777500,260,171
1588791900,115,60
1589030100,119,35
1589059200,110,20
1589153700,107,34
1589327700,121,60
1589393400,102,6
1589411700,90,34
1589413500,98,65
1589415300,107,31
1589729100,123,500
1590050100,119,60
1590051900,119,60
1590084600,117,1504
1590086400,117,1504
1590255000,90,1
1590329100,125,36
1590622500,90,117
1590878100,87,40
1590966600,110,177
1591079400,90,49
1591125000,118,168
1591203600,103,20
1591236300,114,99
1591395000,80,60
1591416600,50,39
1591544700,85,304
1591559100,124,54
1591735500,90,91
1592174100,90,210
1592452200,90,20
1592701200,97,200
1592703000,105,100
1593042300,75,10
1593142500,111,10
1593231900,101,29
1593233700,101,29
1593268200,84,1539
1593458100,75,100
1593560100,75,1
1593570600,83,108
1593615900,75,1
1593736200,99,95
1593800100,76,1
1593880500,195,60
1593962400,113,1
1593984000,99,90
1594037100,76,1
1594262400,96,200
1594730400,77,97
1594788000,95,20
1595607000,77,1
1595608800,77,1
1595862900,83,107
1596419400,76,100
1596421200,76,100
1596463800,78,57
1597030200,94,49
1597699800,90,100
1598296500,76,36
1598367000,73,52
1598404500,65,310
1599191100,82,13
1599675600,67,98
1600020000,83,14
1600029000,103,54
1600030800,103,54
1600031400,103,54
1600031700,103,54
1600057800,105,100
1600125000,99,700
1600336800,64,1
1600367700,73,44
1600400100,64,100
1602143400,89,100
1602716700,69,400
1604243400,81,10
1606845600,110,1
1606920300,89,170
1608251700,71,238
1612222500,65,100
