timestamp,avg,qty
1574973300,11,2
1574973600,38,2
1574974200,11,2
1574980200,9,1
1574980800,8,47
1574981100,9,1
1574981700,8,47
1574984400,11,1
1574984700,8,47
1574985000,11,1
1574985300,58,1
1574985600,11,1
1574986200,48,3
1574986500,58,1
1574987100,48,3
1574989500,43,2
1574992800,11,1
1575003600,58,1
1575014100,29,1
1575019800,60,1
1575039600,30,1
1575045300,65,1
1575049200,12,1
1575056700,65,2
1575069900,38,2
1575071700,44,2
1575072300,33,3
1575073200,44,2
1575081000,45,1
1575095700,34,2
1575113700,45,1
1575122400,65,1
1575133800,21,1
1575136800,65,1
1575149700,48,3
1575153300,12,1
1575153600,48,3
1575153900,12,1
1575162900,65,1
1575175500,12,2
1575192900,65,1
1575213300,16,1
1575215100,8,65
1575215700,16,1
1575216000,8,65
1575218700,65,2
1575219300,8,65
1575219600,65,2
1575230100,16,50
1575233400,65,1
1575235800,44,1
1575237300,54,2
1575238800,52,5
1575239100,54,2
1575239400,52,5
1575240600,49,4
1575242700,65,1
1575250200,47,3
1575252900,39,2
1575266400,14,1
1575287700,888,1
1575312300,477,2
1575312600,888,1
1575313200,66,77
1575317100,168,8
1575318300,203,6
1575319200,477,4
1575319500,271,4
1575320100,477,4
1575320400,888,2
1575320700,477,4
1575321000,888,2
1575329400,66,117
1575329700,888,1
1575330000,66,117
1575333300,888,1
1575338700,68,1
1575353100,66,1
1575366000,68,1
1575373800,66,2
1575375600,65,1
1575377700,68,1
1575435900,89,2
1575501000,81,3
1575501300,89,1
1575501900,81,3
1575503400,83,4
1575504300,81,3
1575504600,89,1
1575505200,81,3
1575505500,89,1
1575518700,18,1
1575523500,80,1
1575530100,89,1
1575556200,66,2
1575558600,74,3
1575560700,89,1
1575561600,15,1
1575561900,52,2
1575562200,15,1
1575563400,52,2
1575564000,15,1
1575564300,89,1
1575564600,52,2
1575564900,89,1
1575572700,64,2
1575573000,89,1
1575573300,64,2
1575574200,39,1
1575576300,89,1
1575576600,39,1
1575576900,89,1
1575642000,79,2
1575644100,70,1
1575644400,79,2
1575644700,70,1
1575655800,79,2
1575656100,70,2
1575656400,89,2
1575656700,79,2
1575657000,89,2
1575657300,79,2
1575657600,89,2
1575674400,85,2
1575678000,89,1
1575772200,80,1
1575814200,89,1
1575822000,23,1
1575825600,89,1
1575834900,75,1
1575861900,89,1
1575921000,21,1
1575928200,89,1
1575935400,50,1
1575937500,69,2
1575939000,89,2
1575939300,69,2
1575939600,89,2
1575961200,24,2
1575989700,21,1
1575994500,22,1
1575995100,23,2
1575995400,22,1
1575995700,23,2
1575996900,24,1
1575997200,23,2
1575997800,24,1
1576005900,300,1
1576007100,200,2
1576007400,300,1
1576008000,233,3
1576008300,200,2
1576010100,300,1
1576010400,200,2
1576011000,300,1
1576011600,150,1
1576012500,225,2
1576013100,150,1
1576013400,225,2
1576015200,300,1
1576015500,225,2
1576015800,300,1
1576030500,19,1
1576037100,20,1
1576038900,19,2
1576046100,20,101
1576051800,19,1
1576069200,20,1
1576072200,8,82
1576072500,20,1
1576072800,8,81
1576075800,18,5
1576076100,8,86
1576076400,18,5
1576077300,20,1
1576077900,18,5
1576078200,20,1
1576078800,19,125
1576082100,20,1
1576082700,19,126
1576083000,20,1
1576100100,19,8
1576103700,20,2
1576104300,19,10
1576104600,20,3
1576117500,18,2
1576118100,20,1
1576118400,18,3
1576120800,17,1
1576126500,20,1
1576128300,19,2
1576130100,18,3
1576131900,19,2
1576137300,18,1
1576145700,20,1
1576174500,18,2
1576180200,19,1
1576185900,8,4
1576186200,19,1
1576186800,8,4
1576195200,14,1
1576197900,17,2
1576198500,14,1
1576198800,20,1
1576199100,17,2
1576199400,20,1
1576202400,17,1
1576218900,18,1
1576231500,17,1
1576242600,20,1
1576246200,19,6
1576249800,12,12
1576251300,8,8
1576257300,19,102
1576257900,14,2
1576258500,19,103
1576262100,20,2
1576262400,19,2
1576262700,20,2
1576269300,17,1
1576270500,18,2
1576271100,17,1
1576271400,18,2
1576273500,20,1
1576280400,17,3
1576281000,15,4
1576281600,17,3
1576282200,15,4
1576282800,11,1
1576283400,15,4
1576284000,11,1
1576292400,17,1
1576293300,16,2
1576293600,17,1
1576293900,16,2
1576299300,17,1
1576320000,14,1
1576329600,17,1
1576342200,15,2
1576346100,16,1
1576351500,12,2
1576355700,8,3
1576359000,11,3
1576359300,8,5
1576359600,11,3
1576359900,8,5
1576360500,11,3
1576360800,17,2
1576366200,1,1
1576368000,17,1
1576368300,9,2
1576369500,17,1
1576380600,12,1
1576384200,15,3
1576386000,16,2
1576388100,12,1
1576395300,16,2
1576402800,17,1
1576411800,16,2
1576413600,15,1
1576421100,8,34
1576428300,12,2
1576435500,16,1
1576439100,8,39
1576443000,10,2
1576444800,8,79
1576450200,17,1
1576455600,15,2
1576468500,14,1
1576479000,17,1
1576488300,12,1
1576497600,17,1
1576501200,19,1
1576508700,18,1
1576548300,17,1
1576557300,20,1
1576561200,16,1
1576568700,20,1
1576596000,17,2
1576599000,8,125
1576606500,17,1
1576608000,16,3
1576608300,17,1
1576608600,16,3
1576614900,14,1
1576617300,17,2
1576618800,20,1
1576619700,8,2
1576620300,20,1
1576620600,8,2
1576624800,17,2
1576625100,20,1
1576625400,17,2
1576626000,20,1
1576626300,18,2
1576628700,17,1
1576629000,18,2
1576633800,17,1
1576638600,14,125
1576639200,16,250
1576639500,14,125
1576639800,16,250
1576642200,17,125
1576642500,16,250
1576642800,17,125
1576660500,20,1
1576680000,16,1
1576695900,10,1
1576697400,18,127
1576697700,10,1
1576698000,18,127
1576700100,16,1
1576707600,14,1
1576711200,13,125
1576711500,14,1
1576712100,13,125
1576714800,14,2
1576715100,13,127
1576715400,14,2
1576717500,15,1
1576721100,17,1
1576721400,15,1
1576721700,17,1
1576741500,20,1
1576780500,18,2
1576783800,15,1
1576788000,20,1
1576862400,17,1
1576865700,20,1
1576903800,17,1
1576907700,20,1
1576951500,18,3
1576956900,20,1
1576960500,14,1
1576964400,20,1
1576977000,11,1
1576979100,15,2
1576980600,20,1
1576989900,15,1
1576993500,20,1
1577015700,17,2
1577019900,15,1
1577020200,17,1
1577020500,15,1
1577021400,17,2
1577024100,19,1
1577028600,20,1
1577036100,19,2
1577037900,18,1
1577045100,14,1
1577050200,20,2
1577072100,17,1
1577076000,18,16
